,left,top,right,bottom,Unnamed: 4,fishnet-ID,building-area-sum,building_density,building_type,bu-sum-in-block,block area,bu_den_N,bu_typ_N,blo_sum_N
177,857663.0751,,857863.0751,,177,178,9241,0.231025,2.0,2.0,24820.0,0.11622023060268868,0.2,0.08333333333333333
178,857663.0751,,857863.0751,,178,179,8843,0.221075,4.0,5.0,13841.0,0.1112104123659433,0.6,0.3333333333333333
179,857663.0751,,857863.0751,,179,180,3431,0.085775,1.0,4.0,5090.0,0.04308695433261165,0.0,0.25
180,857663.0751,,857863.0751,,180,181,0,0.0,0.0,0.0,0.0,,,
181,857663.0751,,857863.0751,,181,182,0,0.0,0.0,0.0,0.0,,,
182,857663.0751,,857863.0751,,182,183,0,0.0,0.0,0.0,0.0,,,
183,857663.0751,,857863.0751,,183,184,0,0.0,0.0,0.0,0.0,,,
184,857663.0751,,857863.0751,,184,185,0,0.0,0.0,0.0,0.0,,,
185,857663.0751,,857863.0751,,185,186,0,0.0,0.0,0.0,0.0,,,
186,857663.0751,,857863.0751,,186,187,0,0.0,0.0,0.0,0.0,,,
187,857663.0751,,857863.0751,,187,188,0,0.0,0.0,0.0,0.0,,,
188,857663.0751,,857863.0751,,188,189,0,0.0,0.0,0.0,0.0,,,
189,857663.0751,,857863.0751,,189,190,0,0.0,0.0,0.0,0.0,,,
190,857863.0751,,858063.0751,,190,191,0,0.0,0.0,0.0,0.0,,,
191,857863.0751,,858063.0751,,191,192,0,0.0,0.0,0.0,0.0,,,
192,857863.0751,,858063.0751,,192,193,0,0.0,0.0,0.0,0.0,,,
193,857863.0751,,858063.0751,,193,194,0,0.0,0.0,0.0,0.0,,,
194,857863.0751,,858063.0751,,194,195,0,0.0,0.0,0.0,0.0,,,
195,857863.0751,,858063.0751,,195,196,0,0.0,0.0,0.0,0.0,,,
196,857863.0751,,858063.0751,,196,197,0,0.0,0.0,0.0,0.0,,,
197,857863.0751,,858063.0751,,197,198,0,0.0,0.0,0.0,0.0,,,
198,857863.0751,,858063.0751,,198,199,0,0.0,0.0,0.0,0.0,,,
199,857863.0751,,858063.0751,,199,200,0,0.0,0.0,0.0,0.0,,,
200,857863.0751,,858063.0751,,200,201,2382,0.05955,1.0,0.0,0.0,0.02988268465837571,0.0,
201,857863.0751,,858063.0751,,201,202,2570,0.06425,1.0,5.0,6412.0,0.032249131463672524,0.0,0.3333333333333333
202,857863.0751,,858063.0751,,202,203,4714,0.11785,1.0,6.0,9898.0,0.0592366950304617,0.0,0.4166666666666667
203,857863.0751,,858063.0751,,203,204,9965,0.249125,1.0,3.0,35088.0,0.1253335682996828,0.0,0.16666666666666666
204,857863.0751,,858063.0751,,204,205,9427,0.235675,2.0,3.0,32800.0,0.1185615024419717,0.2,0.16666666666666666
205,857863.0751,,858063.0751,,205,206,10337,0.258425,2.0,4.0,23458.0,0.13001611197824886,0.2,0.25
206,857863.0751,,858063.0751,,206,207,10305,0.257625,1.0,6.0,18897.0,0.1296133125220281,0.0,0.4166666666666667
207,857863.0751,,858063.0751,,207,208,10899,0.272475,1.0,4.0,30811.0,0.1370902774281255,0.0,0.25
208,857863.0751,,858063.0751,,208,209,21768,0.5442,1.0,2.0,70735.0,0.2739036302300992,0.0,0.08333333333333333
209,857863.0751,,858063.0751,,209,210,21536,0.5384,2.0,2.0,67104.0,0.27098333417249887,0.2,0.08333333333333333
210,857863.0751,,858063.0751,,210,211,25770,0.64425,1.0,2.0,100968.0,0.32427873722370476,0.0,0.08333333333333333
211,857863.0751,,858063.0751,,211,212,25935,0.648375,1.0,1.0,125514.0,0.32635567191984294,0.0,0.0
