Anne L,May 2018,4,Weekendresa,"Toppen hotell i Lund, ligger 2 min från torget o alla restauranger o shopping, mycket trevlig personal. Alla rummen har ett eget pentry med all utrustning vad gäller tallrikar o glas o bestick. Har även kylskåp o kokplatta, toppen om man reser med små barn så man kan fixa lite…","Response from Anna W, Front Office Manager at Best Western Plus Hotell Nordic LundResponded May 22, 2018","Responded May 22, 2018",Tack Anne för din fina feedback!  Vi är så glada att du uppskattade att bo på vårt hotell.  Varmt välkomna tillbaka! Mvh ,Date of stay: May 2018,"[All, languages]",219
Sirpa F,May 2018,4,"Väldigt prisvärt, välkomnande personal, centralt läge och fräscht.","Rent, snyggt, inga märkvärdigheter men bra sängar. Schysst frukost. Tillmötesgående personal och verkligt bra läge med hänsyn till det relativt låga priset. Skulle gärna bo där igen vid nästa besök i Lund.","Response from Anna W, Front Office Manager at Best Western Plus Hotell Nordic LundResponded May 1, 2018","Responded May 1, 2018",Tack Sirpa för ditt fina betyg! Så glada vi är att du uppskattade vårt hotell och personal. Varmt välkommen tillbaka! Mvh,Date of stay: April 2018,"[All, languages]",219
helenawg,May 2018,4,Fysioterapeuth,"Perfectly situated hotel , bikes to lend for 50 kr nice rooms with coffeemachines and small kitchen. Friendly sweet . staff , very serviceminded. Good breakfast with variation, unfortunately was coffeemachine out of service. Balcony was perfect on a sunnt afternoon.","Response from Anna W, Front Office Manager at Best Western Plus Hotell Nordic LundResponded May 1, 2018","Responded May 1, 2018",Thank you for your kind feed back! Welcome back!  Best regards,Date of stay: May 2018,"[All, languages]",219
Peter B,Apr 2018,4,Excellent hotel in central Lund,"This hotel is in an old building in the middle of Lund. Nice atmosphere, nice interior, friendly and helpful staff. The room was large with kitchen facility (micro, sink, stove etc.). Excellent breakfast. Parking at the back of the hotel. En excellent choice when staying in Lund.","Response from Anna W, Front Office Manager at Best Western Plus Hotell Nordic LundResponded Apr 30, 2018","Responded Apr 30, 2018",Thank you Peter for your kind words and feed back! We are so glad that you enjoyed staying at our Hotel.  Welcome back!  Best regards,Date of stay: April 2018,"[All, languages]",219
Lívia G,Apr 2018,5,Excelente!,"O hotel é muito limpo, a arquitetura é bastante encantadora, um misto de moderno e nórdico. A decoração tipicamente escandinava também muito me agradou. A recepcionista foi muito prestativa e simpática, acho que seu nome era Jasmina. A localização é perfeita porque é no centro…",,,,Date of stay: September 2017,"[All, languages]",219
Betabufo,Apr 2018,4,"Bra läge, frukost och standard","Mkt prisvärt hotell i centrala Lund, med god standard, fräscha rum och god frukost. Bra parkeringsmöjligheter i direkt anslutning till hotellet. Vårt rum hade dessutom pentry med ugn, spisplattor och kyl. Rummen var nyrenoverade. Varför leta efter något annat?","Response from Anna W, Front Office Manager at Best Western Plus Hotell Nordic LundResponded Apr 9, 2018","Responded Apr 9, 2018",Tack för din fina feedback Janericmoberg! Så roligt att du uppskattade vårt hotell. Varmt välkommen tillbaka! MVh,Date of stay: April 2018,"[All, languages]",219
Patrik L,Apr 2018,4,Helt okej,Rummet var mysigt och rustikt. Synliga balkar och ett litet kök. Gick tyvärr inte att mörklägga rummet helt då det fanns små fönster utan gardiner. Skön säng. Bra standard på badrum. Frukosten som man kan förvänta sig på ett svenskt hotell.,"Response from Anna W, Front Office Manager at Best Western Plus Hotell Nordic LundResponded Apr 6, 2018","Responded Apr 6, 2018",Tack Patrik för din feedback! Varmt välkommen tillbaka! Mvh ,Date of stay: March 2018,"[All, languages]",219
68langstrom,Mar 2018,5,Otroligt prisvärt,Vi är på resa och på ren chansning bokar vi Hotell Nordic i Lund via en app. En väldigt vänlig och serviceinriktad receptionist tar emot oss och börjar med att önska oss välkomna. Parkering ordnas bakom hotellet för en normal avgift och det går lätt att ta sig tillbaka till…,"Response from Anna W, Front Office Manager at Best Western Plus Hotell Nordic LundResponded Apr 2, 2018","Responded Apr 2, 2018",Tack 68langstrom för ert fantastiska betyg! Så roligt att ni uppmärksammade de små detaljerna på hotellet . Jag har vidarebefordrat er fina feedback till berörda frukostvärdinnor. Varmt välkomna tillbaka!  Mvh,Date of stay: March 2018,"[All, languages]",219
LarsStockholm,Mar 2018,5,Unikt hotel i centrala Lund,"Jag har bott på flera hotell i Lund de senaste åren, både bra och mindre bra, men provade nu Nordic och har fått mitt favorithotell i denna staden. Det är ett gammalt hus som har renoverats med gamla detaljer bevarade och är mycket spännande. Jag tror att alla rum är unika. Det…","Response from Anna W, Front Office Manager at Best Western Plus Hotell Nordic LundResponded Mar 22, 2018","Responded Mar 22, 2018",Tack Lars för din fina feedback!  Så roligt att du trivdes hos oss. Vi önskar dig varmt välkommen tillbaka!  Mvh,Date of stay: March 2018,"[All, languages]",219
SweFam,Mar 2018,3,Bo centralt och parkera enkelt bredvid,Trevligt hotell som nyligen blivit medlem i Best Western kedjan. Rummet var rymligt och frukosten är bra men dock kan det bli lite trångt vid ”högtrafik”. Har alltid blivit väl bemött här och kommer fortsätta ha  hotellet som favorit i Lund,,,,Date of stay: January 2018,"[All, languages]",219
