anneliwe77,Sep 2018,5,På tu man hand,"Ett mysigt hotell med många fina platser att bara ta det lungt på, ta en kopp kaffe eller ett glas vin. Varför inte framför brasan. Fint rum med en otrolig utsikt, även från toaletten. I priset ingick halvpension. Mycket god mat att välja på. ","Response from Clarion Collect... H, Receptionist at Clarion Collection Hotel PlanetstadenResponded Oct 9, 2018","Responded Oct 9, 2018","Hej Anneli,  vi tackar så hjärtligt för den underbara recensionen, och såklart för det fina betyget också!  Vad trevligt det låter med en mysig stund framför brasan. Så kul att ni njöt av utsikten - visst är det vackert med höstens underbara färger. :)   Planetstadens team önskar er allt gott och varmt välkomna åter!  Med vänliga hälningar Sarka Receptionen",Date of stay: September 2018,"[All, languages]",656
G4299BSrobb,Sep 2018,5,Calrion PlanetStadt - A Pure Delight,Stayed 7 nights at this hotel.  The staff were friendly and outgoing.  I appreciated their care.  The buffets at breakfast and dinner were awesome!  My room was well cared for.  Certainly for the time I spent at the hotel I lacked for little.  All in all I can recommend this…,"Response from Clarion Collect... H, Receptionist at Clarion Collection Hotel PlanetstadenResponded Oct 9, 2018","Responded Oct 9, 2018","Dear Robb,  thank you so much for the lovely review and the amazing rating!  It is really great to hear that our staff made you feel welcome and that you had such a nice stay here. We are delighted to hear that you'd recommend us. :)  Hoping to welcome you back soon & wishing you a splendid autumn  Kind regards Sarka  Front desk",Date of stay: September 2018,"[All, languages]",656
simon i,Sep 2018,5,Goed hotel,"Goed Hotel ,  kamer voldoet aan alles ontbijt is redelijk en diner eenvoudig maar voldoende, redelijke gratis parkeer gelegenheid wel gauw vol, zeer netjes geholpen door personeel. Er waren veel zaken reizigers zeker congres in de buurt maar niet storend.","Response from Clarion Collect... H, Receptionist at Clarion Collection Hotel PlanetstadenResponded Oct 3, 2018","Responded Oct 3, 2018","Dear Simon,  thank you so much for the lovely review & highest mark!  With some help from Google, we were happy to discover that you enjoyed staying at our hotel & would like you to know that we would be delighted to welcome you back anytime.   Have an amazing autumn, Simon!  Kind regards Sarka Front desk",Date of stay: September 2018,"[All, languages]",656
marcopS530FY,Sep 2018,5,my stay at hotel Planetstaden,very good and convenient. not far from the city centre. 10 mins walking. very good food both for breakfast and also a light buffet for dinner. very nice and hall with the bar the fireplace and the big screens TV you can find around,"Response from Clarion Collect... H, Receptionist at Clarion Collection Hotel PlanetstadenResponded Oct 3, 2018","Responded Oct 3, 2018","Dear Marco,  wow, what a lovely review and an excellent rating, thank you very much!   We love reading about your stay and are delighted to hear that it was a satisfactory experience.   Please feel welcome to pay us another visit and sit by our fireplace once again. :)  Wishing you a wonderful autumn  Kind regards Sarka Front desk",Date of stay: September 2018,"[All, languages]",656
Tobias,Sep 2018,3,Ett ok hotell men inget mer,"Bodde här i tre nätter. Hotellrummet var ok men inte mer. Småslitet rum och lyhört där man hör trafiken utanför.  Vi använde gymmet ett par gånger men maskinerna var dåligt underhållna. Hälften av löpbanden krävde service.  Maten är väldigt bra, men då vi hälsade på vår dotter…","Response from Clarion Collect... H, Receptionist at Clarion Collection Hotel PlanetstadenResponded Oct 3, 2018","Responded Oct 3, 2018","Hej Tobias,  tack så mycket för att du skriver här på TripAdvisor och recenserar oss!  Vi är verkligen tacksamma för alla dina tips & insikter och också mycket glada över att ni tyckte om maten, receptionen och lobbyn. Vi hoppas att ni hade en trevlig Lundahelg med er dotter och att hon också hittade något gott att äta på vår kvällsbuffé.  Vad tråkigt att rummet och gymmet inte levde upp till era förväntningar - vi beklagar över detta! Strax efter årsskiftet öppnar hotellets nya del vilket innebär att våra gäster kan se fram emot många nya faciliteter. Ni är varmt välkomna att besöka oss igen och testa. :)  Vi hoppas på att ses här igen och önskar er en mycket fin höst!  Med vänliga hälsningar Sarka Receptionen       ",Date of stay: September 2018,"[All, languages]",656
gunnargodo,Aug 2018,4,Anbefales,"Gode senger, bra rom, god mat, hyggelig personale. Hotellet mangler gode parkeringsforhold, må parkere i gaten. Det har pågått en utbygging av hotellet i over ett år, muligens blir parkeringsforholdene bedre etter hvert.","Response from Clarion Collect... H, Receptionist at Clarion Collection Hotel PlanetstadenResponded Oct 3, 2018","Responded Oct 3, 2018","Hej Gunnar,  och tack ska du ha för denna fina recension!  Vi blir så glada över att läsa dina trevliga ord och få veta att ni har varit nöjda hos oss. Precis som du skriver så kommer det finnas bättre parkeringsmöjligheten när utbyggnaden är färdig.   Vi önskar er en underbar höst och hoppas på ett snart återseende!  Med vänliga hälsningar Sarka Receptionen",Date of stay: August 2018,"[All, languages]",656
karilise2015,Aug 2018,4,Very nice,"We had two rooms for the weeekend, Fri-Sun. The hotell offered a really nice full breakfast and for dinner we had the complementary todays special, which on Friday was a very tasteful Beef Bourgogne and one Saturday filet of salmon, both served with ample salats and coffee and…","Response from Clarion Collect... H, Receptionist at Clarion Collection Hotel PlanetstadenResponded Oct 3, 2018","Responded Oct 3, 2018","Dear Karilise,  we'd like to thank you so much for this amazing review!  We are very happy to hear that you enjoyed both dinner and breakfast at our hotel and that the room standard and the service met your expectations as well.  We'd be delighted to have to opportunity of welcoming you back soon!  Wishing you a beautiful autumn  Kind regards Sarka Front desk",Date of stay: August 2018,"[All, languages]",656
Carl Eric E,Aug 2018,4,Ett mycket prisvärt och trevligt hotell,"Ett hotell med bekväma och välinredda rum, fina gemensamma utrymmen och en mycket god frukostbuffé med väldigt gott utbud! Dessutom ingår det en middagsbuffé och eftermiddagsfika (som jag tyvärr inte hade möjlighet att testa). Jag sov gott och hade en bra känsla efter att ha…","Response from Clarion Collect... H, Receptionist at Clarion Collection Hotel PlanetstadenResponded Oct 3, 2018","Responded Oct 3, 2018","Hej Carl Eric,  vi tackar så hjärtligt för tiden du tog för att skriva denna fina recension!  Det glädjer oss att ni har varit nöjda mer er vistelse. Vi hoppas på att du kommer tillbaka för att testa våra hembakade kakor. :) Eftersom den nya byggnaden öppnar snart, tillsammans med en ny restaurang och andra härliga faciliteter, är du varmt välkommen att besöka oss och uppleva den nya Planetstaden.   Det är tråkigt att höra att ditt intryck av receptionen inte var helt bra men vi tackar att du skriver och berättar om detta. Vi jobbar på att bli bättre varje dag och ser fram emot att erbjuda den bästa serviceupplevelsen under ditt nästa besök.  Planetstaden önskar dig en fantastisk höst och varmt välkommen tillbaka!  Med vänliga hälnsingar Sarka Receptionen",Date of stay: August 2018,"[All, languages]",656
Asia4ever,Aug 2018,5,Fantastiskt bra hotell!,"Bekvämt, rent, fina rum, suverän frukost och kvällsbuffé, som ingår i rumspriset. Lättillgängligt även för personer med handikapp.  Enda lilla krånglet är att det kan vara svårt att förstå sig på de höj och sänkbara sängarna (som är riktigt sköna). Man kan höja ryggen på sängen,…","Response from Clarion Collect... H, Receptionist at Clarion Collection Hotel PlanetstadenResponded Aug 31, 2018","Responded Aug 31, 2018","Hej Lars,  tack så hemskt mycket för den underbara recensionen och det fina betyget!  Vi är mycket glada över att ni tyckte om rummet och maten och att er vistelse hos oss lämnat ett positivt intryck.  Tråkigt att höra att det blev lite krångligt med sängen. Tack för tipset om informationsblad, vi tar till oss dina ord!   Vi ser otroligt mycket fram emot att utbyggnaden blir klar då det tillkommer bättre parkeringsmöjligheter också. :)  Planetstaden hoppas på ett snart återseende och önskar er en strålande höst!  Med vänliga hälsningar Sarka Receptionen ",Date of stay: August 2018,"[All, languages]",656
matkatane,Aug 2018,5,Yksi yö.,Hotelli oli art`hotelli jossa oli kaikki kalusteet muoti suunnittelioiden huippua. Hieman jo kuluneet mutta tyylikäs. Hotelli valittu 4x ruotsin parhaiden hotelien joukkoon. Tulimme vasta alku yöstä . Halusimme moottoripyörät hotellin eteen eikä hieman katveessa olevaan P-…,"Response from Clarion Collect... H, Receptionist at Clarion Collection Hotel PlanetstadenResponded Aug 17, 2018","Responded Aug 17, 2018","Dear Matkatane,  thank you very much for reviewing us here on TripAdvisor!  We're delighted to hear that you had a pleasant stay here and appreciated the interior.   Sorry to hear about the confusion regarding the parking, although it's great to hear that there was a solution to this. :)   We wish you a wonderful rest of the summer and hope to welcome you back one day.  Kind regards Sarka Front desk",Date of stay: July 2018,"[All, languages]",656
alexander w,Aug 2018,4,Fantastisk mat (halvpension ingår),Väldigt fint hotell när motorvägen med gott om gratis parkeringar i närområdet. Middag ingår på kvällen när du checkat in. Vi bjöds på en underbar stuvning och ett väldigt gott salladsbord på kvällen. Samt en stor och generös frukost när vi vaknade på morgonen. Du behöver inte…,"Response from Clarion Collect... H, Receptionist at Clarion Collection Hotel PlanetstadenResponded Aug 6, 2018","Responded Aug 6, 2018","Hej Alexander,  tusen tack för din fina recension!   Vi blir glada av att läsa om din vistelse och få veta att ni har haft det bra hos oss. Visst är det smidigt med en god middag & frukost på samma ställe. :) Det känns bra att veta att rummet inte var alldeles för varmt och att ni fick svalka er lite under dessa varma dagar. Dock är det tråkigt att rummet inte kändes helt rent. Vi tittar på detta och ser till att allt är perfekt skick om ni besöker oss igen.  Tack så mycket för all feedback - och hjärtligt välkomna åter!   Med vänliga hälsningar Sarka Receptionen",Date of stay: July 2018,"[All, languages]",656
STP-100,Jul 2018,4,High quality dinner buffet included,"The highlight of our stay at this hotel was for sure the dinner buffet that was rich and tasty, which for sure exceeded our expectations given that it was included in the price of the stay.  Otherwise I can't really say anything about the hotel. It takes 15 minutes of walking to…","Response from Clarion Collect... H, Receptionist at Clarion Collection Hotel PlanetstadenResponded Aug 6, 2018","Responded Aug 6, 2018","Dear SwedishTravelPro,  thank you very much for reviewing us here on TripAdvisor!  It's really great to hear that you enjoyed the free dinner & breakfast. It sure is nice to take a short stroll to the center, as you say especially during these beautiful summer days.  We'd love to welcome you back in the future & have the opportunity to ensure excellent service at your next check-in! :)  Enjoy the rest of your summer!  Kind regards Sarka  Front desk",Date of stay: July 2018,"[All, languages]",656
Berndt D,Jul 2018,5,Herr,"Frukost och buffe middag ingår i rumspriset, stort beröm till kock och övrig personal för fantastsk god frukost och ännu godare buffe middag samtmed en rejäl tilltagen salladsbuffe och ett trevligt bemötande. ","Response from Clarion Collect... H, Receptionen at Clarion Collection Hotel PlanetstadenResponded Jul 30, 2018","Responded Jul 30, 2018","Hej Berndt,  vi tackar så hjärtligt för din fantastiska recension och för det fina betyget!  Det gläder oss oerhört att ni tyckte så mycket om maten och att ni varit nöjda hos oss.  Önskar er en mycket trevlig augusti månad och hjärtligt välkomna åter!  Med vänliga hälsningar Sarka Receptionen  ",Date of stay: July 2018,"[All, languages]",656
Mikael O,Jul 2018,4,Clarion Collection Planetstaden,"Trevligt hotell beläget i utkanten av Lund, nära väg E22.  Gratis parkering för bilen.  De markanta fördelarna med hotellet är maten, här gives som på många hotell en bra frukostbuffé. Utöver detta serveras god middag på kvällen, det finns även kaffe och kaka att tillgå under…","Response from Clarion Collect... H, Receptionist at Clarion Collection Hotel PlanetstadenResponded Jul 24, 2018","Responded Jul 24, 2018","Hej Mikael,  tusen tack för din fina recension!  Det gläder oss oerhört att ni hade en trevlig vistelse hos oss. Riktigt kul att läsa om hur nöjda ni var med maten med!  Vi hoppas på ett snart återseende och önskar er en mycket fin avslutning på juli månad.  Med vänliga hälsningar Sarka Receptionen",Date of stay: July 2018,"[All, languages]",656
susanne h,Jul 2018,5,Underbart!!!,Ett jättebra hotel! Fräscht! Rent! Mycket trevlig personal! Vi fick dessutom halvpension vilket vi inte visste om vid bokningen. Ett superbra kök! Ett stort plus är att bussen till Malmö går precis utanför hotellet. Hit återkommer vi!,"Response from Clarion Collect... H, Receptionist at Clarion Collection Hotel PlanetstadenResponded Jul 21, 2018","Responded Jul 21, 2018","Hej Susanne,  tack så hemskt mycket för dina trevliga ord och för det fina betyget!  Så roligt att ni blev nöjda och att maten var en trevlig överraskning. Det låter trevligt med en utflykt till Malmö också. :)  Vi ser fram emot att träffas snart igen och önskar er en underbar avslutning på juli månad!  Med vänliga hälsningar Sarka  Receptionen",Date of stay: July 2018,"[All, languages]",656
Shivani K,Jul 2018,1,Disappointing experience,"This is in reference to booking confirmation no. 16829129 we checked-in @ Clarion Collective Hotel Planetstaden yesterday and the stay till now is pathetic.   Starting  from I checked-in to the hotel, I informed the front desk girl that I am diabetic and allergic to egg and…","Response from Clarion Collect... H, Receptionist at Clarion Collection Hotel PlanetstadenResponded Jul 21, 2018","Responded Jul 21, 2018","Dear Shivani,  thank you very much for your feedback!  We are very sorry to hear that your stay has been a disappointment to you.   There are many diabetes-friendly and egg-free dishes available for breakfast, as well as dinner. Our staff has provided you with this information upon your arrival, however, if you'd like to double-check the exact ingredient list for a certain condiment or dish, you are always very welcome to speak to the staff working during the relevant shift.   We also sincerely apologize for any inconvenience caused by the housefly and assure you that we are doing everything we can to minimize this issue, however we can not unfortunately prevent this kind of situation entirely during these warm months of summer. Thank you very much for your understanding.   Concerning your room, we'd like to recommend you to book one of our superior rooms if you wish to stay in a more updated room where the standard is higher. If you wish to upgrade to a superior room during your stay, please feel free to contact the front desk at any time.    Once again, please know that we are truly sorry that your stay here did not meet your expectations & we will be very happy to welcome you back anytime if you decide to return and give us another chance.  Wishing you a beautiful summer  Kind regards Sarka Front desk  ",Date of stay: July 2018,"[All, languages]",656
Jonsson123,Jul 2018,4,Lugnt med fin kvällsbuffe,"Hotellet var lätt att hitta nära stora vägar. Gratis parkering och fin liten innergård, där man kan mysa.  Både frukost och kvällsbuffe var mycket fräsch och god. Man äter i fin och lugn miljö.  Rum och sängar var sköna och vi hade litet ""kök"" där man kan fixa te eller kaffe. …","Response from Clarion Collect... H, Receptionist at Clarion Collection Hotel PlanetstadenResponded Jul 17, 2018","Responded Jul 17, 2018","Hej Jonsson,  vi tackar så hjärtligt för dina trevliga ord!  Riktigt roligt att läsa om er vistelse och få veta att ni har haft det bra hos oss. Vad bra att ni hittat hit utan problem och att maten smakade bra.  Så mysigt det låter med en lugn stund på innergården, speciellt under dessa härliga sommarmånader!  Vi tackar också att ni uppmärksammar oss om problem med städning och lovar att titta på detta.  Planetstaden önskar er en mycket trevlig sommar & varmt välkomna åter!  Med vänliga hälsningar Sarka Receptionen",Date of stay: July 2018,"[All, languages]",656
