name,url,review count,aggregating rating value,price range,address,postcode,category
Restaurant Pa Skissernas,/Restaurant_Review-g189838-d12097252-Reviews-Restaurant_Pa_Skissernas-Lund_Skane_County.html,86.0,4.5,$$ - $$$,Finngatan 2 Skissernas Museum,223 62,FoodEstablishment
M.E.A.T.,/Restaurant_Review-g189838-d3194502-Reviews-M_E_A_T-Lund_Skane_County.html,419.0,4.0,$$ - $$$,Kattesund,222 23,FoodEstablishment
Aiko Sushi,/Restaurant_Review-g189838-d11875773-Reviews-Aiko_Sushi-Lund_Skane_County.html,79.0,4.5,$$ - $$$,Stora Sodergatan 20,222 23,FoodEstablishment
Rosegarden Lund,/Restaurant_Review-g189838-d7339811-Reviews-Rosegarden_Lund-Lund_Skane_County.html,185.0,4.0,$$ - $$$,Martenstorget,223 51,FoodEstablishment
Malmstens fisk,/Restaurant_Review-g189838-d2695650-Reviews-Malmstens_fisk-Lund_Skane_County.html,119.0,4.5,$$ - $$$,Martenstorget Saluhallen,211 18,FoodEstablishment
Gambrinus,/Restaurant_Review-g189838-d10325722-Reviews-Gambrinus-Lund_Skane_County.html,135.0,4.0,$$$$,Bantorget 1,221 04,FoodEstablishment
Hjulet Mat &amp; Vin,/Restaurant_Review-g189838-d8844771-Reviews-Hjulet_Mat_Vin-Lund_Skane_County.html,85.0,4.0,$$ - $$$,Ostra Martensgatan 6,223 61,FoodEstablishment
Restaurang VED,/Restaurant_Review-g189838-d6938337-Reviews-Restaurang_VED-Lund_Skane_County.html,352.0,3.5,$$ - $$$,Martenstorget 3,223 51,FoodEstablishment
Buljong,/Restaurant_Review-g189838-d2306597-Reviews-Buljong-Lund_Skane_County.html,52.0,4.5,$$ - $$$,Ostra Martensgatan 6 223 61,223 61,FoodEstablishment
Restaurang Staket,/Restaurant_Review-g189838-d807919-Reviews-Restaurang_Staket-Lund_Skane_County.html,230.0,4.0,$$ - $$$,6 Stora Soedergatan,222 23,FoodEstablishment
V.E.S.P.A Lund,/Restaurant_Review-g189838-d796874-Reviews-V_E_S_P_A_Lund-Lund_Skane_County.html,322.0,3.5,$$ - $$$,1 Karl XI Gatan,222 20,FoodEstablishment
Restaurang Sandra,/Restaurant_Review-g189838-d1043211-Reviews-Restaurang_Sandra-Lund_Skane_County.html,65.0,4.5,$$ - $$$,Stora Sodergatan 42,222 23,FoodEstablishment
Fengsson Dumplings,/Restaurant_Review-g189838-d8581453-Reviews-Fengsson_Dumplings-Lund_Skane_County.html,79.0,4.5,$,1 Winstrupsgatan,222 22,FoodEstablishment
Wasabi,/Restaurant_Review-g189838-d811774-Reviews-Wasabi-Lund_Skane_County.html,96.0,4.0,$$ - $$$,2 Lilla Graabroedersgatan Saluhallen 1,222 22,FoodEstablishment
Dos Hermanos,/Restaurant_Review-g189838-d10770543-Reviews-Dos_Hermanos-Lund_Skane_County.html,53.0,4.5,$$ - $$$,Ostra Vallgatan 3,223 61,FoodEstablishment
Restaurang Thuy,/Restaurant_Review-g189838-d12430704-Reviews-Restaurang_Thuy-Lund_Skane_County.html,52.0,4.0,$$ - $$$,Klostergatan 12,22222,FoodEstablishment
