[Swedish],48,46,17,4,"August 29, 2016 ",Lund bästa sushi,"Lund, Sweden","Lund bästa sushi , alltid snyggt upplagt
Bra service och snabba är de
Jag rekommenderar deras sashimi
........................"
[Swedish],48,1,,5,"August 3, 2016 ",Bästa sushin,,Jag tycker att de har de bästa sushin. Trevlig personal. Med tanke på hur mycket gäster där är så måste...More
[Swedish],48,27,8,5,"July 6, 2016 ",Välsmakande Sushi,"Lund, Sweden",Beställde vi nätet en fantastiskt god måltid. Sushi med god smak och annorlunda innehåll. Vackert upplagt på fina fat. Även...More
[Swedish],48,32,3,3,"July 4, 2016 ",Jakuniku,"Lund, Sweden",Sjukt god jakuniku som slår ut smaklökarna i fyrverkerier. Sushin däremot är inget speciellt. Dryg personal när man ska ringa...More
[Swedish],48,29,10,1,"June 27, 2016 ",Snålt och trist,"Lund, Sweden","Köpte med mig lunch, en shake roll. Så himla trist med små, små bitar och därmed också minimalt med lax...More"
[Swedish],48,11,5,4,"April 9, 2016 ",Bästa sushin i Lund men...,"Lund, Sweden",Tyvärr ganska dyr och även om man beställer över en timme i förväg får man oftast vänta! Älskar dock deras...More
[Swedish],48,2,1,1,"March 28, 2016 ",En chans för mycket,"Lund, Sweden","Ätit här tre gånger, varjegång har jag tänkt att det var en slump att sushin var smaklös och andades billiga...More"
[Swedish],48,81,17,3,"March 23, 2016 ",Trevlig lunchsushi,"Helsingborg, Skåne Län, Sweden",Mysig liten restaurang som serverar en schysst lunchsushi. God misosoppa med lite hetta. Alltid trevlug personal.
[Swedish],48,105,20,4,"March 16, 2016 ",Spännande varianter på sushi och exceptionell service,"Gothenburg, Sweden","Äter mycket sushi, men det här stället var extra roligt att besöka! De har lite egna varianter kallade Kaizen. Nytänkande,...More"
[Swedish],48,48,13,4,"January 27, 2016 ",Väldigt god (dyr) sushi,"Gothenburg, Sweden","Jag gjorde en order smidigt på deras hemsida, betalade hemifrån och åkte dit sedan dit och hämtade maten. Väldigt effektivt....More"
[Swedish],48,3,2,3,"December 30, 2015 ","Värdelös Nigiri, men bra Maki",,Numera tunt skurna fiskskivor på nigiri som i gengäld kompenseras med enormt tjockt rislager. Väldigt tråkigt för en tidigare bra...More
