index_ID,lan_long,place,author,date
Lund_00120,"55.7046601,13.1910073",@ Sumeet Ranjan S,@ Sumeet Ranjan S, May 2017
Lund_00121,"55.7046601,13.1910073",9 Sumeet Ranjan S,9 Sumeet Ranjan S, May 2017
Lund_00122,"55.704251,13.1895416",O'Learys,\/ View360 Sweden,s_ Oct 2018
Lund_00123,"55.7047408,13.2032233",Botanical Garden ¢,Alexis Agelis,s_ Jul 2016
Lund_00124,"55.7046601,13.1910073","‘é"" [N","‘é"" [N", Aug 2018
Lund_00125,"55.7046601,13.1910073",,, Jul 2017
Lund_00126,"55.7046601,13.1910073",@ Hans Jirgen Klai,@ Hans Jirgen Klai, Sep 2018
Lund_00127,"55.7046601,13.1910073",e Saadiyah Darus,e Saadiyah Darus, Sep 2009
Lund_00128,"55.7046601,13.1910073",@ Yamanbg BULGA,@ Yamanbg BULGA, Jan 2018
Lund_00129,"55.7046601,13.1910073",Lund - Nov 2017,M) Manos Orfanos,
Lund_00130,"55.7046601,13.1910073","‘é"" [N","‘é"" [N", Aug 2018
Lund_00131,"55.7046601,13.1910073","l\i, Stana Minincic","l\i, Stana Minincic", Jul 2017
Lund_00132,"55.7046601,13.1910073",9 Sumeet Ranjan S,9 Sumeet Ranjan S, May 2017
Lund_00133,"55.7046601,13.1910073",0 Per Pixel Peterss,0 Per Pixel Peterss, Jul 2015
Lund_00134,"55.7046601,13.1910073",Ll e,@ Ismo Kelokaski, Jul 2016
Lund_00135,"55.7046601,13.1910073","‘é"" [N","‘é"" [N", Aug 2018
Lund_00136,"55.7046601,13.1910073",‘ CeBpanuna [lyHi,‘ CeBpanuna [lyHi, Dec 2016
Lund_00137,"55.7046601,13.1910073",0 Per Pixel Peterss,0 Per Pixel Peterss, Jul 2015
Lund_00138,"55.7046601,13.1910073","‘é"" [N","‘é"" [N", Aug 2018
Lund_00139,"55.7046601,13.1910073",e Saadiyah Darus,e Saadiyah Darus, Sep 2009
Lund_00140,"55.7046601,13.1910073",Lund - Nov 2017,M) Manos Orfanos,
Lund_00141,"55.7046601,13.1910073",[T 8,a Diana Picus, May 2017
Lund_00142,"55.7041936,13.1895045",O'Learys,\/ View360 Sweder,s_ Oct 2018
Lund_00143,"55.704741,13.203223",Botanical Garden,"Avision, Alexis A",s_ Jul 2016
Lund_00144,"55.7046601,13.1910073","‘é"" [N","‘é"" [N", Aug 2018
Lund_00145,"55.7046601,13.1910073",A ANasem,A ANasem, Sep 2015
Lund_00146,"55.7046601,13.1910073",! Tom Jirdcek,! Tom Jirdcek, Aug 2017
Lund_00147,"55.7046601,13.1910073","C"":} Leszek A Gasien","C"":} Leszek A Gasien", Jul 2017
Lund_00148,"55.7046601,13.1910073",@ Mato Bosnjak,@ Mato Bosnjak, Dec 2015
