"[Chinese, (Trad.)]",1,1150.0,187.0,3,"September 23, 2015 ",浪漫餐廳，但我的主餐不夠好,"Neihu, Taipei","20150921: dinner
Klo...More"
[Swedish],212,22.0,7.0,5,"July 19, 2016 ",Middag ,,Vi åt en kantarelltoast med getost och picklad rödlök som förrätt -utsökt gott . Till huvudrätt halstrad råbiff. Klostergatans vin...More
[Swedish],212,158.0,49.0,4,"July 2, 2012 ",Exlusivt,"Lund, Sweden","Vårat sällskap åt bla annat råbiff, vilken var alldeles utsökt, plus för att man kunde välja stor eller liten.
Grillad...More"
[Swedish],212,18.0,9.0,4,"July 2, 2016 ",God mat men tålmodig väntan,"Lund, Sweden",Vi fick god mat - oxkind och entrecote - men fick vänta ett bra tag. När vi trodde att förrätten...More
[Swedish],212,115.0,31.0,4,"July 20, 2015 ",Ett besök är ett måste.,"Lund, Sweden",Lokalen är verkligen välgjord för ens själ. Det är en fröjd att sitta och äta eller bara ta en drink...More
[Swedish],212,26.0,7.0,5,"July 25, 2015 ",Det självklara restaurangvalet i Lund,"Lund, Sweden",Lunda favoriten! Varit här både med min familj och med företaget vid flera tillfällen. Vid alla tillfällen har samtliga varit...More
[Swedish],212,115.0,31.0,4,"July 25, 2017 ",Ännu en måltid,"Lund, Sweden",Ännu en måltid på en av stans bästa ställen. Besöken har blivit en del genom åren nu. Anser att Klostergatans...More
[Swedish],212,9.0,5.0,5,"July 26, 2016 ",God och vällagad mat,"Lund, Sweden",God mat såväl för ögat som för gommen. En mysig krog med god mat och trevlig atmosfär som ligger i...More
[Swedish],212,11.0,6.0,5,"July 26, 2017 ",Favoritresturangen,,Fantastisk mat i mysig miljö. Mycket trevlig personal och bra service. Gillar du råbiff ska du testa det här! Glöm...More
[Swedish],212,46.0,5.0,5,"July 26, 2018 ",Alltid gott,"Lund, Sweden",Har ätit här flera gånger. Alltid god mat och trevlig service. Deras 3 rätters meny kan rekommenderas. Oftast mycket folk....More
[Swedish],212,68.0,14.0,5,"July 27, 2018 ",Jättebra rakt igenom,Stockholm,"Besökte med familjen. Jättebra mat rakt igenom serverad på proffsigt, trevligt och korrekt sätt. Kan verkligen rekommenderas!"
[Swedish],212,14.0,6.0,4,"July 28, 2015 ","bra, trevligt och värt ett besök",,"Bland de bättre restaurangerna i Lund. maten är klassisk fransk bistro, bra vinutbud och välsmakande rätter"
[Swedish],212,13.0,4.0,5,"July 30, 2015 ",Ett säkert kort,"Stockholm, Sweden",Klostergatans vin och delikatess är ett måste om man besöker Lund. En klassisk fransk bistro med mycket hög kvalitet och...More
[Swedish],212,22.0,7.0,4,"July 31, 2015 ",Middag,,"Vi har besökt restaurangen ett antal gånger och aldrig blivit besviken.

Åt halstrad  gös med grillad sparris ochcitronbeurreblanc
Tilldesser Jordgubbsparfait...More"
[Swedish],212,34.0,14.0,5,"July 6, 2015 ",Lunds bästa restaurang - i fransk bistrostil,"Siem Reap, Cambodia",Vällagad fransk mat av högsta kvalitet - inget krångel eller fusk. Vi åt deras klassiska meny som börjar med en...More
[Swedish],212,44.0,10.0,5,"July 9, 2015 ",Härligt matställe,"Sodermanland County, Sweden","SÅ härlig miljö, ofta fullt så kom i god tid. 
God mat som överraskar och är varierad.
Trevlig personal.
Bra...More"
[Swedish],212,180.0,31.0,5,"July 9, 2015 ",Lax till lunch smaka mums!,"Lund, Sweden",Som vanligt god lunch och bra service. Dagens lax med dijonsås var kanongod! Finns alltid Toast skagen som ett säkert...More
[Swedish],212,81.0,17.0,4,"June 10, 2016 ",God lunch,"Helsingborg, Skåne Län, Sweden","Trevligt ställe centralt i Lund. Salladsbuffé och bröd, bordservering för maten. Vällagad och god lunch. Personalen lite väl stressad de...More"
[Swedish],212,37.0,12.0,5,"June 12, 2016 ",Lördag kväll med pojkvännen ,"Lund, Sverige","Stans bästa råbiff och entrecote. 

Ett säkert kort, först klassig mat, mysig och romantisk, fransk inredning. Söta och kunniga servitriser....More"
[Swedish],212,812.0,143.0,3,"June 16, 2015 ",Trevligt ställe med bra mat,"Stockholm, Sweden","Trevlig miljö, bra service , varierad meny och mycket god mat till rimligt pris. Centralt läge i Lund.
Vi började...More"
[Swedish],212,12.0,12.0,5,"June 18, 2013 ",Utmärkt,"Kalmar, Sweden","Vi firade vår dotters examen på restaurangen. Vilken lyckad kväll. Fantastisk mat, trevlig miljö och utmärkt service. Verkligen en restaurang...More"
[Swedish],212,3.0,1.0,5,"June 18, 2017 ",Fin och trevlig restaurang,,"En restaurang med fin och välsmakande mat lämplig både för fritid, när man ska ha något extra gott och för...More"
[Swedish],212,33.0,23.0,5,"June 19, 2018 ",Lunds bästa restaurang,Malmö,"Detta är utan tvekan Lunds bästa restaurang!

Jag har besökt restaurangen ett stort antal gånger de senaste åren, främst på...More"
[Swedish],212,15.0,3.0,5,"June 2, 2017 ",Väldigt bra! ,,"Mycket bra mat, bra service och har nog en av södra Sveriges bästa oxfilé. Har en klassisk menyn som skiftar...More"
[Swedish],212,180.0,31.0,4,"June 26, 2017 ","Mat, vin och service","Lund, Sweden","Inledningsvis lite knackig service eftersom många bordsreserveringar var till samma tid. Drinkar, förutbestämd meny och viner levererades sen som på...More"
[Swedish],212,11.0,5.0,5,"June 3, 2018 ",Födelsedagsfirande ,"Kavlinge, Sweden","Mycket god mat och trevlig personal. Härlig miljö och blandad ""publik"", unga och gamla gäster i en skön blandning."
[Swedish],212,97.0,21.0,4,"June 30, 2017 ",Kanonklass,"Orebro, Sweden",Löjromstoast till förrätt och oxfilé till huvudrätt. Båda två var helt perfekta. Hade blivit fem om det inte varit för...More
[Swedish],212,8.0,3.0,4,"June 6, 2016 ",Bra igen,,"Efter kvalitetsproblem i köket i ett år eller så har de äntligen återhämtat sig. Härligt! Så maten är nu felfri,...More"
[Swedish],212,73.0,5.0,4,"June 6, 2017 ",God mat ,"Lund, Sweden","Första besöket, var där med min mamma en lördag kväll i juni. Båda valde det som kändes mest prisvärt, 3-rätters...More"
[Swedish],212,245.0,57.0,5,"March 10, 2014 ",Stans bästa restaurang,"Lund, Sweden","Man blir aldrig besviken på Klostergatan. Bra klassisk franskinspirerad mat och bra service.

Lunchen är populär och alltid bra med...More"
[Swedish],212,7.0,6.0,5,"March 12, 2017 ",God mat i trevlig atmosfär,"Uppsala, Sweden",Mycket bra mat och dryck. Trevlig atmosfär och bra service. Måste säga att deras charkbricka var grym. Väl värt ett...More
[Swedish],212,93.0,17.0,5,"March 15, 2013 ",Ett halleluja moment!,"Staffanstorp, Sweden",Vi var 2 par som besökte denna otroligt mysiga och vänliga restaurang. 3 av oss bestämde oss för deras trerättersmeny...More
[Swedish],212,4.0,3.0,4,"March 16, 2016 ","Trevligt, gott och säkert","Lund, Sweden","Det bästa med Klostergatans är att man mår så bra där, trivseln har flyttat in på något sätt. Mest beror...More"
[Swedish],212,128.0,33.0,3,"March 18, 2017 ",Bra men skjuter lite över målet...,"Lund, Sweden","Mkt trevlig servitör med bra kompetens avseende vi o mat. 
Märks att service ""tunnas"" av efterhand som det kommer mer...More"
[Swedish],212,3.0,1.0,5,"March 22, 2016 ",Perfekt för lunch och middag!,"Stockholm, Sweden","Jättetrevlig personal! Mat och dryck helt perfekt! Vacker inredning utmed lugn gata. 
Kommer gärna tillbaka hit!"
[Swedish],212,245.0,57.0,2,"March 28, 2015 ",Det var bättre förr,"Lund, Sweden","Vi har regelbundet besökt Klostergatan, men något har hänt de senaste månaderna. Maten är enkla lösningar och salladerna som har...More"
[Swedish],212,18.0,8.0,4,"March 28, 2016 ",En finare middag,Lidköping,"Jag och min pojkvän gick hit för att fira hans tenta i höstas, det är absolut god mat och personalen...More"
[Swedish],212,8.0,3.0,4,"March 29, 2014 ",Bra,,"Bra men har märkbart tappat kvalitet i nåt år nu. Lite sämre mat än förr. Personalen som förr var fantastisk,...More"
[Swedish],212,32.0,4.0,5,"March 3, 2017 ",Vilken bra bistro!,"Vaxjo, Sweden","Trevlig fransk bistro med inte bara bra, utan perfekt balanserad mat. Stora, goda ostron till förrätt och till huvudrätt var...More"
[Swedish],212,86.0,25.0,3,"March 6, 2016 ",Konventionell men bra middag,"Arboga, Sweden",Vi var ute i god tid för att boka inför kvällen men placerades tyvärr mitt i draget från ytterdörren trots...More
[Swedish],212,2.0,,5,"March 6, 2016 ",När du inte hinner åka utomlands,"Lund, Sverige","Maten tillreds med fantasi och omsorg, rekommenderat vin passar som hand i handske till maten, Betjäningen är omtänksam och lyhörd....More"
[Swedish],212,12.0,2.0,4,"May 1, 2018 ","Mysigt, god mat och fin service","Solna, Sweden","Varmt, kul och välkomnande. Fin meny med bra urval och superbra råvaror. Personlig service och god vägledning kring både mat...More"
[Swedish],212,5.0,1.0,5,"May 12, 2015 ",Perfekt,"Lund, Sweden","Man äter och dricker gott till rimlig kostnad. Mat, atmosfär och service känns som i Frankrike eller norra Italien."
[Swedish],212,45.0,8.0,5,"May 13, 2018 ",Fantastiskt,"Gothenburg, Sweden",Åt månadens meny tillsammans med vinmenyn och det var verkligen en fullträff. Väl balanserade smaker och perfekt stekt kött. Hit...More
[Swedish],212,35.0,15.0,4,"May 15, 2018 ",Rask middagsvisit!,"Lund, Sweden",Suverän service. Den pocherade rödspättan var tillagad till perfektion & primörerna likaså. En fantastisk smakupplevelse. Rekommenderas varmt!
[Swedish],212,3.0,,5,"May 16, 2018 ",Utsökt,Malmö,"Alltid lika gott, dag som kväll.
En av stans bästa om inte den bästa. 
Smakkombinationer för den kräsne"
[Swedish],212,2.0,4.0,5,"May 20, 2016 ",Anklever och oxfilé ,"Lund, Sweden","Har hittat mitt favoritställe i Lund. Härliga rätter, skön stämning och supertrevlig personal. Tack för att ni finns!"
[Swedish],212,7.0,7.0,5,"May 22, 2013 ",Utmärkta menyer,"Lund, Sweden","Deras menyer är väldigt prisvärda med tanke på kvalitén på maten. Tre rätt för runt 350 kr, där det bjuds...More"
[Swedish],212,1.0,2.0,3,"May 25, 2013 ",Medioker fiskgryta,,Satt vid ett mysigt litet fönsterbord en lördageftermiddag o var hungriga o beställde fiskgryta eftersom vi båda älskar fisk. Grytan...More
[Swedish],212,13.0,5.0,5,"May 25, 2017 ",Nöjda i Lund,"Solvesborg, Sweden","Min son fyllde 40, min dotterdotter fyllde 5 år. Vi hade valt Klostergatans vin och delikatess för att fira de...More"
[Swedish],212,4.0,4.0,5,"May 3, 2013 ",Alltid god mat och service,"Lund, Sweden","Varje gång man kommer dit, blir man alltid väl bemöt av trevliga personaler och mycket goda husmanskoster."
[Swedish],212,24.0,2.0,5,"May 3, 2013 ",Väldigt professionel,"Lund, Sverige","Restaurangen har allt som en bra restaurang ska ha.
Väldig god mat med finess, snabb betjäning,bra stämning, väldig bra kypare...More"
[Swedish],212,131.0,10.0,4,"May 31, 2018 ",God mat och trevlig personal,"Uppsala County, Sweden","Vi testade rödtunga och ankbröst. Båda rätterna kan rekommenderas. Mysig miljö inne, men vi valde ändå att sitta utomhus, eftersom...More"
[Swedish],212,38.0,5.0,3,"November 14, 2018 ",Blandad kompott,"Falsterbo, Sweden",Problemet med riktigt bra krogar är ju att man alltid ställer så höga krav. När så målbilden inte uppfylls så...More
[Swedish],212,142.0,32.0,4,"November 15, 2015 ",Bland dom bästa i Lund,"Malmo, Sweden",Bokade bord en fredag kl 19.30 på denna mysiga restaurang i centrala Lund. Matsalen var nästan fullsatt och man får...More
[Swedish],212,13.0,5.0,4,"November 16, 2018 ",God mat. Bra meny.,"Lund, Sweden","God, alltid vällagad mat. Bra meny. Fin uppläggning. Aldrig besviken på smakupplevelse. Meny, mat, smak ger högt betyg. Det som...More"
[Swedish],212,32.0,7.0,4,"November 18, 2017 ",Familjemiddag en lördag,"Malmo, Sweden","Nästan hela släkten samlades igår för att avnjuta en fantastisk tre rättersmeny.
Musselsoppan var amazing, därefter rådjur som var underbart...More"
[Swedish],212,163.0,40.0,2,"November 18, 2018 ",En besvikelse,"Malmo, Sweden",Besökte krogen en lördag för lunch. Miljön är trevlig med sitt brasseriestuk. Stämning informell. Vårt val föll på Toast Skagen...More
[Swedish],212,33.0,12.0,5,"November 19, 2015 ",Mysig krog att återvända till,"Lund, Sweden",God mat och alltid lika trevlig och professionell personal. Kunniga om vin och mat. Den halstrade råbiffen är alltid ett...More
[Swedish],212,1.0,1.0,3,"November 2, 2015 ",Blandning av bra och dåligt,"Stockholm, Sweden","När vi kom till restaurangen så var det fler som stod och väntade in ""hovmästaren"". Servicen tog hand om första...More"
[Swedish],212,6.0,3.0,4,"November 21, 2016 ",Mycket trevligt liten restaurang,"Lund, Sweden",Mycket trevligt liten restaurang med god kryddrik mat med god dryck till. Bra service med kunnig personal men bokning behövs.
[Swedish],212,5.0,3.0,5,"November 22, 2015 ",Min favorit i Lund,"Lund, Sweden","Trivsamt och informellt. Mycket engagerad  och kunnig personal. Brokig publik i alla åldrar. Enkel och lockande meny, med inrikting på...More"
[Swedish],212,48.0,25.0,4,"November 23, 2014 ",Trevligt och gott!,Rom,Fick dagens som var mycket vällagad och god. Personalen var serviceminded och vi fick in både mat och dryck otroligt...More
[Swedish],212,39.0,16.0,4,"November 23, 2014 ",Mycket flexibel personal o  de fixar nog det flesta önskemål.,,Gott o vällagat. Bra service. Alert men inte påflugen service. Dock usel ventilation o jättevarm lokal.
[Swedish],212,4.0,,4,"November 27, 2014 ",Trevlig atmosfär!,"Malmo, Sweden",Det här stället är alltid lika trevligt. Brukar komma förbi under lunchen ibland och ser alltid fram emot vilka rätter...More
[Swedish],212,72.0,15.0,5,"November 29, 2015 ",Jättegott ,"Staffanstorp, Sweden","Beställt diverse för avhämtning och det håller alltid hög standard.
Personalen är trevlig och tillmötesgående."
[Swedish],212,6.0,2.0,4,"November 29, 2015 ",Mysigt ställe & god mat,"Lund, Sweden",Mysig lite mindre restaurang i centrala Lund. God mat & trevliga servitörer! Maten serveras utan direkt väntetid & jag kan...More
[Swedish],212,42.0,13.0,5,"November 30, 2012 ","Trevlig atmosfär, god mat, mysigt",Lund,Det är alltid trevligt att komma till K vin och d. Bra atmosfär och väldigt bra service. Vi kommer tillbaka!
[Swedish],212,226.0,167.0,5,"November 30, 2015 ",Fullständigt lysande till vårt bröllop!,Helsingborg,Jag och min fru anlitade Klostergatans vin och delikatess för att handa maten på vårt bröllop och vi kan inte...More
[Swedish],212,4.0,4.0,3,"November 4, 2016 ",Helt ok,"Djursholm, Sweden","Blev mycket besviken på råbiffen. En tråkig köttklump med de tråkiga klassiska tillbehören - inget nytänk. Smaklöst. Dock goda pommes,...More"
[Swedish],212,26.0,4.0,4,"November 6, 2017 ",Mysigt och trevligt!,"Lund, Sweden","Härlig lokal med trevlig stämning! 
God mat och fin service, rekommenderas! Kan BK ngt hög ljudnivå. Man bör boka bord."
[Swedish],212,31.0,2.0,4,"November 6, 2017 ",Bra lunch med snobbig servering,,Utmärkt mat men trist att möta snäsig service! Verkar mest intresserade av stammisar. Ensamma gäster möts av ointresse. Trist på...More
[Swedish],212,1.0,,5,"November 7, 2018 ",Första men inte sista besöket!,,Vi skulle fira en födelsedag men den utvalda restaurangen var fullsatt så vi fann denna pärla mest av en slump...More
[Swedish],212,50.0,56.0,5,"October 16, 2018 ",Fira födelsedag,"Lund, Sweden","Min make och jag blev bjudna av vänner. Vi hade bokat bord, vilket verkar vara bra idé. Det var fullt!...More"
[Swedish],212,51.0,7.0,5,"October 16, 2018 ",Bra mat och trevlig personal ,"Stockholm, Sweden",Vi var 5 personer och alla var nöjda med maten. Råbiffen var bland den bästa vi har ätit. Priserna är...More
[Swedish],212,45.0,2.0,5,"October 18, 2016 ",LUNDS BÄSTA:::,,"Otroliga smakupplevelser och mycket trevlig lokal både inne och ute.
Men också en av Lunds dyraste, dock väl värt pengarna!!"
[Swedish],212,158.0,32.0,3,"October 19, 2017 ",Besviken,"Lund, Sweden","Jag bor i Lund och har varit här många gånger. Det var ett tag sedan senast, men när jag nu...More"
[Swedish],212,28.0,6.0,4,"October 2, 2017 ",Lunch en lördag,"Lund, Sweden",Du blir aldrig besviken på Klostergatans lunch. Härlig brasseri-känsla med mycket god mat. Hyfsat urval av viner på glas. Trevlig...More
[Swedish],212,1.0,,4,"October 20, 2016 ",God mat och serviceinrktad personal,,"Åt här på en affärsresa. 3-rätters med öl och vin. God mat och trevlig personal. Rimliga priser för en ""bättre""...More"
[Swedish],212,328.0,45.0,4,"October 22, 2018 ",Restaurang i centrum av Lund,"Jonkoping, Sweden",Vi besökte Lund och skulle äta lunch och då valde vi denna restaurang i centrum. Det var bordsservering och vi...More
[Swedish],212,26.0,4.0,5,"October 26, 2015 ",Alldeles förträfflig restaurang!,"Lomma, Sweden",Maten bättre än krog med stjärna i GuideMichelin! Servicen bra och kunnig personal. Kommer gärna hit igen.
[Swedish],212,45.0,4.0,4,"October 28, 2018 ",Bra hak!,,"Jag har besökt restaurangen ca 5 ggr och hitintills sluppit gå hem besviken. Helt ok priser, trevliga rätter som är...More"
[Swedish],212,8.0,,5,"October 28, 2018 ",Utsökt!,,"Disputationsmiddag med mat i toppklass, utsökta viner, perfekt service. Bättra än så här kan man inte fira när dotter disputerat."
[Swedish],212,155.0,22.0,4,"October 3, 2017 ",Lyixgt utan överdåd,"Akarp, Sweden",Servicen på Klostergatan är utmärkt. Vi fick god mat till rimliga priser. Speciellt plus till den trevliga atmosfären. Lokalerna är...More
[Swedish],212,123.0,23.0,4,"October 30, 2015 ",Kanonmat men tappat lite av sin service,"Kavlinge, Sweden",Var här med en vän på en middag en lördagskväll. Vi fick ett bra bord och fick menyerna väldigt snabbt....More
[Swedish],212,9.0,4.0,5,"October 7, 2014 ","A very nice restaurant in French style, close to the Cathedral of Lund.","Lund, Sweden","En förträfflig krog i fransk stil, inrymd i en före detta delikatessaffär vid Klostergatan, Lunds matstråk nr 1. Granne med...More"
[Swedish],212,657.0,161.0,5,"September 1, 2012 ",Härlig lyx!,"Stockholm, Sweden",Vi åt nedan redovisade läckerheter innan vi började färden mot Kista. Där till en mellanöl från Lunds bryggeri. Bra service...More
[Swedish],212,1.0,2.0,5,"September 1, 2014 ",Fantastisk mat och service,,Vill tacka för en superb kväll med mycket god mat och en fantastisk bra service trots en fullsatt restaurang. Verkligen...More
[Swedish],212,7.0,12.0,4,"September 1, 2014 ",Trevlig restaurang ett stenkast från Lunds Domkyrka,"Bjarred, Sweden",Detta är en av mina favoriter I Lund. Den är intim med små bord och man sitter ganska tätt med...More
[Swedish],212,1.0,,5,"September 12, 2011 ",Väldigt god mat,"Lund, Sweden","Mycket bra mat, bra och kunnig service och trevlig atmosfär."
[Swedish],212,21.0,5.0,5,"September 14, 2016 ",Trivsel och mycket god mat!,"Lund, Sweden","Restaurangen ligger mitt i centrala Lund. Det är mycket god mat, bra service och stället är mycket populärt."
[Swedish],212,68.0,17.0,4,"September 15, 2013 ",Mycket bra.,"Malmo, Sweden",En resturang med god mat och väldigt bra service. Prövade deras höstmeny vilken var mycket bra tillagad och välsmakande. Trevlig...More
[Swedish],212,39.0,9.0,5,"September 16, 2017 ",Service!!,"Malmo, Sweden",Här fyller de på vattenglaset när man själv bara anar att man är törstig. Jag har ramlat in här på...More
[Swedish],212,36.0,17.0,3,"September 17, 2014 ",Högt och lågt,"Malmo, Sweden",Det har blivit ett par luncher här nu och det är supergott ibland och mindre bra ibland. Ätit en fantastisk...More
[Swedish],212,221.0,22.0,4,"September 19, 2015 ",Trevlig lunchrestaurang !,"Karlstad, Sweden",Trevlig lunch restaurang med varierat utbud på rätter. Passa på att avsluta med en perfekt espresso efter maten
[Swedish],212,13.0,2.0,5,"September 2, 2017 ",Tusan vad gott! ,"Villajoyosa, Spain",Perfekt lördagslunch med bra råvaror! Prisvärt också! Åt Skagen toast och en sallad med majskyckling. Udda blandning som passade prefekt...More
[Swedish],212,141.0,44.0,5,"September 20, 2013 ",Bästa restaurangen i Lund,"Helsingborg, Sweden","Klostergatan har allt det som man behöver av en restaurang. Mysig miljö, mycket god mat och framför allt väldigt god...More"
[Swedish],212,19.0,5.0,4,"September 21, 2015 ",Kunnig personal,"Landskrona, Sweden",Besökte den här restaurangen den 19/9 2015.min första känsla när jag kom in i restaurangen var den stiliga inredningen.Mina intryck...More
[Swedish],212,220.0,47.0,5,"September 21, 2016 ",Dyrt men gott!,"Kavlinge, Sweden",En av många pärlor bland Lunds restauranger! Maten håller högsta klass och som namnet antyder så är vinlistan inget att...More
[Swedish],212,31.0,2.0,4,"September 22, 2017 ",Vällagad lunch,,Utmärkt lunch för inte helt billiga 109 kr men prisvärt. Har bara provat fisk men den höll måttet för väl...More
[Swedish],212,1.0,,5,"September 24, 2016 ",Trevlig restaurang ,Svedala,"Underbar mat och trevlig personal, mycket bra service. Kommer att besöka detta ställe fler gånger, rekommenderar gärna till fler vänner."
[Swedish],212,114.0,34.0,5,"September 25, 2012 ",Underbart gott i vänlig atmosfär,Malmö,"Kantareller, råbiff, creme bruleé... underbart gott, i gemytlig atmosfär.
Mysig och vänlig personal. Helheten är total."
[Swedish],212,33.0,11.0,5,"September 26, 2015 ",Magnifique!,"Undrom, Sweden",En fantastiskt bra restaurang! Glöm inte att boka bord i god tid om ni ska fira något. Mycket välkomponerade månadens...More
[Swedish],212,13.0,,5,"September 27, 2015 ",Mycket trevligt,"Stockholm, Sweden","Åt lunch här, en fantastisk löjrom med ett mycket gott vin till. Trevligt ställe att slinka in på en lördag,...More"
[Swedish],212,12.0,3.0,5,"September 27, 2017 ","Prisvärt, vällagat, kvalité på råvaror och kunnig service","Malmo, Sweden",Har varit här flera gånger och överraskas alltid av kvalité vs pris. De håller skäliga priser för den mat och...More
[Swedish],212,17.0,1.0,5,"September 4, 2017 ",Alltid on top!,"Lund, Sweden","Som alltid fantastiskt nöjd med mat, dryck och service. Musslor eller oxfilé är mitt tips när ni går hit."
[Swedish],212,7.0,,4,"September 6, 2017 ",Nästan 100 procentigt.,"Loddekopinge, Sweden","Super proffsigt med suverän personal. Åt Råbiff och Oxfilé, båda rätterna oslagbara. Enda smolket var Ostronen där två av sex...More"
[Swedish],212,257.0,42.0,5,"September 6, 2017 ",Topp jobblunch,"Ahus, Sweden","Toppenställe i centrala Lund nära domkyrkan som serverar lunch för omkring 100-150 kr, inkl bröd och sallad. God mat med...More"
[Swedish],212,37.0,8.0,4,"September 7, 2015 ","Stressigt, jäktigt men bra mat och trevlig personal","Hoor, Sweden","Väldigt bra service, dock var vi där när de hade EXTERMT mycket att göra så vi fick sitta i baren...More"
[Swedish],212,141.0,56.0,5,"September 7, 2016 ",Toppen.,"Lund, Sweden","Mycket bra, smakrik vällagad mat. Bra drycker. Trevlig stämning i lokalen. Fullsatt alla dagar i veckan. Personal tillmötesgående med allergier...More"
[Swedish],212,14.0,9.0,4,"September 8, 2015 ",Återkommande besök både lunchtid/kvällstid under flera år,MÖLNDAL,"Ett av de absolut mest prisvärda och kvalitativt bästa restaurangerna i Lund.
Bra klass på vinrekommendationer. Jag älskar en matsedel...More"
