"[Chinese, (Trad.)]",1,1150.0,187.0,3,"September 23, 2015 ",浪漫餐廳，但我的主餐不夠好,"Neihu, Taipei","20150921: dinner
Klo...More"
[English],114,7.0,1.0,5,"November 30, 2013 ",Great food great service,"Lund, Sweden","Two dinners. Always surprised by the great food and warm reception. Great recommendation, always."
[English],114,10.0,1.0,5,"November 30, 2016 ",Excellent!,"Lund, Sweden",Always very good food and excellent service! Unique atmosphere! Nice place both for lunch and dinner.
[English],114,18.0,3.0,5,"November 8, 2012 ",Great good food in a very cozy environment.,"Hollviken, Sweden",Always very good and well done food served with a smile. Not to mention the ability to pick up delicious dishes from a la carte menu when you do not have babysitter - Perfect
[English],114,25.0,3.0,4,"November 8, 2013 ","Excellent service, cosy atmosphere","Copenhagen, Denmark","A nice place in the middle of Lund. Great service, a cosy atmosphere and a great location. Pricy but the service makes it worth."
[English],114,116.0,11.0,5,"November 8, 2017 ",A bit of France - in southern Sweden,"Helsingborg, Sweden","Lovely bistrostyle restaurant with a intimate and cozy atmosphere. Moules, boef Tartar, steak along  with the best fries I have had for a long time. Very friendly and efficient service. Not too expensive. Perfect for a long and relaxed evening"
[English],114,197.0,50.0,4,"October 1, 2011 ",Good choice for dinner in Lund,"San Francisco, California","Nice small restaurant in Lund.  Though the menu is small, they have enough variety to fit most people's preferences.  Portions are decent by European standards, though many Americans will think they are on the small side.  Service was fast and friendly, even with two large...More"
[English],114,55.0,21.0,4,"October 1, 2018 ",Great food and nice place for business dinner,"Hopkins, Minnesota","Limited menu but very nice and great atmosphere for our group of 8 on a business dinner. Service was perfect, attentive, not intrusive. I enjoyed the cold cut board for a starter which had some very tasty salami. Filet with French fries for the main...More"
[English],114,16.0,8.0,4,"October 18, 2015 ","Little space, but good food","Lund, Sweden",This is a restaurant where you will not be able to keep a private conversation very private - the tables are very close and the place is basically packed. But the food and the waiters are excellent.
[English],114,86.0,33.0,4,"October 19, 2016 ","Perfect for an after work, cozy atmosphere",Gävle,"After a long day I stopped here with a colleague for a glass of wine before dinner. We had a really nice glass of Ripasso (considering the inflation in Ripasso causing the standard to drop like in any other trendy wines in Sweden), but I...More"
[English],114,37.0,27.0,4,"October 29, 2014 ",Nice but expensive!,"London, United Kingdom","We wanted to eat fish so were recommended this restaurant by our hotel, was a very nice meal, if you enjoy Nouvelle Cuisine, not really ideal for my 20 year old hungry son!! bit pricy but then it was our first night in Sweden and...More"
[English],114,278.0,215.0,4,"October 29, 2015 ",Delighted,"Chicago, IL","Our hotel recommended this restaurant and we were surprised, mid-week, when upon arrival we were asked if we had booked ! No, never considered we would need to -- but we were early, so they could seat us. The service was exceptionally good (especially as...More"
[English],114,4.0,2.0,5,"September 13, 2012 ",Excellent food & service even on a busy night,"London, United Kingdom","We were there for dinner, and the menu was classic & simple. Quality of food is good, I've had the Foie Gras entre, then choucroutte for mains, whilst other friends ordered fillet mignon which was in perfect doneness as to ordered.

Ambience is comfortable although...More"
[English],114,19.0,15.0,4,"September 16, 2013 ",Simply great,"Madrid, Spain",Excellent food in a relaxed atmosphere. Service was very friendly and our waiter really seemed to know his stuff and was able to make spot on recommendations. Would definitely repeat.
[English],114,98.0,16.0,4,"September 21, 2016 ",Great food in a nice environment,"Lund, Sweden","This is one of the best restaurants in Lund. The food doesn't reach the same levels as some of the top-ranked restaurants (e.g. Mat&Destillat), but Vin&Delikatess makes up for that by great service and a cosy atmosphere. Don't get me wrong though, the food is...More"
[English],114,35.0,9.0,3,"September 25, 2015 ","Good service, quality and ambience but limited by complacency",Sweden,"I have eaten there quite a few times and had expensive but quite good meals. Something was always missing but could not quite put my finger on it. Then, having lunch I took a few sips of my red wine and thought it to be...More"
[English],114,28.0,10.0,5,"September 29, 2016 ","Great food, great service, great place","Balingen, Germany",I was at the restaurant for a business dinner with a pre-ordered three course menu. The food was extremely good. The staff was very friendly and professional. Wine recommendation was good. The restaurant was very busy on a Monday night. I enjoyed the evening very...More
