"[Chinese, (Sim.)]",1,6,,4,"January 21, 2018 ",味道还不错，服务好。,,瑞典菜式，感受总的来说很不错。酒吧装修风...More
[Swedish],214,76,20.0,2,"July 19, 2016 ",Dåligt bemötande,"Aseda, Sweden",Vi var mycket besvikna och beslutade oss tillslut för att gå utan att beställa mat. Vi satt och väntade vid...More
[Swedish],214,2,2.0,3,"July 20, 2015 ",God mat men dessvärre dålig service,"Stockholm County, Sweden","Vi beställde drinkar, förrätter, vin samt pizzor. Maten var väldigt god - men servitrisen gjorde fel i att missa en...More"
[Swedish],214,22,6.0,4,"July 21, 2015 ",Kött Pizza Rissotto,"Hassleholm, Sweden",Varit där 3-4 gånger nu och alltid gått hem nöjd. Pizzorna är väl värda sitt pris. Fick en fantastiskt god...More
[Swedish],214,80,22.0,3,"July 23, 2016 ",Gott och trevligt,"Lund, Sweden",Satt ute och beställde hamburgare med klyftpotatis. Tyvärr kunde det inte serveras någon vitlöksfri sås/dressing till (ingick ailoi). Förutom ketchup...More
[Swedish],214,28,12.0,4,"July 24, 2016 ",Trivsam sommarkväll,"Sandviken, Sweden",Ett trevligt ställe för en enkel måltid eller en drink. Ligger perfekt på Mårtenstorget. Ingen lång meny men lagom för...More
[Swedish],214,17,5.0,2,"July 24, 2018 ",Bottenapp,"Stockholm County, Sweden",Vi gick dit pga. bra recensioner och blev besvikna. På pizzan med skaldjur var det torra knappt ätbara räkor på...More
[Swedish],214,5,3.0,2,"July 26, 2017 ",Besviken,,Fortfarande goda pizzor men dåligt bemötande. För mycket att göra så man klarar inte att vara trevlig. Tyvärr blir det...More
[Swedish],214,80,20.0,4,"July 26, 2017 ",God italiensk-inspirerad mat,"Gothenburg, Sweden",Det tog lite tid att få beställa och att få maten. Men maten var god och höll bra kvalitet. Fin...More
[Swedish],214,156,51.0,3,"July 27, 2017 ",Mamma Mia Medelmått,"Gothenburg, Sweden",Att sitta vid torget kändes trevligt. Att beställa en vedugnsbakad Pizza kändes lockande. Vi valde havets variant med rikligt pålägg....More
[Swedish],214,5,1.0,5,"July 28, 2016 ",Trevligt! ,,"Får man plats på uteserveringen kl 19 får man lapa det sista av kvällssolen, vilket är extra trevligt när man...More"
[Swedish],214,91,20.0,4,"July 30, 2015 ","Bra mat och proffsig, men avmätt service","Vallentuna, Sweden","Åt lunch en regnig dag. Fin uteservering där vi efter lite tvekan även fick ha med hundarna. Kort, men varierad...More"
[Swedish],214,10,6.0,2,"July 30, 2016 ",Obefintlig service,"Lund, Sweden","En välpolerad fasad men dålig restaurangupplevelse. Lång väntan på kall mat, oengagerad serveringspersonal! Pizzan var inte färdiggräddad utan degig. Har...More"
[Swedish],214,15,,5,"July 30, 2017 ",Superb.,,Mycket trevlig restaurang och personal.Bra läge. Provade vedugnsbakad pizza som var helt underbar. Vi återkommer snart.
[Swedish],214,17,7.0,4,"July 31, 2015 ",Pizzafrossa,"Lund, Skåne Län, Sweden","Utomhus utsikt över Mårtenstorget, inomhus långsmalt valv med intimkänsla. Vegetabiliska pizzan var fräch och smaklig, tunn krispig botten och saftig...More"
[Swedish],214,29,28.0,2,"July 5, 2017 ",Besviken!,"Malmo, Sweden",Vi kom kl 17 så där var inte många andra gäster. Trots detta lyckades servitrisen missa att vårt saltkar var...More
[Swedish],214,2,,5,"July 8, 2016 ",Fantastisk risotto!,Lund,Risotton jag åt idag var magisk!!! Karljohans svamp och tryffel i perfekt balans. Min son på 12 åt majskyckling som...More
[Swedish],214,193,21.0,5,"July 9, 2016 ",Fin vedugnsbakad pizza,"Lund, Sweden",Vedugnsbakad vegetarisk pizza som vi delade på två och tog var sin Sleepy Bulldog till på uteserveringen. Mycket fin pizza...More
[Swedish],214,17,1.0,4,"July 9, 2018 ","Trendig lokal, god mat","Lund, Sweden",Ved är minst sagt den mest trendigt inredda restaurangen i Lund. Otroligt trevlig lokal men kan bli väldigt högljudd och...More
[Swedish],214,2,,4,"June 13, 2015 ",Middag,Växjö,Mycket goda pizzor och mellanrätter. Trevligt bemötande av personalen. Fräscha lokaler i centrala Lund. Vi kommer gärna igen.
[Swedish],214,30,6.0,4,"June 13, 2016 ",God och fräsch pizza i rustik miljö,"Landskrona, Sweden",Jag är inget stort pizzafan men pizzan på Ved var riktigt god och fräsch. Generöst med topping och inte alls...More
[Swedish],214,61,22.0,5,"June 18, 2017 ",Toppen,"Getinge, Sweden","Var där en varm sommarkväll, mycket folk men vi lyckades få bord ändå. 
Beställde var sin pizza (Bacon) som var...More"
[Swedish],214,368,138.0,3,"June 19, 2016 ",Okej mat men priser i öveekant,"Malmo, Sweden",Maten smakade bra och såg fräsch och fin ut men priset på 135kr för pizzorna var för högt. De var...More
[Swedish],214,5,,4,"June 23, 2017 ","Fantastisk mat, oerfaren personal","Lund, Sweden",Godaste maten jag ätit på länge och en smakupplevelse utöver det vanliga. MEN: personalen ouppmärksam och ter sig oerfarna vilket...More
[Swedish],214,16,5.0,4,"June 27, 2017 ",Gott!,"Lund, Sweden","Mycket god pizza och gott vin! Vi var mycket nöjda. Priset på deras ""mellanrätter"" är ganska höga (runt hundralappen eller...More"
[Swedish],214,11,2.0,3,"June 28, 2016 ","God mat, lite sämre service","Lund, Sweden","Goda pizzor och smårätter. Fin lokal som är mysig att sitta i. Vi väntade väldigt länge på maten, vilket hade...More"
[Swedish],214,132,17.0,5,"June 29, 2017 ",Mycket bra!,"Uppsala, Sweden",Goda pizzor som kändes prisvärda (105 kr). Fint ställe. Trevlig personal. Inga negativa synpunkter alls!
[Swedish],214,1,2.0,1,"June 4, 2017 ",Dålig pizza,"Lund, Sweden",Beställde en vegetarisk pizza. Fick räkor på. Sa detta till servitrisen. Fick ut en ofärdig pizza. Inte bra. Överlag bra...More
[Swedish],214,10,9.0,1,"June 4, 2018 ",Sämsta servicen någonsin. ,"Loddekopinge, Sweden","Har nog aldrig fått sämre service någonsin. Fick be om att beställa dricka, o att få en meny och sen...More"
[Swedish],214,12,4.0,4,"June 6, 2017 ",Bra pizzalunch ,"Malmo, Sweden","En mycket, mycket god pizza för 95:- till lunch var ett bra kap. Hyfsat snabbt. Bra bemötande. Den i sällskapet...More"
[Swedish],214,102,11.0,4,"June 7, 2017 ","Trevlig restaurang med trevligt ""koncept""","Mariestad, Sweden","Gillade verkligen konceptet med ""mindre"" rätter mkt smakfulla som beställdes som någon form av ""Jätte Tapas"" 1-3 rätter / Person...More"
[Swedish],214,13,13.0,4,"March 1, 2015 ",Mycket god pizza,"Stockholm, Sweden","Jättegod bacon-pizza. Pizza menyn är kort och okomplicerad,  kanske 5  pizzor. Pizzan är värd 135 kr. 

Långsmal lokal. Varmt längst...More"
[Swedish],214,68,5.0,5,"March 13, 2018 ",Fin restaurang,"Huskvarna, Sweden","Vi var där och åt, god matt, prisvärt, trevligt och proffsig personal...allt man kan önska sig.
Rekommenderas."
[Swedish],214,20,1.0,4,"March 16, 2015 ","Bra, mat, service,atmosfär, vad mer att begära?","Waterloo, Belgium","Ved, kanske inte låter så spännande men ohj va bra det var. Maten var riktigt bra och spännande mellanrätterna som...More"
[Swedish],214,5,2.0,3,"March 18, 2017 ",Goda pizzor,Sweden,Goda pizzor av lyxigare variant och något dyrare. Trevlig personal och jätte mysig lokal. Hade gett en 4a om det...More
[Swedish],214,67,11.0,4,"March 2, 2017 ",Trevlig kväll,"Kristianstad, Sweden",Riktigt god mat till bra pris. Inte så många rätter att välja mellan men räckte då dessa var så olika....More
[Swedish],214,3,,5,"March 21, 2017 ",En restaurang man MÅSTE besöka,"London, United Kingdom",Så himla gott mat och super trevligt personal! Den bästa pizza i Sverige!! Har besökt stället både med jobbet och...More
[Swedish],214,144,40.0,4,"March 6, 2017 ",Söndagseftermiddag med stil,"Lund, Sweden","Det enda öppna en regnig söndagseftermiddag var Ved, men vilken positiv överraskning! 
Mycket proffsig service, god mat - vacker att...More"
[Swedish],214,3,3.0,4,"March 7, 2017 ",Mysig fredagsmiddag,"Lund, Sweden",Fyra personer som valde helt olika rätter. Alla var helnöjda. Servicen var väldigt snabb. Hann knappt börja på fördrinken förrän...More
[Swedish],214,48,25.0,4,"March 7, 2018 ",Stans bästa pizza,Rom,"Min man är av italiensk härkomst, så det är svårt att få honom att gilla svensk pizza, men den här...More"
[Swedish],214,4,,4,"May 12, 2017 ",Mysigt ,,Mysigt inrett med goda pizzor. Vi hade tur att ett sällskap lämnade så vi fick plats! De har även en...More
[Swedish],214,4,1.0,4,"May 13, 2018 ",Toppenställe!,"Lund, Sweden","Fantastiskt god mat och bra service, jag och min väninna åt fantastisk mat och saknade ingenting på hela kvällen"
[Swedish],214,37,12.0,1,"May 14, 2018 ",Måndags kväll med kollegor ,"Lund, Sverige","De fick en tredje chans men nu är det slut .

Ja maten är jätte god och vackert upplagd och...More"
[Swedish],214,6,7.0,1,"May 15, 2017 ",Otrevligt bemötande och degiga pizzor,"Gothenburg, Sweden",Efter att ha besökt Ved vid ett tidigare tillfälle för 2 år sedan såg vi fram emot ett återbesök på...More
[Swedish],214,63,6.0,5,"May 18, 2016 ",Supergod mat!,,"Vällagad och väldigt god mat, vi åt deras mindre rätter och jag tyckte alla var väldigt goda! Musslorna med morotskräm...More"
[Swedish],214,141,56.0,3,"May 20, 2016 ","Trevlig miljö, disträ personal, god mat i snålt tilltagna portioner","Lund, Sweden","Besökte VED med mina kollegor på after work, medelstort sällskap. Miljön inne i restaurangen är trevlig och borden är fint...More"
[Swedish],214,67,6.0,5,"May 20, 2018 ",Underbart god mat.,"Landskrona, Sweden","Jag var här med mina kollegor för en afterwork.

Vi beställde in ett gäng olika smårätter och det var helt...More"
[Swedish],214,108,51.0,5,"May 22, 2016 ",Pizza av högsta klass,"Malmo, Sweden","Ved är vad den heter, en pizzeria med vedeldad ugn. Trots gigantiskt mycket folk denna lördagskväll fick vi våra pizzor...More"
[Swedish],214,5,4.0,4,"May 23, 2015 ",Utmärkt mat!,"Lund, Sweden","Mysig och modern inredning där man inte klämt in för många gäster utan hade lagom avstånd mellan sällskapen.
Vällagad mat...More"
[Swedish],214,59,5.0,2,"May 26, 2017 ",Lunch,,"Service långsam , vi fick vänta i över 40 minuter, den varma maten ljummen,  och vattnet som vi begärde in...More"
[Swedish],214,187,20.0,1,"May 26, 2017 ",Dagens lunch,,"Lång väntan på kall mat. 
Dagens lunch en fredag. Fick bord och dricka snabbt och elegant. Men lasagnen dröjde över...More"
[Swedish],214,128,33.0,1,"May 28, 2017 ",Som ägare hade jag blivit vansinnig,"Lund, Sweden","Andra gången jag besöker detta ställe.
Första gången för en månad sedan. Mötte då en snurrig servitris som inte hade...More"
[Swedish],214,65,9.0,4,"May 31, 2015 ",Goda pizzor ,"Lund, Sweden","Ätit här flertalet gånger, då man är i området ofta. Goda pizzor, havet rekommenderas. Även deras mindre menyer uppskattas. Trevligt...More"
[Swedish],214,1,6.0,1,"May 31, 2016 ",God mat och trevlig miljö men fruktansvärt otrevlig personal! Pga personalen kommer vi INTE att gå tillbaka till Ved.,,God mat och trevlig miljö men fruktansvärt otrevlig personal! Pga personalen kommer vi INTE att gå tillbaka till Ved. Tråkigt...More
[Swedish],214,10,6.0,3,"May 31, 2018 ",God mat men slarvig service ,"Lund, Sweden",Bokade bord i god tid men när vi väl kommer dit har de glömt vår bokning och vi får vänta...More
[Swedish],214,131,10.0,4,"May 31, 2018 ",Supergod pizza,"Uppsala County, Sweden",Vi åt en sen middag med pizza och gratinerad chevreost. Allt var jättegott. Pizzan var stor och det var rikligt...More
[Swedish],214,10,2.0,4,"November 10, 2014 ",Surdegspizzan suverän,"Lund, Sweden",Ingen standardpizza här inte! Vedugnsbakad surdegspizza med väl avvägda ingredienser i ny och spännande tappning. En upplevelse som ger mersmak.
[Swedish],214,20,1.0,4,"November 13, 2016 ",Trevligt ställe på en söndag.,,"Lund är ju som många andra städer ganska dött på en söndag. Medan Ved körde söndaglunch mellan 12-15.

Efter några...More"
[Swedish],214,189,28.0,4,"November 15, 2016 ",Värmande atmosfär ,"Savedalen, Sweden",Från ett kyligt väder utomhus möttes vi av en värmande atmosfär och miljö med en mysig öppen eld. Vi njöt...More
[Swedish],214,8,4.0,4,"November 15, 2016 ",Trevligt!,,"Trevlig personal, mysig lokal (hög titta-på-folk-faktor under sommarmånaderna på uteserveringen) och riktigt goda pizzor. Alla andra rätter - så där,...More"
[Swedish],214,1,1.0,3,"November 23, 2018 ",Jättegod pizza men brister i servicen,,Vi var nöjda med maten och kyparn inledde bra. Men efter vi ätit upp blev vi bortglömda av serveringspersonalen och...More
[Swedish],214,1,1.0,2,"November 25, 2018 ",Inget vidare,,"Beställde pizzor. En var kall, fick dock en ny. Goda pizzor men urusel service. Fick aldrig frågan om något mer...More"
[Swedish],214,100,25.0,3,"November 27, 2014 ",Ingen matupplevelse,"Eslov, Sweden","Tittade in på hemsidan och blev völdigt sugen, verkade perfekt, älskar små eller mellanrätter. Man kan få jättemånga smakupplevelser. Man...More"
[Swedish],214,52,19.0,3,"November 28, 2017 ",Exklusiv pizza,"Gothenburg, Sweden","Som så många andra restauranger är det exklusiva pizzor som VED står ut med. Onekligen väldigt goda, men också lite...More"
[Swedish],214,50,24.0,1,"November 3, 2017 ",Sämsta Ever!!,"Gothenburg, Sweden",Vi bokar bord i god tid och får bekräftelse på sms att vi har bordet mellan kl.18-20 Jag har besökt...More
[Swedish],214,226,69.0,4,"November 4, 2017 ",Fin miljö med trevlig meny,"Lund, Sweden",Ved ligger centralt i Lund vid Mårtenstorget. Mycket trevlig miljö med ett extra plus för en mycket behaglig belysning. Menyn...More
[Swedish],214,87,17.0,4,"November 5, 2017 ",Supermysigt ,"Lund, Sweden","Detta stället har blivit fantastiskt efter utbyggnad. God mat, fin restaurang och bra personal . Enda minus var att vi...More"
[Swedish],214,26,17.0,5,"November 8, 2014 ",Lunch,"Malmo, Sweden","En mysig restaurang i centrala Lund, Mårtentorget. Fin inredning och belysning. Soulmusik i bakgrunden. Bra service, inte lång väntetid. Wallenbergare...More"
[Swedish],214,386,49.0,4,"November 8, 2016 ",God mat och trevlig miljö,"Lund, Sweden",Ved är en trevlig bekantskap. Medelstora rätter och två var precis lagom. Pilgrimsmusslorna var perfekta och så även lammfilén med...More
[Swedish],214,116,32.0,3,"November 9, 2014 ",Nyfiken på ny restaurang,"Lund, Sweden",Var här på after work med arbetskollegor. Fast restaurangen hade inte after work. Maträtterna är ett antal och de är...More
[Swedish],214,68,38.0,4,"October 1, 2016 ",God mat och trevlig personal med bra service ,"Lund, Sweden",Väldigt gott och mycket bra service från bra personal. Maten och personalen tycker jag är viktigast och de uppfylldes väl....More
[Swedish],214,31,9.0,4,"October 14, 2018 ",Mysig krog,"Malmo, Sweden",En mycket trevlig restaurang med kanongod mat och bra service. Trevligt med små rätter så att man kan prova några...More
[Swedish],214,210,29.0,1,"October 17, 2015 ",Familjemiddag,"Orebro, Sweden",Total katastrof. Fick vänta över en timme på huvudrätten trots att vi sa till flera gånger efter ungefär en halvtimme....More
[Swedish],214,59,10.0,4,"October 18, 2018 ",God mat men hög ljudnivå,"Orebro, Sweden",Mycket god mat. Beställde tapas som vi delade på. Fick tips om passande vin till som var gott. Ljudnivån i...More
[Swedish],214,3,1.0,3,"October 19, 2018 ",Inte nöjd,Trelleborg,"Bra trevlig personal men maten har mycket att önska, pizzan var helt ok men priset gör att man vill ha...More"
[Swedish],214,1,4.0,1,"October 21, 2018 ",Glömsk/disträ personal,"Jonkoping, Sweden","Personalen var otrevlig efter att vi ätit och blivit framskickad i baren för att betala fick vi stå i kö,...More"
[Swedish],214,4,2.0,1,"October 21, 2018 ",Fawlty Towers?,,Självfallet ska man säga till om något blir fel. Men när hela upplevelsen är så fruktansvärt katastrofal som detta besök...More
[Swedish],214,6,1.0,5,"October 22, 2018 ",Fantastik mat och service,,"Vår bästa after work någonsin! Mysig lokal, kunnig personal, välkomnande och super god mat vi var så nöjda alla sju!!...More"
[Swedish],214,45,4.0,4,"October 28, 2018 ",God pizza,,"Goda pizzor i trevlig miljö. Det finns även annat än pizzor, tro det eller ej, jag vill minnas att jag...More"
[Swedish],214,18,3.0,3,"October 3, 2015 ",After Work,,Trevligt bemötande och fin miljö både ute och inne. Soligt väder ger förstås extra krydda till maten.  Synd att after...More
[Swedish],214,19,4.0,4,"October 3, 2017 ",Lunds godaste pizza?,"Malmo, Sweden",Mysigt ställe med väldigt god pizza. Lite för hög musik tyvärr. Det finns möjlighet att sitta utomhus under sommaren!
[Swedish],214,25,8.0,4,"October 30, 2015 ",Lunch? Ja tack!,,På Ved kände vi oss välkomna från första stund. Ett vänligt och proffsigt bemötande helt enkelt. Vi var där för...More
[Swedish],214,11,4.0,4,"October 4, 2017 ",Fantastiskt god mat men service desto sämre,"Staffanstorp, Sweden","Ypperlig mat, mysig och trivsam atmosfär, jättebra pris på allt som serverades. Lite stressig miljö dock, viss personal var även...More"
[Swedish],214,88,10.0,3,"September 10, 2018 ",Gärna mer variation,"Lund, Sweden","Ett litet utbud av pizza. Vi har testat oss runt i menyn och alla kombinationer smakar gott, men en del...More"
[Swedish],214,2,,3,"September 13, 2018 ",Lunch,"Kavlinge, Sweden","Maten är god, men trots att vi bokat bord fick vi vänta länge för att få bordet. Annars vistelsen var...More"
[Swedish],214,29,8.0,5,"September 15, 2018 ",Restaurang Ved i Lund,"Lomma, Sweden","Ved i Lund , mysig bar och restaurang , trevlig personal.
God Ostpizza med fikonmarmelad, svamprisotto , gröna feta oliver...More"
[Swedish],214,63,45.0,1,"September 16, 2017 ",Usel service-otrevlig personal,Malmö,Väntade på att få beställa 30 minuter. Sen glömdes vi bort igen. Maten tog väldigt väldigt lång tid att få...More
[Swedish],214,28,18.0,2,"September 18, 2015 ",Förbudet att dela,"Lund, Sweden",Var ute med min man och sugen på en bra pizza. Vi ville dock dela på en och hade kunnat...More
[Swedish],214,20,12.0,2,"September 2, 2017 ","Helt ok mat, dålig service","Stockholm, Sweden",Jag har varit på VED flera gånger under de senaste två-tre åren men har känt att det gradvis har blivit...More
[Swedish],214,220,47.0,5,"September 21, 2016 ",Annorlunda,"Kavlinge, Sweden","Med sin nya meny och nya inredning har denna restaurang fått ett klart lyft! Vällagad god mat, bra service och...More"
[Swedish],214,28,3.0,4,"September 22, 2017 ",Goda pizzor. ,,"Kom dit, personal kom direkt. Fick sitta ute men det funkade bra med gasolbrännare. Det höjde mysfaktorn. Åt charkbricka och...More"
[Swedish],214,217,22.0,2,"September 23, 2017 ",God mat men dålig service,"Alingsas, Sweden","Väntade på att få menyn, väntade på att få beställa, väntade på att få maten. Maten var dock jättegod och...More"
[Swedish],214,5,5.0,3,"September 24, 2015 ","Bra mat, dålig service","Huddinge, Sweden","Ofta ouppmärksam, varit där tre gånger och upplevt att de varit ganska otrevliga.

Andra gången jag var där var med...More"
[Swedish],214,16,7.0,5,"September 27, 2015 ",Kanon ställe,"Halmstad, Sweden","Jätte trevlig personal och maten var otroligt gott! Synd att vi inte bor i Lund, har vi vägarna förbi kommer...More"
[Swedish],214,21,2.0,5,"September 30, 2018 ",Utomordentligt duktig sommelier,"Helsingborg, Sweden","Första intrycket är att det är coolt, mörkt och häftig inredning.
Vår kypare, Johannes, var utbildad sommelier, och det lyfte...More"
[Swedish],214,46,7.0,4,"September 30, 2018 ",Trevligt och som stora tapas,"Varmdo, Sweden","Vi var ett stort sällskap, så vi hade förbokat våra rätter. Förrätt var en klart god charkbricka. Hade fått tips...More"
[Swedish],214,17,1.0,5,"September 4, 2017 ",Så gott!,"Lund, Sweden","Vi delade en risotto, pilgrimsmusslor och en tryffelpizza och allt smakade fantastiskt gott! Kan varmt rekommendera ved."
[Swedish],214,11,,4,"September 8, 2016 ",Uteservering med sol hela dagen,,Perfekt ställe om man vill ta en öl i solen. Uteserveringen har solläge hela dagen! Charktallriken är supergod med serverades...More
