"[Chinese, (Sim.)]",1,6,,4,"January 21, 2018 ",味道还不错，服务好。,,瑞典菜式，感受总的来说很不错。酒吧装修风...More
[English],94,31,10.0,4,"June 23, 2017 ",Absolutely superb food. Service needs work,"Lund, Sweden","This place has two food personalities. The menu features a line of interesting and really excellent wood-oven pizzas, and then a range of smaller dishes, tapas style. This is a great combo if one person feels like a different style of meal than the other...More"
[English],94,32,,4,"June 24, 2017 ",Pizza lunch,,"It is really hard indeed to find a real pizza i Skåne, but this place is definitely have one of best I tried yet. Service was also ok as for Sweden."
[English],94,10,3.0,4,"June 25, 2016 ",Probably the best pizza in the town,"Carmel, Indiana","They serve a very decent pizza for a Swedish restaurant! There is a room for improvement for toppings, but we were quite pleased with the crust."
[English],94,15,6.0,4,"June 3, 2015 ",Nice restaurant,"Stavanger, Norway","Interesting concept with several middle size dishes to choose from. Food was good, but could have been served warmer."
[English],94,14,7.0,3,"June 5, 2016 ",Pricey bu with a nice ambience,"Tomelilla, Sweden","The staff seem to work very hard. First visit(a friday night) the service was flawless, food prompt and very nicely cooked.
Second time (a sunday) a bit more flustered and the choice was quite meagre due to their ""weekend"" menue.
Third time, a monday treat...More"
[English],94,76,17.0,3,"June 6, 2017 ",Nice design for a pizza,"Libramont, Belgium","I ordered the Hantet pizza. It was a good one with a delicious crust. Nice service, nice design, don't hesitate to book a table in advance as it is hype place in Lund. Fried sweet potatoes were delicious to share before your main plate. Not...More"
[English],94,7,1.0,4,"March 11, 2018 ",Yummy meal and great atmosphere. ,"Georgetown, Canada","My husband, daughter and I went to this restaurant on a Sunday evening for dinner. They were very accommodating about seating. We ordered the small plates (2/person). It as more than enough food. All of our choices were excellent!  We have heard their pizza is...More"
[English],94,11,2.0,4,"March 22, 2018 ",italian specialities,"Algiers, Algeria","very warm and cosy restaurant where you can enjoy a nice diner or drink
the only think I didbn't like is they are serving the Pizza on steel plates, wich make a very annoying sound when you are cutting a slice with a knif and...More"
[English],94,10,2.0,5,"March 5, 2016 ",Best pizza in Lund,,"If you're looking for great food, Ved is the place to go in Lund! Great pizza, very good italian plates, excellent service and good prices too."
[English],94,59,11.0,4,"May 14, 2017 ",Price value ok but Not more,"Lund, Sweden","First pizza is good. For the meals the balance on the plate is not good. Good amount and quality of meat and sauce. No sides and no bread to it. We got a fresh cheese, really good, with a drop of balsamic it would have...More"
[English],94,12,4.0,5,"May 16, 2018 ",Really good PIZZAS!,Sweden,"Food was really nice. Tasty, crunchy pizzas. Our waiter really put a lot of effort in helping us choose the best option for us. Desert that he suggested was delicious. The only problem is really tight space in between tables. So you can not have...More"
