Unnamed: 0,a,b_x,c_x,d_x,e,f,g,h,i,j,k,b_y,c_y,d_y
1050,Lund_02108,Metropolitan area,Building,Architecture,City,Urban area,Tower block,Daytime,Sky,Human settlement,Skyscraper,LRI EL Y T,5‘3.‘..@ LU G, May 2016
1073,Lund_02463,Pasture,Grassland,Sky,Grazing,Natural environment,Bovine,Natural landscape,Farm,Rural area,Grass,Nobbelbvs mosse,g ) Andreas Ahlgvist, May 2018
1085,Lund_00796,Building,Architecture,Landmark,Medieval architecture,Classical architecture,Facade,Arch,Cathedral,City,Place of worship,[T T o1 T T T,Anjan Khara, May 2017
1098,Lund_00188,Sky,Landmark,Tower,Building,Cloud,Shot tower,Cumulus,Architecture,,,l\i) Stana Minincic,l\i) Stana Minincic, May 2018
1107,Lund_01936,Landmark,Architecture,Tower,Building,Place of worship,Sky,Steeple,Historic site,Medieval architecture,Church,[T T o1 T 1T,Lynn Dow, May 2018
1116,Lund_00564,Landmark,Building,Medieval architecture,Architecture,Facade,Classical architecture,Place of worship,Cathedral,Sky,Church,Lund Cathedral,i LIS, May 2017
1118,Lund_02679,Grassland,Natural environment,Prairie,Natural landscape,Sky,Plain,Steppe,Ecoregion,Grass,Horizon,Klosteréngshojden,# Viktor Erik Jense, May 2016
1121,Lund_01428,Natural landscape,Reflection,Pond,Nature,Water,Vegetation,Bank,Garden,Reflecting pool,Nature reserve,Botanical Garden,Jesper Svensson, May 2018
1131,Lund_01606,Property,Natural landscape,Residential area,House,Home,Building,Estate,Grass,Architecture,Real estate,Kulturen,Kulturen, May 2017
1135,Lund_01345,Building,Classical architecture,Landmark,Architecture,Palace,Official residence,Sky,Facade,Mansion,Estate,Lundagérd,6’ Michael Dobson, May 2016
1138,Lund_02027,Garden,Botanical garden,Tree,Botany,Park,Spring,Plant,Leaf,Sky,Estate,Stadsparken,% William Térneber, May 2018
1144,Lund_00905,Garden,Landmark,Spring,Botany,Botanical garden,Plant,Estate,Stately home,Flower,Building,Lundagérd,S Sorina Gorcenco, May 2018
1148,Lund_01332,Architecture,Landmark,Town,Urban area,City,Building,Human settlement,Street,Metropolitan area,Public space,‘ﬁ James Andrews,‘ﬁ James Andrews, May 2017
1152,Lund_01583,Building,Transport,Vehicle,,,,,,,,Shyam A,Shyam A, May 2016
1153,Lund_01164,Urban area,Metropolitan area,City,Aerial photography,Bird's-eye view,Sky,Urban design,Residential area,Landscape,Architecture,Elite Hotel Ideon,—“ EEC N, May 2017
1155,Lund_01999,Landmark,Architecture,Sky,Building,Botany,Spring,Garden,Flower,Plant,House,Lundagérd,Teena Christense, May 2012
1156,Lund_00584,Garden,Botanical garden,Natural landscape,Botany,Park,Estate,Grass,Tree,Landscaping,Landscape,Stadsparken,J  Jonathan Ohrling, May 2017
1166,Lund_00976,Landmark,Palace,Estate,Building,Plaza,Architecture,City,Mansion,Official residence,Château,Lundagérd 8,N Nikhil Dharap, May 2018
1167,Lund_02316,Property,House,Home,Roof,Building,Cottage,Real estate,Residential area,Architecture,Estate,Ostra Torns Montess,‘ LGB ORIl, May 2016
1176,Lund_01863,Body of water,Natural landscape,Reflection,Nature,Water,Bank,Tree,River,Natural environment,Water resources,Stadsparken 3,Stadsparken 3, May 2018
1177,Lund_02155,Natural landscape,Tree,Grass,Sky,Park,Spring,Botany,Trail,State park,Recreation,Botanical Garden,Karol Raczkowsk, May 2009
1179,Lund_01648,Architecture,Building,Facade,House,City,Mixed-use,Commercial building,Glass,Residential area,Tourism,Nova .,5‘3.‘..@ Khoo Kay Joe, May 2016
1184,Lund_01427,Metropolitan area,Waterway,Architecture,City,Mixed-use,Building,Human settlement,Urban area,Condominium,Tower block,Loppmarknad,J) JAKAWAT PUMP, May 2017
1195,Lund_01472,Water,Water resources,Watercourse,Reflecting pool,Botany,Waterway,Garden,Tree,River,Grass,[T 3,[T 3, May 2010 i
1206,Lund_01818,Property,House,Roof,Architecture,Building,Church,Tree,Home,Cottage,Plant,Bosebo church,6 IR DL, May 2004
1216,Lund_03034,Grassland,Green,Sky,Grass,Pasture,Field,Natural environment,Meadow,Daytime,Cloud,L E ),9 Sumeet Ranjan S, May 2017
1227,Lund_02439,Vegetation,Natural landscape,Nature,Grass,Grassland,Green,Nature reserve,Natural environment,Pasture,Plant community,Rinnebick Gorge 2,(U‘ ), May 2018
1249,Lund_01537,Natural landscape,Body of water,Nature,Reflection,Bank,River,Water,Tree,Natural environment,Vegetation,Stadsparken,Veselina Dimitroy, May 2017
1262,Lund_00309,Reflection,Water,Waterway,Pond,Reflecting pool,Bank,Canal,Sky,Architecture,Tree,Botanical Garden,@ Sumeet Ranjan S, May 2017
1268,Lund_01945,Fountain,Public space,Tree,Water feature,Water,Architecture,Town square,Street,City,Plaza,Stadsparken,Viktor Erik Jense, May 2017
1280,Lund_02520,Rapeseed,Mustard,Field,Canola,Mustard plant,Yellow,Plant,Meadow,Grassland,Natural landscape,Nobbel6vs mosse,#€) Edvin Dribe, May 2017
