Unnamed: 0,a,b_x,c_x,d_x,e,f,g,h,i,j,k,b_y,c_y,d_y
170,Lund_02736,Nature,Reflection,Water,Natural landscape,Vegetation,Water resources,Lake,Bank,Natural environment,Pond,Nobbelbvs mosse,M Maria Tracz, Jul 2017
178,Lund_00659,Estate,Building,Palace,Mansion,Official residence,Stately home,Château,Manor house,Classical architecture,Presidential palace,Lundagérd,(@) Steinar Kjeernsrg, Jul 2017
182,Lund_01783,Garden,Property,Botany,Botanical garden,Plant,Shrub,Tree,Building,Architecture,Spring,Botanical Garden,Elen Vasilova, Jul 2016
188,Lund_02229,Body of water,Natural landscape,Freshwater marsh,Natural environment,Water resources,Nature,Nature reserve,Vegetation,Water,Marsh,|G AT,L Bengt Jiirs, Jul 2014
190,Lund_00518,Landmark,Medieval architecture,Architecture,Building,Classical architecture,Place of worship,Facade,Cathedral,Sky,Church,[T L He 1 BT,% Hans Olav Nyma, Jul 2018
196,Lund_01657,Landmark,Building,Architecture,Estate,Stately home,Tree,Palace,Mansion,Château,Classical architecture,[T L He 1 BT,% Hans Olav Nyma, Jul 2018
200,Lund_00923,Classical architecture,Building,Architecture,Landmark,Mansion,Palace,Estate,Official residence,Courthouse,Facade,Lundagérd,‘ Ozren HadZiagi¢-, Jul 2007
213,Lund_02842,Classical architecture,Building,Landmark,Architecture,Mansion,Palace,Estate,Official residence,Facade,Stately home,Lundagérd c,Ludovic Barth, Jul 2015
234,Lund_01096,Landmark,Building,Architecture,Sky,Steeple,City,Spire,Tower,Town,Human settlement,Lundagérd 9,@ DLCI@L T, Jul 2017
242,Lund_02261,Property,Vehicle,Building,Car,Real estate,Architecture,Facade,House,Commercial building,Compact car,Linero-Ostra Torn Va,9 Travel to, Jul 2017
244,Lund_00998,Building,Estate,Landmark,Mansion,Palace,Property,Sky,Architecture,Official residence,House,Lundagérd 9,"f’, B e", Jul 2016
256,Lund_01501,Landmark,Tree,Sky,Garden,Botany,Public space,Park,Monument,Architecture,Statue,Lundagérd 9,Rainer Gesell, Jul 2018
269,Lund_01254,Estate,Property,Garden,Building,House,Botany,Mansion,Tree,Sky,Architecture,Lundagérd ¢,@ Ludovic Barth, Jul 2015
273,Lund_02083,Classical architecture,Building,Architecture,Landmark,Facade,Palace,City,House,Tourist attraction,Seat of local government,Lundagérd 9,@ T4, Jul 2017
277,Lund_02185,Natural landscape,Nature,Reflection,Water,Sky,Tree,Natural environment,Bank,Cloud,River,L TR TR,RELEESLL TS (], Jul 2016
281,Lund_00849,Building,Landmark,Town,Stately home,Estate,Human settlement,Architecture,City,Palace,Mansion,University Library,"C"":} Leszek A Gasien", Jul 2018
283,Lund_02827,Landmark,Building,Mansion,Architecture,Estate,Property,Palace,Official residence,Stately home,City,Bantorget :,-@ PN, Jul 2018
288,Lund_00842,Building,Landmark,Architecture,City,Town,Property,Human settlement,Public space,Estate,Urban area,Lundagérd,‘ Ozren HadZiagi¢-, Jul 2007
291,Lund_02836,Building,Mansion,Estate,Palace,Property,Classical architecture,Landmark,Architecture,Official residence,Stately home,Botanical Garden,IM> Miklos Szakacs, Jul 2016
293,Lund_00002,Classical architecture,Building,Architecture,Landmark,Palace,Facade,Official residence,Mansion,Courthouse,House,Universidad,N Nacho Laguna, Jul 2016
294,Lund_02982,Pasture,Natural landscape,Nature,Grassland,Grass,Natural environment,Vegetation,Sky,Wildlife,Meadow,Hundrastgard ¢,g Mats Lund, Jul 2016
296,Lund_00159,Town,Architecture,Building,Street light,Lighting,Tree,Light fixture,City,Street,Facade,"C"":} Leszek A Gasien","C"":} Leszek A Gasien", Jul 2017
301,Lund_03168,Natural landscape,Vegetation,Nature,Nature reserve,Natural environment,Tree,Green,Grass,Bank,Biome,Nobbel6vs mosse,i\ 1T T, Jul 2014
310,Lund_00300,Aerial photography,Residential area,Metropolitan area,Suburb,Urban area,Bird's-eye view,City,Neighbourhood,Urban design,Human settlement,,, Jul 2015
318,Lund_01227,Architecture,Landmark,Medieval architecture,Building,Place of worship,Cathedral,Classical architecture,Gothic architecture,Sky,Facade,[T T o1 T 1T,A Abdo Fadl, Jul 2017
322,Lund_01301,Estate,Property,Garden,Building,House,Botany,Mansion,Tree,Sky,Architecture,Lundagérd ¢,@ Ludovic Barth, Jul 2015
325,Lund_01055,Landmark,Architecture,Building,Medieval architecture,Classical architecture,Place of worship,Historic site,Church,Facade,Sky,Lund Cathedral,M Michael Bippes, Jul 2017
329,Lund_01916,City,Town,Street,Human settlement,Neighbourhood,Downtown,Landmark,Building,Road,Public space,Lundagérd ¢,@ Ludovic Barth, Jul 2015
340,Lund_01006,Green,Grass,Lawn,Sky,Natural landscape,Tree,Botany,Garden,Architecture,Park,Lundagérd,"@i, Daniel Persenius", Jul 2017
374,Lund_00839,Landmark,Sky,Building,Architecture,Church,Place of worship,Medieval architecture,Cathedral,City,Facade,Lund Cathedral ¢,({‘ Lucija Cetin, Jul 2016
383,Lund_02188,Body of water,Water resources,Natural landscape,Riparian zone,Stream,Nature,Bank,Watercourse,Waterway,Water,Rinnebick Gorge 2,Cathrin Jung, Jul 2016
385,Lund_00125,Sky,Landmark,Cloud,Architecture,Tree,Building,House,Estate,Palace,Grass,,, Jul 2017
396,Lund_00279,Building,Landmark,Architecture,Classical architecture,Mansion,Palace,Estate,Stately home,Official residence,Facade,Lundagérd ¢,ﬁg‘ Prabin Koirala, Jul 2017
398,Lund_02539,Property,Building,House,Architecture,Town,Facade,Home,Neighbourhood,Window,Residential area,=G T ¢,Ingvar Olsson, Jul 2018
409,Lund_02459,Property,Building,House,Architecture,Residential area,Brickwork,Brick,Neighbourhood,Town,Apartment,AR LT,o Travel to,Jul 2017 '
410,Lund_02479,Architecture,Building,Medieval architecture,Church,Brickwork,Brick,Roof,Place of worship,Chapel,House,. [l e R ],. [l e R ], Jul 2015
415,Lund_02043,Classical architecture,Building,Architecture,Landmark,Facade,Palace,Mansion,House,Estate,Tourist attraction,Lundagérd,@ Juca Felix Galino, Jul 2016
419,Lund_00080,Aerial photography,Bird's-eye view,Residential area,Urban area,Suburb,Metropolitan area,Urban design,City,Human settlement,Neighbourhood,0 Per Pixel Peterss,0 Per Pixel Peterss, Jul 2015
420,Lund_02139,Estate,Building,Palace,Mansion,Stately home,Manor house,Architecture,Château,Official residence,House,Lundagérd,Karin Rosengren, Jul 2017
422,Lund_00977,Landmark,Architecture,Building,Medieval architecture,Tower,Classical architecture,Sky,Historic site,Church,Facade,[T T o1 T T,@ olav sejeroe, Jul 2008
427,Lund_02329,Plant community,Soil,Shrubland,Grass family,Land lot,Grass,Tree,Landscape,Rural area,Hill,Rinnebick Gorge 2,Tomas Kulle, Jul 2018
438,Lund_01785,Property,House,Building,Home,Real estate,Architecture,Tree,Neighbourhood,Roof,Residential area,Scandic Star Lund,Conny Flink, Jul 2018
439,Lund_02148,Building,Property,Sky,Architecture,Estate,Landmark,Mansion,House,Town,Residential area,Kulturen,Rashid almalkh z, Jul 2018
447,Lund_02402,Sky,Natural landscape,Natural environment,Pasture,Cloud,Morning,Grass,Grassland,Field,Horizon,L TR TR,- ATl, Jul 2018
448,Lund_01628,Landmark,Building,Architecture,Tower,Steeple,Tree,City,Facade,Historic site,Church,LT T o1 T T T,(O R, Jul 2016
453,Lund_02577,Freshwater marsh,Natural landscape,Vegetation,Natural environment,Water,Pond,Nature reserve,Water resources,Marsh,Grass,Nobbelbvs mosse,M Maria Tracz, Jul 2017
459,Lund_00515,Classical architecture,Building,Landmark,Architecture,Palace,Facade,Mansion,Sky,Estate,Courthouse,Lundagérd,T ) Terese Larsson E, Jul 2018
477,Lund_01951,Building,Tower block,Metropolitan area,Condominium,Architecture,Human settlement,City,Commercial building,Mixed-use,Residential area,Elite Hotel Ideon,Alexander Beliak, Jul 2017
483,Lund_02529,Natural landscape,Pasture,Nature,Wildlife,Nature reserve,Tree,Vegetation,Natural environment,Grass,Grassland,Rinnebick Gorge,i Chris Maljanovsk, Jul 2016
486,Lund_01632,Natural landscape,Body of water,Bank,Nature,Natural environment,Pond,Vegetation,Nature reserve,River,Tree,Stadsparken,Shan Xiao, Jul 2017
495,Lund_02430,Property,Building,House,Architecture,Town,Home,Brick,Facade,Tree,Real estate,Lime Technologies S,6 IR DL, Jul 2015
500,Lund_01666,Property,Building,House,Home,Real estate,Estate,Architecture,Manor house,Mansion,Facade,Kulturen 8,' Lars Skough, Jul 2018
501,Lund_02311,Swimming pool,Water,Leisure centre,Leisure,Sky,Swimming,Recreation,Summer,Fun,Sport venue,Killbybadet,Q' Daniel Kretz, Jul 2016
502,Lund_00996,Reflection,Water,Nature,Pond,Sky,Waterway,River,Tree,Bank,House,Botanical Garden,w@: Andreas Gillberg, Jul 2018
506,Lund_00265,Building,Mansion,Landmark,Property,Estate,Architecture,Classical architecture,Palace,Official residence,Stately home,Underground Street |,Underground Street |, Jul 2017
511,Lund_01627,Building,Architecture,Landmark,Town,Medieval architecture,City,Church,Cathedral,Urban area,Facade,Lund Cathedral,Alexander Williar, Jul 2015
514,Lund_01661,Tree,Property,Architecture,Building,Estate,House,Grass,Plant,Mansion,City,University Library,l\‘ IEELEI VLT, Jul 2017
518,Lund_01917,City,Town,Street,Human settlement,Neighbourhood,Downtown,Landmark,Building,Road,Public space,Lundagérd ¢,@ Ludovic Barth, Jul 2015
524,Lund_00131,Architecture,Building,Landmark,Town,Church,City,Facade,Medieval architecture,Cathedral,Tree,"l\i, Stana Minincic","l\i, Stana Minincic", Jul 2017
533,Lund_01284,Landmark,Tower,Architecture,Building,Steeple,Medieval architecture,Historic site,Sky,Church,Bell tower,Lundagérd ¢,Burhan Erding, Jul 2016
539,Lund_03167,Vegetation,Natural landscape,Nature reserve,Grass,Pasture,Geological phenomenon,Biome,Land lot,Grassland,Tree,Rinnebick Gorge,#' Rhian Corbett-Co, Jul 2017
541,Lund_02340,Tree,Natural landscape,Nature,Grass,Lawn,Woody plant,Plant,Morning,Spring,Park,LIS T g,g Mats Lund, Jul 2016
545,Lund_01088,Building,Rest area,Sky,Fast food restaurant,Fast food,Restaurant,,,,,MAX 8,ﬁ Pepijn Fens, Jul 2018
552,Lund_01724,Public space,Playground,Sky,Leisure,City,Soil,Tree,Architecture,Park,Outdoor play equipment,Stadsparken g,Christian H, Jul 2017
568,Lund_00884,Garden,Tree,Botany,Architecture,Park,Botanical garden,Grass,Plant,Walkway,Building,Lundagérd,@ Juca Felix Galino, Jul 2016
576,Lund_02298,Land lot,Grass,Natural landscape,Grassland,Lawn,Tree,Grass family,Pasture,Meadow,Park,Per Johan's Park pla,Karl Wittenmark, Jul 2017
582,Lund_02337,Grassland,Pasture,Natural landscape,Natural environment,Land lot,Vegetation,Prairie,Meadow,Plain,Nature reserve,Nobbelbvs mosse,M Maria Tracz, Jul 2017
598,Lund_01422,Building,Landmark,Architecture,Facade,City,Palace,Place of worship,Medieval architecture,Tourism,Town square,[T T o1 T T,Frank Stédler, Jul 2018
608,Lund_01576,Property,Estate,Building,Mansion,Architecture,Stately home,Tree,Grass,House,Château,Lundagérd ¢,@ Ludovic Barth, Jul 2015
622,Lund_00852,Aerial photography,Urban area,Residential area,Metropolitan area,Suburb,Bird's-eye view,Urban design,City,Neighbourhood,Human settlement,,, Jul 2015
641,Lund_01518,Landmark,Architecture,Medieval architecture,Building,Classical architecture,Place of worship,Church,Sky,Cathedral,Facade,Lund Cathedral,(VeI N, Jul 2003
642,Lund_01505,Garden,Botanical garden,Grass,Botany,Shrub,Tree,Grass family,Lawn,Park,Plant,Stadsparken g,Ermias Bsrat, Jul 2017
652,Lund_01343,Landmark,Architecture,Medieval architecture,Building,Classical architecture,Church,Place of worship,Sky,Steeple,Cathedral,[T L He 1 BT,[iaHa MpUILKYH, Jul 2018
657,Lund_02225,Natural landscape,Body of water,Water resources,Natural environment,Marsh,Water,Nature reserve,Nature,Freshwater marsh,Bank,|G AT,L Bengt Jiirs, Jul 2014
659,Lund_02068,House,Property,Town,Building,Roof,Cottage,Rural area,Home,Architecture,Grass,Onsjostugan,@ BN PN R, Jul 2017
664,Lund_00924,Classical architecture,Building,Architecture,Landmark,Mansion,Palace,Estate,Courthouse,Official residence,Facade,Lundagérd,‘ Ozren HadZiagi¢-, Jul 2007
665,Lund_02333,Building,Property,Architecture,Commercial building,Real estate,City,Facade,Mixed-use,House,Hotel,Scandic Star Lund,C ) Conny Flink, Jul 2018
666,Lund_02332,Vegetation,Nature reserve,Tree,Grass,Wilderness,Rural area,Pasture,Grass family,Grassland,Highland,Fredentorps Begravr,Christoffer Norér, Jul 2016
668,Lund_01223,Sky,Property,Architecture,Town,Public space,Building,City,Tree,Town square,House,Lundagérd 9,ﬂ»«;‘ B, Jul 2018
675,Lund_00555,Aerial photography,Residential area,Bird's-eye view,Suburb,Urban area,Metropolitan area,Urban design,Neighbourhood,Human settlement,City,LTH Studiecentrum,g é Per Pixel Peterss, Jul 2015
679,Lund_02371,Sky,Cloud,Grass family,Land lot,Grass,Tree,Cumulus,Rural area,Meadow,Landscape,Stadsodlingen pé Brr,S;. Bjarne Rosengrel, Jul 2016
682,Lund_00950,Building,Classical architecture,Estate,Property,Architecture,Mansion,Palace,Stately home,Official residence,Manor house,Lundagérd 8,@ Merlin Blyth, Jul 2017
702,Lund_00366,Building,Landmark,Estate,Architecture,Stately home,Mansion,Palace,Garden,Botany,Tree,Lundagérd,@ Juca Felix Galino, Jul 2016
708,Lund_02502,Public space,Playground,Tree,Recreation,Playground slide,Park,Plant,Leisure,Outdoor play equipment,City,Rostréttsgatan lekpl:,L) Leka Lekplats, Jul 2017
713,Lund_00922,Landmark,Building,Architecture,City,Tower,Wall,Facade,Tourism,Sky,Historic site,Lund Cathedral,c’} Robert Jacobsen, Jul 2017
721,Lund_00732,Medieval architecture,Property,Castle,Building,Architecture,Fortification,Tree,Historic site,Château,Plant,Lundagérd,@ Juca Felix Galino, Jul 2016
725,Lund_00654,Classical architecture,Building,Architecture,Landmark,Palace,Facade,City,Official residence,Tourist attraction,Tourism,Lundagérd,I\ IEELEI VLT, Jul 2017
726,Lund_00930,Classical architecture,Building,Landmark,Architecture,Mansion,Palace,Estate,Official residence,Facade,Stately home,Lundagérd ¢,@ Ludovic Barth, Jul 2015
727,Lund_02173,Architecture,Building,Landmark,Property,Town,Facade,Urban area,City,Neighbourhood,House,Lundagérd,l\‘ ) Stana Minincic, Jul 2017
733,Lund_01234,Landmark,Architecture,Building,Medieval architecture,Church,Place of worship,Steeple,Sky,Château,Tree,Lund Cathedral ¢,Py ), Jul 2016
745,Lund_02105,Grassland,Sky,Natural landscape,Green,Nature,Pasture,Grass,Natural environment,Land lot,Meadow,Sankt Hans Hill,Tommy Borglin, Jul 2017
752,Lund_02952,Property,Building,House,Home,Real estate,Neighbourhood,Rest area,Residential area,Facade,,Killbybadet,n Martin Nilsson, Jul 2018
769,Lund_01137,Town,Public space,Town square,City,Human settlement,Plaza,Sky,Building,Architecture,Spring,Stortorget Restaurar,ﬂ Dara Banna, Jul 2018
773,Lund_00931,Classical architecture,Building,Landmark,Architecture,Mansion,Palace,Estate,Official residence,Facade,Stately home,Lundagérd ¢,@ Ludovic Barth, Jul 2015
775,Lund_00621,Aerial photography,Metropolitan area,Residential area,Bird's-eye view,Suburb,Urban area,Urban design,Junction,Neighbourhood,Human settlement,0 Per Pixel Peterss,0 Per Pixel Peterss, Jul 2015
776,Lund_00147,Landmark,Building,Medieval architecture,Architecture,Tower,Turret,Historic site,Sky,Observation tower,Tree,"C"":} Leszek A Gasien","C"":} Leszek A Gasien", Jul 2017
782,Lund_02448,Grassland,Pasture,Grass,Meadow,Rural area,Plain,Sport venue,Lawn,Land lot,Landscape,Klostergérdens IP,M Michael Damgaa, Jul 2017
784,Lund_02678,Vegetation,Grass,Natural environment,Natural landscape,Nature reserve,Property,Tree,Garden,Biome,Botany,L TG 8,g Mats Lund, Jul 2016
785,Lund_02762,Property,Sky,Architecture,House,Home,Transport,Tree,Real estate,Grass,Botany,AR LT,o Travel to, Jul 2017
793,Lund_02382,Grass,Lawn,Land lot,Grass family,House,Residential area,Yard,Grassland,Garden,Meadow,Per Johan's Park pla,K Karl Wittenmark, Jul 2017
802,Lund_00634,Building,Architecture,Estate,Water,Mansion,Palace,Stately home,Tree,House,City,L (LT T,@ Robert Jacobser, Jul 2017
807,Lund_02260,Asphalt,Transport,Property,Road surface,Public space,Driveway,Roof,House,Road,Vehicle,AR LT,o Travel to, Jul 2017
808,Lund_01756,Estate,Building,Mansion,Property,Palace,Manor house,Stately home,Château,House,Official residence,Lundagérd,Martin Pehrsson, Jul 2016
809,Lund_02221,Sky,Property,Cloud,House,Architecture,Land lot,Tree,Rural area,Hill,Residential area,Moyo Klostergarden,M  Minghua Zhang, Jul 2017
813,Lund_02515,Freshwater marsh,Natural landscape,Natural environment,Marsh,Nature reserve,Wetland,Bank,Fen,Tidal marsh,Salt marsh,Nobbelbvs mosse,M Maria Tracz, Jul 2017
815,Lund_02200,Sky,Tree,Swimming pool,Architecture,Leisure,Summer,River,Vacation,Park,Mountain,Killbybadet 8,Daniel Kretz, Jul 2017
817,Lund_02456,Sport venue,Stadium,Team sport,Player,Grass,Ball game,Soccer-specific stadium,Atmosphere,Sports,Arena,Klostergérdens IP,Florian Weissbac, Jul 2018
825,Lund_02692,Sky,Natural landscape,Natural environment,Plain,Cloud,Land lot,Field,Prairie,Rural area,Grass,Nobbelbvs mosse,M Maria Tracz, Jul 2017
827,Lund_01377,Estate,Building,Mansion,Property,Manor house,Lawn,Château,Palace,Grass,Stately home,Botanical Garden,Felicija, Jul 2017
837,Lund_02126,Property,Estate,Tree,House,Building,Real estate,Home,Land lot,Residential area,Neighbourhood,Lundagérd ¢,@ Ludovic Barth, Jul 2015
840,Lund_01237,Nature,Water,Natural landscape,Reflection,Pond,Waterway,Botany,Garden,Grass,Watercourse,Kulturen,ﬁ“l Anitha Sweder -T, Jul 2017
841,Lund_00579,Reflection,Waterway,Natural landscape,Canal,Water,House,River,Pond,Watercourse,Building,Kulturen 8,@ PP\, Jul 2016
845,Lund_02777,Building,Architecture,Property,Neighbourhood,House,Residential area,Facade,Metropolitan area,Real estate,Mixed-use,[ Y BTG RT,® | 22kort, Jul 2017
853,Lund_00707,Building,Estate,Palace,Landmark,Mansion,Official residence,Stately home,Architecture,Château,Castle,Lundagérd,&’ Suman Vummad, Jul 2017
855,Lund_00819,Roof,Property,Sky,Town,Building,Architecture,Daytime,Public space,Urban design,Residential area,Svaneskolan 3,",&‘, Shaon Mazi", Jul 2017
861,Lund_02295,Property,House,Home,Building,Residential area,Roof,Real estate,Architecture,Facade,Siding,Klostergérdens IP,Minghua Zhang, Jul 2017
872,Lund_00927,Classical architecture,Building,Landmark,Architecture,Mansion,Palace,Estate,Official residence,Facade,Stately home,Lundagérd ¢,@ Ludovic Barth, Jul 2015
876,Lund_02049,Body of water,Natural landscape,Water resources,Pond,Nature,Water,Bank,Vegetation,Fish pond,Nature reserve,Botanical Garden,(%) Lucila Cetin, Jul 2016
882,Lund_01981,Property,Town,Building,House,Sky,Architecture,Real estate,Tree,Home,Road,Good Morning Lund,Jelte Kerker, Jul 2017
883,Lund_00267,Reflection,Building,Reflecting pool,Landmark,Estate,Architecture,Mansion,Palace,Water,Pond,Lundagérd 9,{DZ Arne Ayasrah, Jul 2014
887,Lund_02511,Grassland,Sky,Plain,Field,Natural landscape,Natural environment,Prairie,Steppe,Pasture,Grass,L TR TR,L TR TR, Jul 2018
894,Lund_00274,Building,Estate,Palace,Classical architecture,Landmark,Architecture,Mansion,Official residence,Château,Reflecting pool,Lundagérd 9,A Attila Csap6, Jul 2016
895,Lund_02218,Natural landscape,Body of water,Natural environment,Water resources,Marsh,Nature,Nature reserve,Water,Wetland,Vegetation,N[ AT T T,i\ Bengt Jiirs, Jul 2014
908,Lund_02871,Landmark,Estate,Building,Memorial,Architecture,Tree,Monument,Château,Mansion,Historic site,Lundagérd 8,(%) Lucila Cetin, Jul 2016
909,Lund_00888,Estate,Building,Landmark,Mansion,Palace,Official residence,Stately home,Property,Presidential palace,Architecture,Hokeriet g,@ Sten Olsson, Jul 2017
917,Lund_01294,Building,Town,Neighbourhood,City,Mixed-use,Human settlement,Property,Downtown,Plaza,Metropolitan area,ICA Kvantum Malmb,Sandra Loskin, Jul 2017
924,Lund_02532,Natural landscape,Body of water,Sky,Water,Nature,Water resources,Vegetation,Natural environment,Lake,Nature reserve,L TR TR,J Joachim Schéns, Jul 2016
928,Lund_00545,Building,Château,Estate,Palace,Public space,Vehicle,Bicycle,Campus,Architecture,Mansion,Bantorget -,L. -, Jul 2017
929,Lund_02181,Natural landscape,Nature,Sky,Natural environment,Field,Water,Green,Grassland,Paddy field,Nature reserve,Nobbel6vs mosse,L 1T T, Jul 2014
935,Lund_01552,Tree,Grass,Botany,Architecture,Sky,Garden,Botanical garden,Mountain,Building,House,Lundagard ¢,o LYol, Jul 2017
941,Lund_02739,Sky,Sport venue,Basketball court,Net,Cloud,Goal,Grass,Land lot,Tree,Architecture,LIS T g,g Mats Lund, Jul 2016
945,Lund_01921,Garden,Botanical garden,Tree,Natural landscape,Sky,Botany,Shrub,Grass,Park,Hedge,Stadsparken 2,@’ Ani Vera, Jul 2016
952,Lund_02128,Property,Estate,Tree,House,Building,Real estate,Home,Land lot,Residential area,Neighbourhood,Lundagérd ¢,@ Ludovic Barth, Jul 2015
959,Lund_02504,Property,Building,Facade,House,,,,,,,Linero-Ostra Torn Va,e Travel to, Jul 2017
975,Lund_01580,Property,Estate,Building,Mansion,Architecture,Stately home,Tree,Grass,House,Château,Lundagérd ¢,@ Ludovic Barth, Jul 2015
976,Lund_00276,Aerial photography,Residential area,Bird's-eye view,Suburb,Urban area,Metropolitan area,Urban design,Natural landscape,Human settlement,City,Sankt Hans Hill,g b Per Pixel Peterss, Jul 2015
977,Lund_02666,Sky,Cloud,Tree,Transport,Public space,Line,Grass,Road,Sport venue,Road surface,Linero IP 8,o Travel to, Jul 2017 I
984,Lund_02392,Residential area,Architecture,Property,House,Sky,Building,Home,Real estate,Neighbourhood,Cloud,Klostergérdens IP,M  Minghua Zhang, Jul 2017
