1982,4,"[PDF][PDF] An Office Building for Independence Center, A Mixed-Use Facility for Charlotte, NC",FE Weaver III - 1982 - tigerprints.clemson.edu,"… functional urban core. On one hand, the city's dynamic skyline, new cultural facilities, retail
and residential renewal efforts and the government center demonstrate the city's vitality and
strength. On the other hand, the unused, obsolete buildings and … 
",  All 2 versions  
1982,4,"[PDF][PDF] A Hotel for Independence Center, A Mixed-Use Facility for Charlotte, NC",JM Williams Jr - 1982 - tigerprints.clemson.edu,"… functional urban core. On one hand, the city's dynamic skyline, new cultural faci 1 ities, retail
and residential renewal efforts and the government center demonstrate the city's vitality and
strength. On the other hand, the unused, obsolete buildings and … 
",  All 2 versions  
1983,1,Consequences of public ownership and subsidies for mass transit: evidence from case studies and regression analysis,"J Pucher, A Markstedt - Transportation, 1983 - Springer","… infra- structure and vehicles. They also estimated that capital subsidies had had
negligible impacts on-transit ridership, central city vitality, roadway congestion, pollution
levels, and mobility of the poor. More recent studies generally … 
",  Cited by 59 Related articles All 4 versions  
1984,6,[PDF][PDF] Beyond the core area initiative: prospects for downtown Winnipeg,EA Levin - 1984 - winnspace.uwinnipeg.ca,"… stagnation; continuing sporadic but unsuccessful attempts to deal with local crises;
continuing ebbing of our city's vitality; and greater and greater intrusion of the
provincial and federal governments into our city's affairs, on the … 
",  Cited by 2 Related articles All 3 versions  View as HTML 
1984,6,Urbanization in the American West,"G Barth - Business History Review, 1984 - cambridge.org","… Page 4. 266 BUSINESS HISTORY REVIEW have contributed to the city's vitality and how Eero
Saarinen's Gateway Arch symbolizes the heritage of the westward migration and the rise of a
""New St. Louis."" The historical forces that swept so vigorously over St … 
",  Cited by 1 Related articles All 8 versions  
1984,6,"Primm, James Neal,"" Lion of the Valley: St. Louis, Missouri""(Book Review)","G Barth - Business History Review, 1984 - search.proquest.com","… Page 4. 266 BUSINESS HISTORY REVIEW have contributed to the city's vitality and how Eero
Saarinen's Gateway Arch symbolizes the heritage of the westward migration and the rise of a
""New St. Louis."" The historical forces that swept so vigorously over St … 
",   
1984,6,"Miner, H. Craig,"" Wichita: The Early Years, 1865-80""(Book Review)","G Barth - Business History Review, 1984 - search.proquest.com","… He effectively assesses both how ethnic groups 266 BUSINESS HISTORY REVIEW have
contributed to the city's vitality and how Eero Saarinen's Gateway Arch symbolizes the
heritage of the westward migration and the rise of a St. Louis … 
",   
1984,6,Ezra Pound's Metamorphosis During his London Years: From Late-Romanticism to Modernism,"W Baumann - Paideuma, 1984 - JSTOR","… We know that he was enthusiastic about the new campanile style sky-scraper architecture
and took some delight in the city's vitality, which had already been immortalized by Walt
Whitman, but his few contacts with artists came to nothing … 
",  Cited by 3 Related articles All 2 versions  
1984,6,Recounting Federal Policy on Transit Operating Assistance,"R Cervero - Journal of Urban Affairs, 1984 - Taylor & Francis","… STATE RESPONSES Increaae business activity and central city vitality- Improve the mobility
of the poor, young, elderly, and handicapped r Conserve enerqy … Increase business activity and
central city vitality Conserve land that would otherwise be used for streets and parking … 
",  Related articles All 2 versions  
1985,6,"The Personality of Cities: Boston, New York, Philadelphia","M Keller - Proceedings of the Massachusetts Historical Society, 1985 - JSTOR","… for the true time, and feels on leaving it as if he had been wound up and regulated anew."" Walt
Whitman took note in i860 of the city's ""heavy, low, musical roar, hardly ever intermitted"" ; and
several gen erations later Richard Watson Gilder celebrated the city's vitality: ""Stream of … 
",  Cited by 2 Related articles  
