Authors	records	% of 829
BROMLEY RDF	1	0.121
BROOKS CA	1	0.121
BROOKS GC	1	0.121
BROWN B	1	0.121
BROWN D	1	0.121
BROWN T	1	0.121
BRUCE C	1	0.121
BRUMBY S	1	0.121
BRUSE M	1	0.121
BU ZJ	1	0.121
BUCHS M	1	0.121
BUCKLEY S	1	0.121
BUITELAAR E	1	0.121
BULL A	1	0.121
BUNTINX B	1	0.121
BURD-EDEN R	1	0.121
BURGER-KENTISCHER A	1	0.121
BURINSKIENE M	1	0.121
BUTLER C	1	0.121
BUTLER RN	1	0.121
BUYSSE DJ	1	0.121
BYSTRZEJEWSKA-PIOTROWSKA G	1	0.121
CABRAL GF	1	0.121
CAI BP	1	0.121
CAI ZH	1	0.121
CALDENTEY JM	1	0.121
CALISKAN O	1	0.121
CALLOW D	1	0.121
CAMANHO AS	1	0.121
CAMARERO JJ	1	0.121
CAMPO M	1	0.121
CAO ST	1	0.121
CAPRASECCA E	1	0.121
CARBAJALES-DALE A	1	0.121
CARDILLO A	1	0.121
CARLETTI L	1	0.121
CARRASCO-TURIGAS G	1	0.121
CARROLL DA	1	0.121
CARROT F	1	0.121
CARVALHO TD	1	0.121
CASER M	1	0.121
CASTELLANI B	1	0.121
CASTILLO-DE HERRERA M	1	0.121
CASTILLO-GARCIA LS	1	0.121
CASTILLO-VILLAR FR	1	0.121
CASTRO PML	1	0.121
CAVADA M	1	0.121
CERMAK J	1	0.121
CERMAK P	1	0.121
CERPES I	1	0.121
CEULEMANS R	1	0.121
CEULEMANS T	1	0.121
CHABOWSKI M	1	0.121
CHAN SF	1	0.121
CHANDRASEKARA A	1	0.121
CHANG YC	1	0.121
CHARANDABI SMA	1	0.121
CHARLESTON J	1	0.121
CHATTOPADHYAY S	1	0.121
CHEAIB A	1	0.121
CHEN AM	1	0.121
CHEN B	1	0.121
CHEN F	1	0.121
CHEN KB	1	0.121
CHEN MS	1	0.121
CHEN QP	1	0.121
CHEN SL	1	0.121
CHEN SW	1	0.121
CHEN T	1	0.121
CHEN TC	1	0.121
CHEN WK	1	0.121
CHEN WQ	1	0.121
CHEN X	1	0.121
CHEN Y	1	0.121
CHEN YS	1	0.121
CHEN YW	1	0.121
CHENG DX	1	0.121
CHENG EWL	1	0.121
CHENG JR	1	0.121
CHENG SD	1	0.121
CHENG W	1	0.121
CHENG XQ	1	0.121
CHI LY	1	0.121
CHILVERS A	1	0.121
CHIN MH	1	0.121
CHINNA K	1	0.121
CHION M	1	0.121
CHIOU SC	1	0.121
CHIRGWIN SR	1	0.121
CHO SE	1	0.121
CHOI J	1	0.121
CHOU P	1	0.121
CHU JQ	1	0.121
CHUNG S	1	0.121
CIAPARRA D	1	0.121
CIBURIENE J	1	0.121
CILA N	1	0.121
CIMALLA V	1	0.121
CIRAC-CLAVERAS J	1	0.121
CIRACH M	1	0.121
CLABEAUX R	1	0.121
CLANCY GP	1	0.121
CLARK C	1	0.121
CLARK J	1	0.121
CLARK TN	1	0.121
CLARKE J	1	0.121
CLASQUIN E	1	0.121
CLOCHIATTI R	1	0.121
CLUNE SJ	1	0.121
COIACETTO E	1	0.121
COLLINS AL	1	0.121
COLLINS B	1	0.121
COLLOMB P	1	0.121
COLUZZI P	1	0.121
COMPEAN-DARDON MS	1	0.121
CONDON PM	1	0.121
COOPER R	1	0.121
COPELAND G	1	0.121
CORBIN A	1	0.121
CORLEY EA	1	0.121
COROVIC N	1	0.121
COSGRAVE E	1	0.121
COSTA P	1	0.121
COULTON CJ	1	0.121
COURSE M	1	0.121
COWELL M	1	0.121
CRABTREE J	1	0.121
CRANKSHAW O	1	0.121
CRICHTON G	1	0.121
CRONIN S	1	0.121
CROW S	1	0.121
CROWL JN	1	0.121
CRUZ CO	1	0.121
CUBILLOS-GONZALEZ RA	1	0.121
CUDDIHY J	1	0.121
CUFAR K	1	0.121
CUNY H	1	0.121
CURRID-HALKETT E	1	0.121
CUTINI V	1	0.121
CZAPLIK M	1	0.121
D'AMICO S	1	0.121
DA COSTA N	1	0.121
DA SILVA FMR	1	0.121
DA SILVA GJA	1	0.121
DA SILVEIRA JAR	1	0.121
DABAT MH	1	0.121
DABROWSKI P	1	0.121
DAEGELMANN C	1	0.121
DAI SQ	1	0.121
DAILEADER P	1	0.121
DALIANIS E	1	0.121
DAMASCENO A	1	0.121
DANIELSON J	1	0.121
DARWISH-YASSINE M	1	0.121
DAUDEN PJL	1	0.121
DAUDIN L	1	0.121
DAVIES KA	1	0.121
DAVIS A	1	0.121
DAVYDENKO K	1	0.121
DAVYDOVA A	1	0.121
DAWSON H	1	0.121
DAYANA I	1	0.121
DE ARAUJO FF	1	0.121
DE ASSIS LF	1	0.121
DE BLOOM J	1	0.121
DE BOER A	1	0.121
DE BRITO J	1	0.121
DE FARIA JP	1	0.121
DE LA CRUZ ME	1	0.121
DE LAAT-LUKKASSEN M	1	0.121
DE LAURENTIIS V	1	0.121
