a,b_x,c_x,d_x,e,f,g,h,i,j,k,b_y,c_y,d_y
Lund_02140,Building,Architecture,Landmark,City,Town,Human settlement,Mixed-use,Urban area,,,WAYNE'S COFFEE ;,@ (T QT T, Jan 2017
Lund_02565,Grassland,Farm,Pasture,Land lot,Rural area,,,,,,Nobbelbvs mosse,3 Michael Hanssor, Jan 2018
Lund_03068,Property,,,,,,,,,,Rosa Tornet Montes:,S ) Sookyong Lee, Jan 2017
Lund_02864,Winter,Landmark,Property,Snow,Building,Architecture,Tree,Home,Freezing,Town,Grand Hotel Lund ¢,@ Roger Olsson, Jan 2017
Lund_02620,Natural landscape,Natural environment,Water,Nature reserve,Freshwater marsh,Marsh,Tree,Fen,Wetland,Bank,Nobbelbvs mosse,3 Michael Hanssor, Jan 2018
Lund_02909,Property,House,Roof,Building,Home,,,,,,bread Lab 1,§ Er Kent Lundgren, Jan 2018
Lund_02377,Home,Property,House,Lighting,Building,Sky,,,,,Ljungs Handel ¢,K @ Kent Olsson, Jan 2018
Lund_01087,Building,Property,Landmark,Architecture,House,,,,,,[T TV TTET 3 T,[T TV TTET 3 T, Jan 2018
Lund_01447,Snow,Winter,Building,Architecture,,,,,,,University Library,Gianluca Capriol, Jan 2017
Lund_02689,Property,House,Home,Building,,,,,,,Lilla Coop g,&L TheSantoan, Jan 2017
Lund_02399,Grassland,Pasture,Grass,Land lot,Natural landscape,Natural environment,Field,Meadow,,,Nobbelbvs mosse,3 Michael Hanssor, Jan 2018
Lund_01809,Building,Town,Mixed-use,Neighbourhood,,,,,,,Coop Konsum,Henrik Queckfelc, Jan 2017
Lund_00128,Architecture,Town,Building,Landmark,Brick,Facade,,,,,@ Yamanbg BULGA,@ Yamanbg BULGA, Jan 2018
Lund_00632,Building,Architecture,Medieval architecture,Church,Place of worship,,,,,,Klosterkyrkan ¢,‘ John Eckerdal, Jan 2018
Lund_03032,Sport venue,Tennis court,Leisure centre,Tennis,Leisure,,,,,,Actic Vikingahallen,ﬂ) Mr.Roman Lak, Jan 2018
Lund_02273,Shed,Shack,,,,,,,,,L TR TR,Michael Hanssor, Jan 2018
Lund_01814,Landmark,Architecture,Building,Medieval architecture,,,,,,,Lundagérd,Risto Lazarevic, Jan 2018
Lund_01173,Landmark,Building,Town,Public space,Human settlement,Tree,City,College,Stately home,Architecture,Lundagérd,Ivan Anikienko, Jan 2018
Lund_00185,Town,Building,Human settlement,Public space,Property,City,Architecture,,,,@ Yamanbg BULGA,@ Yamanbg BULGA, Jan 2018
Lund_01837,Fountain,Water,Architecture,,,,,,,,Lundagérd vid Unive,@ (T QT T, Jan 2017
Lund_02791,Holy places,Arch,Building,Architecture,,,,,,,Lund,g// Muhammdad AH, Jan 2017
Lund_02890,Garden,Sky,Tree,Grass,Cloud,Spring,Park,Botany,Water,,Stadsparken ¢,ﬁ John Eckerdal, Jan 2018
Lund_00638,Building,Landmark,Architecture,Property,Classical architecture,Mansion,Palace,Estate,,,Lundagérd ¢,. Liv, Jan 2017
Lund_01894,Building,Architecture,Property,Landmark,House,Neighbourhood,,,,,Historiska Museet Lt,@ (T QT T, Jan 2017
Lund_00459,Building,Property,Estate,Landmark,Mansion,House,Architecture,Palace,,,Lundagérd,m Marleen Heyvaer, Jan 2006
Lund_02592,Natural landscape,Pasture,Land lot,Natural environment,Field,Rural area,Fence,Tree,Farm,Grassland,Nobbelbvs mosse,3 Michael Hanssor, Jan 2018
Lund_02370,Gym,Physical fitness,Sport venue,Weights,Room,Strength training,Weight training,Exercise equipment,Flooring,Weightlifting machine,Actic Vikingahallen,ﬂ) Mr.Roman Lak, Jan 2018
Lund_01784,Landmark,Architecture,Building,Medieval architecture,,,,,,,Lund Cathedral ¢,Neha Soni, Jan 2018
Lund_02681,Bank,Waterway,Water,Ditch,,,,,,,Rinnebick Gorge,A Adam Schill Collt, Jan 2017
Lund_02963,Building,Warehouse,Product,Inventory,,,,,,,Biltema,‘ oA, Jan 2018
Lund_01684,Landmark,White,Medieval architecture,Architecture,Classical architecture,Building,Place of worship,Cathedral,Gothic architecture,Black-and-white,[T T o1 T 1T,Yue Zhao, Jan 2018
Lund_01118,Estate,Property,Building,Mansion,Architecture,House,,,,,Lundagérd,@ yunus samet hali, Jan 2014
Lund_01679,Landmark,Building,Architecture,Winter,Property,Mansion,,,,,Lundagérd {,Medar Simsek, Jan 2016
Lund_00171,Public space,Town,,,,,,,,,@ Yamanbg BULGA,@ Yamanbg BULGA, Jan 2018
Lund_02568,Natural landscape,Tree,Nature reserve,Grass,Rural area,,,,,,Nobbelbvs mosse,3 Michael Hanssor, Jan 2018
Lund_01602,Building,Architecture,Landmark,Town,Urban area,Medieval architecture,City,Human settlement,,,Chateau 8,Q (T QT T, Jan 2017
Lund_00321,Medieval architecture,Building,Landmark,Architecture,Stately home,Castle,,,,,Lundagérd,@ yunus samet hali, Jan 2014
Lund_01672,Architecture,Building,Town,Urban area,Facade,Human settlement,City,,,,World Trade Center L,Johannes Rydbe!, Jan 2017
