a,b_x,c_x,d_x,e,f,g,h,i,j,k,b_y,c_y,d_y
Lund_03096,Property,House,Home,Town,Building,,,,,,Ljungs Handel,M) Mattias Onsdorff, Mar 2018
Lund_01896,Landmark,Sky,Architecture,Building,Town,Spire,City,Steeple,,,Lund Cathedral,Simone Pellegrin, Mar 2016
Lund_01850,Town,Architecture,Public space,City,Tourism,Sky,Tree,,,,Lundagérd,Juliane Gaviragh, Mar 2017
Lund_02297,Water,Bank,,,,,,,,,Killbybadet,helen kaic, Mar 2018
Lund_00952,Classical architecture,Landmark,Building,Architecture,Facade,,,,,,Lundagérd 8,M) MrAR2407, Mar 2017
Lund_00150,Building,Property,Town,Facade,,,,,,,e Valeria Maciu,e Valeria Maciu, Mar 2018
Lund_01504,Property,Sky,Estate,House,Architecture,Tree,Building,Grass,,,Lundagérd 8,@ Martin Giles, Mar 2014
Lund_01101,Aerial photography,Landmark,Bird's-eye view,Urban area,City,Building,Architecture,,,,Ideon Science Park,'?:“ jan kees dommis, Mar 2018
Lund_00828,Medieval architecture,Landmark,Building,Architecture,Spire,,,,,,Lund Cathedral ¢,w vincent chung, Mar 2017
Lund_01930,Building,Property,Town,,,,,,,,Folkuniversitetets fo,LRI IYCET, Mar 2017
Lund_01869,Architecture,Urban area,Sky,Landmark,Tree,Daytime,Building,Town,City,,Lundagérd,$ Bjarne Rosengrel, Mar 2017
Lund_00400,Classical architecture,Landmark,Building,Architecture,Sky,Mansion,Estate,Palace,House,,Lundagérd 8,@ Martin Giles, Mar 2014
Lund_00833,Building,Estate,Landmark,Stately home,Architecture,Palace,Château,Mansion,,,Lundagérd 8,é@l Luis Villeda, Mar 2016
Lund_00788,Classical architecture,Landmark,Architecture,Building,Facade,,,,,,Lundagérd 8,@ Martin Giles, Mar 2014
Lund_01014,Classical architecture,Landmark,Building,Architecture,Facade,,,,,,Lund University H,@ Oliver Halls, Mar 2015
Lund_01064,Landmark,Building,Architecture,Classical architecture,Palace,House,,,,,Lunds universitets re,L) Linus Jeppsson, Mar 2017
Lund_01272,Body of water,Bank,Natural landscape,Nature,Water,River,Water resources,Natural environment,Riparian zone,Nature reserve,Stadsparken (,Pavel Chébera, Mar 2016
Lund_00711,Building,Landmark,Medieval architecture,Architecture,Mansion,Stately home,,,,,Lundagérd,& Bea Kovacsovics, Mar 2018
Lund_00401,Classical architecture,Landmark,Building,Architecture,Sky,Mansion,Estate,Palace,House,,Lundagérd 8,@ Martin Giles, Mar 2014
Lund_02161,Building,Architecture,Town,Landmark,Neighbourhood,Facade,,,,,Bantorget 8,Bantorget 8, Mar 2017
Lund_01011,Classical architecture,Landmark,Architecture,Building,Facade,,,,,,Lundagérd 8,M) MrAR2407, Mar 2017
Lund_01797,Property,Architecture,Building,Residential area,Commercial building,Apartment,,,,,Skanska Sverige AB,NG T LR, Mar 2007
Lund_01615,Tree,Architecture,Landmark,Building,Estate,,,,,,Kulturen,leva Eglite, Mar 2018
Lund_01100,Aerial photography,Landmark,Bird's-eye view,Urban area,City,Building,Architecture,,,,Ideon Science Park,'?:“ jan kees dommis, Mar 2018
Lund_00249,Building,Landmark,Château,Property,Estate,Architecture,Stately home,Mansion,Manor house,,Bantorget 8,Bantorget 8, Mar 2017
Lund_01419,Classical architecture,Architecture,Building,Landmark,Facade,,,,,,Italia Il Ristorante,5@' Luis Villeda, Mar 2016
Lund_00891,Classical architecture,Building,Landmark,Architecture,Facade,Palace,,,,,Lundagérd,& Bea Kovacsovics, Mar 2018
Lund_00093,Road,Dirt road,Mode of transport,Vehicle,Infrastructure,,,,,,B Babulal Yadav,B Babulal Yadav, Mar 2018
Lund_00236,Classical architecture,Landmark,Building,Architecture,Palace,,,,,,Lundagérd 8,@ Martin Giles, Mar 2014
Lund_00592,Building,Landmark,Property,Architecture,,,,,,,Lundagard ¢,Lundagard ¢, Mar 2017
Lund_01067,Building,Landmark,Classical architecture,Architecture,Palace,Official residence,Mansion,Estate,,,Lundagérd,Michal Skrzypiec, Mar 2011
Lund_00627,Property,Landmark,Architecture,Building,Town,Brick,House,Urban area,,,LUX building (Lund U,@ 2L U@, Mar 2018
Lund_02175,Medieval architecture,Building,Architecture,Landmark,Classical architecture,Place of worship,Gothic architecture,Cathedral,Facade,Church,[T T o1 T 1T,- Escel, Mar 2017
Lund_00453,Classical architecture,Building,Landmark,Architecture,Property,Mansion,Estate,House,Palace,,Lundagérd 8,@ Martin Giles, Mar 2014
Lund_01453,Building,Architecture,Property,Town,Public space,Human settlement,City,,,,Lunds universitet Ins,Y RIRIE, Mar 2018
Lund_00404,Classical architecture,Landmark,Building,Architecture,Sky,Mansion,Estate,Palace,House,,Lundagérd 8,@ Martin Giles, Mar 2014
Lund_00357,Landmark,Building,Palace,Classical architecture,Architecture,Mansion,Property,Estate,Official residence,Château,Lundagérd,&) Hampus Jakobs:, Mar 2017
Lund_01520,Building,Property,Architecture,House,Black-and-white,,,,,,Stadsparken,RV O A, Mar 2018
Lund_01512,Building,Property,Architecture,Estate,Mansion,,,,,,Lunds universitet Od,Elisabet Blomdal, Mar 2017
Lund_02633,Light,Night,Lighting,Building,,,,,,,Biltema 8,' (&= =RV, Mar 2018
Lund_00216,Town,Sky,Property,House,Residential area,Home,,,,,0 Valeria Maciu,0 Valeria Maciu, Mar 2018
Lund_02682,Natural landscape,Sky,Winter,Tree,Plant,Grass family,Freezing,Grass,,,Northward view at Lt,S Sanbao Xu, Mar 2013
Lund_02081,Snow,Winter,Freezing,Town,Street,,,,,,Stortorget,(&= =RV, Mar 2018
Lund_01815,Tree,Spring,Grass,Landmark,Architecture,Daytime,Sky,Estate,House,Building,Lundagérd 8,@ Martin Giles, Mar 2014
Lund_01108,Building,Estate,Mansion,Property,Palace,Manor house,Stately home,Architecture,House,,Lundagard ¢,Lundagard ¢, Mar 2017
Lund_02124,Town,Public space,Water,,,,,,,,£ (g T,M) M2 BEGONA DEL, Mar 2018
Lund_03177,Estate,Building,Mansion,Sky,Property,Landmark,Palace,House,Stately home,Architecture,Grand Hotel Lund,Fabio Romeo, Mar 2018
Lund_02112,Property,Sky,Landmark,Building,Tree,Architecture,House,Estate,Town,,Lundagérd 8,@ Martin Giles, Mar 2014
Lund_02001,Property,House,Residential area,Home,Estate,Building,Land lot,Real estate,Town,Roof,Kulturen 8,i\ 1T T, Mar 2014
Lund_02866,Landmark,Medieval architecture,Architecture,Building,Place of worship,Classical architecture,Cathedral,Gothic architecture,Steeple,Facade,Lundagérd,Magnus Nilsson, Mar 2017
Lund_02641,Roof,Snow,Town,Winter,House,Neighbourhood,Home,Sky,Residential area,Architecture,Grand Hotel Lund ¢,Fabio Romeo, Mar 2018
Lund_01710,Tree,Grass,Spring,Architecture,,,,,,,Lundagérd,(O L= T R ), Mar 2017
Lund_00886,Building,Property,Architecture,Landmark,Stately home,Mansion,Estate,,,,Bantorget,0 ) Orsolya Stefanic:, Mar 2017
Lund_01522,Building,Property,Architecture,House,Black-and-white,,,,,,Stadsparken,RV O A, Mar 2018
Lund_00986,Building,Landmark,Architecture,Town,Medieval architecture,Cathedral,City,,,,Stortorget B,(o e I=H Y], Mar 2017
Lund_00200,Architecture,Transport,Sky,Urban area,Residential area,,,,,,Lund H,"‘@.""S Kamal Dayob", Mar 2018
Lund_01548,Medieval architecture,Building,Landmark,Architecture,,,,,,,Lund Cathedral,Seger achternaar, Mar 2017
Lund_01028,Building,Property,Architecture,Estate,,,,,,,Folkuniversitetets fo,LRI IYCET, Mar 2017
Lund_00773,Building,Landmark,Architecture,Medieval architecture,Stately home,Estate,,,,,Kungshuset ¢,S ShaMar, Mar 2018
Lund_01550,Sky,Architecture,Building,Landmark,Tree,Church,Medieval architecture,Place of worship,,,Lundagérd 9,"‘f."" Johan Visser", Mar 2017
Lund_02239,Property,Roof,House,Sky,Architecture,Building,Home,,,,RULLUX Markis & Pe,Michele Tasselli, Mar 2017
Lund_01886,Building,Landmark,Property,Architecture,Facade,Town,,,,,Kulturen,M) M2 BEGONA DEL, Mar 2018
Lund_00399,Classical architecture,Landmark,Building,Architecture,Sky,Mansion,Estate,Palace,House,,Lundagérd 8,@ Martin Giles, Mar 2014
Lund_00426,Building,Landmark,College,Public space,Grass,City,Architecture,Campus,Human settlement,Estate,Bantorget 8,L 1T T, Mar 2017
Lund_01386,Building,Property,Estate,Town,Mansion,Architecture,,,,,Kulturen,Kulturen, Mar 2017
Lund_00052,Landmark,Architecture,Medieval architecture,Building,Church,Cathedral,Gothic architecture,Place of worship,Sky,,% UL ETLIHE,% UL ETLIHE, Mar 2018
Lund_01794,Landmark,Architecture,Medieval architecture,Building,Sky,Cathedral,Gothic architecture,Place of worship,Classical architecture,,Lundagérd,Zackarias Soderl, Mar 2017
Lund_00452,Classical architecture,Building,Landmark,Architecture,Property,Mansion,Estate,House,Palace,,Lundagérd 8,@ Martin Giles, Mar 2014
Lund_02076,Landmark,Estate,Property,Building,Architecture,Sky,Grass,Town,Public space,City,Bantorget 8,L 1T T, Mar 2017
Lund_00398,Classical architecture,Landmark,Building,Architecture,Sky,Mansion,Estate,Palace,House,,Lundagérd 8,@ Martin Giles, Mar 2014
Lund_00316,Estate,Building,Landmark,Palace,Mansion,Classical architecture,Official residence,Architecture,Stately home,Château,Lundagérd,"@“,' Andrew Desmon", Mar 2016
Lund_02287,Architecture,Building,,,,,,,,,Klostergérdens bibli,:’ Anna Welander T, Mar 2018
Lund_02101,Tree,Spring,Grass,Landmark,Architecture,House,Estate,Sky,Building,Plant,Lundagérd 8,@ Martin Giles, Mar 2014
Lund_02512,Gym,Physical fitness,Room,Floor,Flooring,Sport venue,,,,,Fitness24Seven,@ Simone Pellegrin, Mar 2018
Lund_00208,Town square,Town,Public space,City,Human settlement,Plaza,Neighbourhood,Street,Building,,0 Valeria Maciu,0 Valeria Maciu, Mar 2018
Lund_01799,Palace,Building,Estate,Mansion,Official residence,,,,,,Folkuniversitetets fo,LRI IYCET, Mar 2017
Lund_03045,Sports,Team sport,Ball game,,,,,,,,Actic Vikingahallen,yeigy Christian Resebo, Mar 2017
Lund_00258,Building,Landmark,Architecture,Château,Stately home,Estate,,,,,Bantorget 8,Bantorget 8, Mar 2017
Lund_01131,Sky,Landmark,Architecture,Building,Tower,,,,,,[T L He 1 BT,@ Francois Polito, Mar 2013
Lund_02540,Body of water,Natural landscape,Natural environment,Marsh,Freshwater marsh,Water,Tidal marsh,Wetland,Fen,Salt marsh,Vistra bron vid nébb,Q Thomas Herman, Mar 2017
Lund_02831,Classical architecture,Building,Landmark,Architecture,Facade,Palace,,,,,Bantorget H,e IS Y Ty, Mar 2017
Lund_00787,Classical architecture,Landmark,Architecture,Building,Facade,,,,,,Lundagérd 8,@ Martin Giles, Mar 2014
Lund_02525,Sky,Winter,Tree,Snow,,,,,,,Rinnebick Gorge ¢,e.h Ola Holmberg, Mar 2018
Lund_01443,Landmark,Building,Architecture,Town,Spire,Steeple,City,,,,Lundagard ¢,Lundagard ¢, Mar 2017
Lund_00294,Landmark,Architecture,Building,,,,,,,,Gamla observatoriet,@& ' Martin Ljungqvis, Mar 2017
Lund_00237,Classical architecture,Landmark,Building,Architecture,Palace,,,,,,Lundagérd 8,@ Martin Giles, Mar 2014
