a,b_x,c_x,d_x,e,f,g,h,i,j,k,b_y,c_y,d_y
Lund_00373,Landmark,Medieval architecture,Building,Architecture,Spire,Place of worship,Classical architecture,Steeple,Church,Sky,[T L He 1 BT,ﬁj Narasimha Rao, Oct 2017
Lund_02634,Natural landscape,Nature,Leaf,Tree,Vegetation,Reflection,Pond,Autumn,Garden,Plant,Botanical Garden,ka Dennis Frank, Oct 2018
Lund_01840,Landmark,Sky,Tower,Tree,Architecture,Observation tower,,,,,Lundagérd,a Centar Prevencij:, Oct 2016
Lund_00879,Town,Building,Human settlement,City,Public space,Architecture,Town square,,,,Lundagérd,% LEVL GRGET ), Oct 2017
Lund_01433,Estate,Building,Mansion,Property,Palace,Stately home,House,,,,Lundagérd,A) Arulselvi Selvaraj, Oct 2015
Lund_01057,Landmark,Building,Property,Architecture,Tree,Stately home,Medieval architecture,Castle,Estate,,Lundagérd,‘E’ng Marzia Cescon, Oct 2017
Lund_01342,Property,Building,Architecture,Town,,,,,,,Lund Cathedral,@ Krystian Czernek, Oct 2017
Lund_02851,Estate,Building,Mansion,Property,Palace,Landmark,House,Sky,Architecture,,Lund LTH,% William Térneber, Oct 2017
Lund_01361,Classical architecture,Landmark,Architecture,Building,Facade,,,,,,Lundagérd,a Centar Prevencij:, Oct 2016
Lund_01138,Natural landscape,Pond,Reflection,Bank,Water,Waterway,Botany,Water resources,Watercourse,,Botanical Garden,Q” UL I, Oct 2017
Lund_00713,Landmark,Estate,Building,Architecture,,,,,,,Lundagérd 8,"'@‘, Ann Sandin", Oct 2017
Lund_02538,Building,Landmark,Classical architecture,Architecture,Palace,Facade,Château,,,,Lundagérd 8,g% Dennis Frank, Oct 2018
Lund_00233,Building,Landmark,Architecture,Estate,,,,,,,Lundagérd,@ cissio Oliveira, Oct 2017
Lund_01409,Landmark,Building,Estate,Mansion,Architecture,Palace,House,,,,Lundagérd 9,Florian Preis, Oct 2017
Lund_02462,Landmark,Tree,Sky,Garden,Leaf,Park,Botany,Public space,,,Lundagérd,%@‘ Orfeas Kalipolitis, Oct 2018
Lund_00692,Building,Estate,Palace,Mansion,Landmark,Château,Stately home,Official residence,Architecture,Classical architecture,Lundagérd,;&g peter kurnavka, Oct 2017
Lund_02879,Building,Architecture,Medieval architecture,Landmark,Cathedral,Place of worship,Gothic architecture,,,,Stadsparken,% \CeRinlinbiv], Oct 2017
Lund_01266,Estate,Building,Property,Palace,Mansion,Stately home,Château,Architecture,,,Lundagérd,@ Stefan Sgnderva, Oct 2017
Lund_00075,Property,Town,Building,,,,,,,,. Marion Kaletta,. Marion Kaletta, Oct 2017
Lund_00049,Palace,Building,Estate,Landmark,Château,Mansion,Official residence,Architecture,Stately home,,;&g peter kurnavka,;&g peter kurnavka, Oct 2017
Lund_01385,Building,Transport,Vehicle,,,,,,,,Nova i Lund,Nevruz Alievski, Oct 2016
Lund_01249,Body of water,Natural landscape,Water resources,Nature,Waterway,Water,River,Bank,Natural environment,Canal,Kiillby avioppsrening,NG T LR, Oct 2011
Lund_00603,Landmark,Architecture,Building,Medieval architecture,Spire,Sky,Town,Cathedral,Church,Gothic architecture,Lundagérd 8,@ Sergio Garcia, Oct 2012
Lund_01157,Building,Architecture,Landmark,Medieval architecture,,,,,,,Lund Cathedral,m  michella obradoy, Oct 2016
Lund_01766,Classical architecture,Building,Landmark,Architecture,Property,Mansion,Palace,Estate,Sky,House,Lundagérd c,Goran Egevad, Oct 2017
Lund_01163,Landmark,Architecture,Building,Sky,Medieval architecture,Town,Spire,Cathedral,Gothic architecture,,Lundagérd 8,@ Sergio Garcia, Oct 2012
Lund_00334,Building,Architecture,Property,Landmark,Palace,Town,City,Human settlement,Sky,,Lundagérd,@ Stefan Sgnderva, Oct 2017
