a,b_x,c_x,d_x,e,f,g,h,i,j,k,b_y,c_y,d_y
Lund_01247,Property,House,Building,Home,Roof,,,,,,Coop Konsum,J  Janus sobrzezeje, May 2018
Lund_00829,Building,Estate,Landmark,Mansion,Architecture,Stately home,Château,,,,[T 3,"""Q AL T", May 2018
Lund_02263,Natural landscape,Nature,Nature reserve,Vegetation,Grass,Tree,Biome,Watercourse,Grass family,,Rinnebick Gorge 2,Fredrik Holte, May 2018
Lund_01892,Fountain,Water,Water feature,Water resources,,,,,,,Stadsparken,Q chandan gupta, May 2017
Lund_02648,Natural landscape,Vegetation,Natural environment,Meadow,Grassland,Prairie,Grass,Nature reserve,Shrubland,Plant community,Brunnshdgs kojskog,# Viktor Erik Jense, May 2017
Lund_00113,Vehicle,Town,Car,Urban area,Transport,Street,Landmark,Mode of transport,Architecture,Neighbourhood,9 Sumeet Ranjan S,9 Sumeet Ranjan S, May 2017
Lund_00121,Spire,Steeple,Church,Tree,Building,Architecture,,,,,9 Sumeet Ranjan S,9 Sumeet Ranjan S, May 2017
Lund_00752,Landmark,Mansion,Architecture,Garden,Building,Spring,Estate,Palace,,,g Oleg Izyumenko,g Oleg Izyumenko, May 2017
Lund_01543,Natural landscape,Garden,Vegetation,Tree,Grass,Botanical garden,Grassland,Nature reserve,Meadow,Plant,Botanical Garden,) Habib ElRachidi, May 2018
Lund_00217,Roof,Residential area,Town,Sky,Urban area,Neighbourhood,Human settlement,Suburb,City,,Lund,"% e,", May 2016
Lund_00165,Architecture,Landmark,Building,Sky,Tourism,Steeple,,,,,@ Lucia Fioravanti,@ Lucia Fioravanti, May 2017
Lund_01428,Natural landscape,Reflection,Pond,Nature,Water,Vegetation,Bank,Garden,Reflecting pool,Nature reserve,Botanical Garden,Jesper Svensson, May 2018
Lund_01143,Building,Palace,Architecture,Public space,City,,,,,,Lundagérd ¢,G [VINe), May 2017
Lund_01695,Building,Landmark,Architecture,Sky,Church,Medieval architecture,,,,,Lund Cathedral (,ﬁ John Eckerdal, May 2016
Lund_02247,Straw,Hay,Hut,Grass,Grass family,,,,,,-1 TL T B T B G G,Richard Nilsson, May 2017
Lund_01045,Medieval architecture,Classical architecture,Landmark,Architecture,Building,Place of worship,Cathedral,Gothic architecture,Sky,Facade,Akademibokhandeln,    , May 2017
Lund_01715,Town,Neighbourhood,Building,Street,Transport,Human settlement,Architecture,,,,Café ltalia,‘f James Andrews, May 2017
Lund_01329,Body of water,Water resources,Natural landscape,Nature,Natural environment,Sky,Water,Reflection,Marsh,Cloud,|G AT,L Bengt Jiirs, May 2014
Lund_02268,Bank,Natural landscape,Waterway,Grass,Watercourse,Water,,,,,Rinnebidck Gorge,a‘ Prashant Bari, May 2017
Lund_00207,Residential area,Town,Sky,Neighbourhood,House,Street,Property,Home,Building,Urban area,9 Sumeet Ranjan S,9 Sumeet Ranjan S, May 2017
Lund_00775,Landmark,Architecture,Building,Castle,Tree,,,,,,Lundagérd 9,% Vesna Fati¢, May 2017
Lund_01619,Roof,Town,Urban area,City,Human settlement,Neighbourhood,Building,Architecture,Sky,,Grand Hotel Lund,@) (=11 E, May 2017
Lund_00210,Town,City,Human settlement,Sky,Urban area,Evening,Neighbourhood,Downtown,Landmark,Morning,9 Sumeet Ranjan S,9 Sumeet Ranjan S, May 2017
Lund_02182,Tree,Natural landscape,Nature,Sky,Vegetation,Green,Grass,Natural environment,Light,Sunlight,Rinnebick Gorge 2,Mido Lii, May 2018
Lund_00085,Water,Landmark,Sky,Architecture,Grass,Tree,Public space,Building,Estate,,[T 8,a Diana Picus, May 2017
Lund_01625,Town,Property,City,Building,Roof,Human settlement,Neighbourhood,,,,A LG,Jonte Eckhardt, May 2018
Lund_01208,Building,Estate,Mansion,Palace,Property,Château,Official residence,Stately home,Classical architecture,Manor house,[T T VT,Q chandan gupta, May 2017
Lund_00296,Landmark,Sky,Property,Architecture,Building,House,Town,,,,Lundagérd,ﬁg‘ Nicolds Lundin, May 2017
Lund_02242,Water resources,Body of water,Water,Sky,Natural landscape,River,Natural environment,Lake,Bank,Vegetation,L TR TR,Charlotte Skarin, May 2017
Lund_01686,Sky,Garden,Building,Palace,,,,,,,AF Borgen AB ¢,@?} Hanna Olsson, May 2018
Lund_01596,Spring,Flower,Plant,,,,,,,,Lundagard ¢,Lars R, May 2017
Lund_00538,Architecture,Building,Landmark,Medieval architecture,,,,,,,Lund Tourist Center,5‘3.‘..@ LU G, May 2016
Lund_01631,Building,Property,Mixed-use,Campus,,,,,,,Ingvar Kamprad Desi,Sabry Razick, May 2018
Lund_01332,Architecture,Landmark,Town,Urban area,City,Building,Human settlement,Street,Metropolitan area,Public space,‘ﬁ James Andrews,‘ﬁ James Andrews, May 2017
Lund_00392,Palace,Estate,Building,Mansion,Château,,,,,,Lundagérd,"% e,", May 2016
Lund_00153,Property,House,Home,Residential area,Building,Real estate,Neighbourhood,,,,. Poma KpaBueHK«,. Poma KpaBueHK«, May 2017
Lund_02383,Property,Architecture,Land lot,,,,,,,,MAX IV Laboratory,@ hormiai7é, May 2016
Lund_02319,Sky,Water,Dock,Water resources,Morning,Boardwalk,River,,,,Rabysjon och Raby s,q ﬁ Joakim Erlandss, May 2017
Lund_01094,Landmark,Architecture,Building,Tower,Church,,,,,,Lundagard ¢,V VanYu, May 2018
Lund_00960,Classical architecture,Building,Architecture,Landmark,Facade,,,,,,Lundagérd 8,:‘ Sufian Kamel, May 2018
Lund_01658,Reflection,Nature,Water,Pond,River,Garden,Bank,Tree,Waterway,Lake,Botanical Garden,Leila Daoud, May 2017
Lund_00790,Medieval architecture,Architecture,Landmark,Building,Place of worship,Classical architecture,Cathedral,Facade,Gothic architecture,Church,OLYMPUS DIGITAL C,@ Mariusz Denkiew, May 2016
Lund_00758,Architecture,Landmark,Building,Medieval architecture,Sky,,,,,,[T T o1 T T,@ Vichael Field, May 2012
Lund_00817,Building,Property,Mansion,Estate,Stately home,Medieval architecture,Château,Architecture,Manor house,House,Bantorget,;ﬁ Alberto Umerkaje, May 2017
Lund_00668,Palace,Building,Estate,Mansion,Tree,,,,,,Lundagérd,Robert Schuhma, May 2018
Lund_02257,Grassland,Land lot,Pasture,Meadow,Natural landscape,Natural environment,Prairie,Plain,Field,Rural area,Kent Johansson,Kent Johansson, May 2017
Lund_02813,Landmark,Building,Architecture,Classical architecture,Medieval architecture,Facade,,,,,Chocolaterie Hovby |,A  Anna-Grethe Sore, May 2017
Lund_02492,Building,,,,,,,,,,ICA Supermarket Lin,K Kristijan Daskalo, May 2017
Lund_03172,Grassland,Pasture,Lawn,Grass,Land lot,Meadow,Natural landscape,Field,Natural environment,Green,Dévenheten Lund,K Kommunikation |, May 2007
Lund_00979,Landmark,Medieval architecture,Architecture,Building,Church,Place of worship,Steeple,,,,DI TN G BT T,"-"";h‘ Larysa Rehab", May 2017
Lund_02711,Property,Door,Home door,,,,,,,,Frisk o Vacker Hudvi,(‘?‘ Estee Lavinen, May 2018
Lund_01018,Landmark,Sky,Building,Architecture,City,Daytime,Facade,Town,Human settlement,Urban area,(I LR G L,g\ Stefanie Graham, May 2018
Lund_00486,Estate,Mansion,Building,Landmark,Property,Palace,Architecture,Stately home,Official residence,Presidential palace,Lundagérd,@ Felicia Johansso, May 2018
Lund_00702,Botanical garden,Garden,Property,Mansion,,,,,,,Lundagérd,'v Rafael Schwartz, May 2018
Lund_02373,Building,,,,,,,,,,Maria Magdalena ky,&% Florian Weissbac, May 2018
Lund_00371,Landmark,Garden,Estate,Spring,Mansion,Botanical garden,Botany,Flower,Architecture,Palace,[T 8,. DIl, May 2016
Lund_00120,Sky,Spire,Landmark,Architecture,Church,Building,Place of worship,Parish,Steeple,,@ Sumeet Ranjan S,@ Sumeet Ranjan S, May 2017
Lund_01706,Town,Building,Neighbourhood,Property,House,Architecture,Transport,Street,Residential area,Human settlement,Café Mondo,‘f‘ James Andrews, May 2017
Lund_01736,Natural landscape,Pasture,Green,Grassland,Road,Natural environment,Grass,Field,Meadow,Sky,Férhagar (Hundrastg,K Kalle Andersson, May 2018
Lund_02000,Urban area,Metropolitan area,Tourism,Waterway,Travel,,,,,,Loppmarknad,J) JAKAWAT PUMP, May 2017
Lund_02880,Building,House,Property,Estate,Mansion,Architecture,,,,,Lundagérd,Mohammad A.M, May 2018
Lund_02644,Rapeseed,Field,Yellow,Mustard,Mustard plant,Natural landscape,Agriculture,Crop,Plant,Brassica rapa,1BO-Design,M Mari-Ann Nielsen, May 2017
Lund_00519,Landmark,Architecture,Building,Medieval architecture,,,,,,,Lund Tourist Center,5‘3.‘..@ LU G, May 2016
Lund_02418,Estate,Building,Property,Mansion,Palace,,,,,,Lundagérd {,@} BEEOEl ], May 2018
Lund_00327,Landmark,Architecture,Estate,Building,,,,,,,Stadsparken,D # Douglas William:s, May 2017
Lund_01103,Building,Estate,Property,Palace,Mansion,Architecture,Sky,Stately home,,,Lundagérd,) ravio ERachici, May 2018
Lund_00433,Classical architecture,Building,Landmark,Architecture,Facade,,,,,,Mat & Destillat,A  Anna-Grethe Sore, May 2017
Lund_01829,Building,Landmark,Tourism,Architecture,,,,,,,Lunds Fontéinhus,J  Janus sobrzezeje, May 2018
Lund_01427,Metropolitan area,Waterway,Architecture,City,Mixed-use,Building,Human settlement,Urban area,Condominium,Tower block,Loppmarknad,J) JAKAWAT PUMP, May 2017
Lund_01566,Architecture,Landmark,Medieval architecture,Classical architecture,Building,Place of worship,Cathedral,Facade,Historic site,Church,Lund Cathedral,Ivan Vidanovic, May 2017
Lund_01722,Building,City,Architecture,Town,Property,Human settlement,Landmark,Neighbourhood,Public space,Mixed-use,Lundagérd,'v Rafael Schwartz, May 2018
Lund_02498,Natural landscape,Sky,Grassland,Nature,Field,Natural environment,Prairie,Blue,Meadow,Green,é Henrik Larsson,é Henrik Larsson, May 2017
Lund_00108,Landmark,Place of worship,Architecture,Spire,Church,Building,Parish,Sky,Chapel,,9 Sumeet Ranjan S,9 Sumeet Ranjan S, May 2017
Lund_01363,Landmark,Architecture,Building,,,,,,,,Lundagérd,Antoinette King, May 2018
Lund_02347,Building,Product,Retail,,,,,,,,Biltema,@ Marcelo Aguiar, May 2018
Lund_01993,Fountain,Water,Water feature,Sky,Architecture,,,,,,Stadsparken ¢,Peter Aronson, May 2017
Lund_02987,Grassland,Nature,Plain,Sky,Horizon,Natural environment,Green,Morning,Natural landscape,Atmospheric phenomenon,Klosteréngshojden,W Wokitty b, May 2017
Lund_00798,Landmark,Architecture,Building,Medieval architecture,Stately home,Château,,,,,Lundagérd 8,N Nikhil Dharap, May 2018
Lund_01513,Road,Natural landscape,Green,Grass,Pasture,Lane,Natural environment,Asphalt,Grassland,Thoroughfare,Sankt Hans Hill,Rafael Schwartz, May 2018
Lund_00906,Landmark,Building,Estate,Architecture,Mansion,,,,,,John Eckerdal,John Eckerdal, May 2016
Lund_01865,Property,Building,Estate,House,Architecture,Town,Home,Real estate,,,Kulturen,AnexcaHap KoHc, May 2018
Lund_01725,Filling station,Fuel,Gasoline,Building,,,,,,,CircleK 9,. Sl L), May 2017
Lund_00869,Landmark,Medieval architecture,Architecture,Building,Place of worship,Classical architecture,Church,Sky,Facade,Historic site,Lund Cathedral,@ Sumeet Ranjan S, May 2017
Lund_01668,Landmark,Palace,Château,Flower,Spring,Estate,Stately home,Plant,Garden,Building,Lundagérd,% Mohammad A.M, May 2018
Lund_01217,Body of water,Natural landscape,Nature,Bank,Water resources,Water,Pond,River,Natural environment,Nature reserve,Stadsparken,LN Stenberg, May 2018
Lund_02521,Product,Industry,,,,,,,,,MAX IV Laboratory,p‘ Indré Kolojanska, May 2017
Lund_02439,Vegetation,Natural landscape,Nature,Grass,Grassland,Green,Nature reserve,Natural environment,Pasture,Plant community,Rinnebick Gorge 2,(U‘ ), May 2018
Lund_00456,Landmark,Building,Architecture,Property,Stately home,Town,City,Estate,,,Akademiska Férenin,6 IR DL, May 2004
Lund_02913,Sky,House,Morning,,,,,,,,Virpingeskolan ¢,o Jef Kong, May 2017
Lund_02025,Property,Residential area,Building,Town,House,Neighbourhood,Architecture,Mixed-use,Real estate,Home,LBS Lund,Jonathan Lundbe, May 2018
Lund_00326,Architecture,Building,Landmark,Medieval architecture,Church,Place of worship,Sky,Cathedral,City,,Lund Cathedral,ﬁ Sumeet Ranjan S, May 2017
Lund_01222,Garden,Botanical garden,Botany,,,,,,,,"»\1,;; Aktham Yousef","»\1,;; Aktham Yousef", May 2018
Lund_02526,Natural landscape,Sky,Nature,Reflection,Water,Natural environment,Water resources,Marsh,Grassland,Cloud,e Bjérn Davidsson,e Bjérn Davidsson, May 2016
Lund_01719,Town,Neighbourhood,Building,Street,Transport,Human settlement,Architecture,,,,‘ﬁ James Andrews,‘ﬁ James Andrews, May 2017
Lund_03169,Natural landscape,Nature,Natural environment,Marsh,Nature reserve,Water,Wetland,Sky,Bank,Floodplain,L TR TR,Charlotte Skarin, May 2017
Lund_02889,Fountain,Water,Landmark,Reflecting pool,Garden,Botany,Water feature,,,,Mat & Destillat,Anna-Grethe Sore, May 2017
Lund_02759,Asphalt,Road,Public space,Road surface,,,,,,,MAX IV Laboratory,p‘ Indré Kolojanska, May 2017
Lund_02596,Grassland,Plain,Natural environment,Sky,Prairie,Pasture,Steppe,Ecoregion,Land lot,Meadow,Klosteréingshdjden,@ ) Banne Rumengal, May 2018
Lund_01003,Landmark,Architecture,Classical architecture,Building,Facade,,,,,,Lundagérd,A Anneliese Wacke, May 2017
Lund_01830,Flag,Town,Building,Public space,City,,,,,,Sankt Hans Hill,@ Sumeet Ranjan S, May 2017
Lund_01022,Estate,Building,Landmark,Sky,Property,Architecture,Mansion,Spring,House,Lighting,Lundagérd,wik: Andreas Gillberg, May 2017
Lund_01877,Architecture,Grass,Wall,Building,,,,,,,Lundagérd,Sebastian Ander:, May 2017
Lund_02207,Bridge,Daytime,Water,River,,,,,,,Rabysjon och Raby s,Erik Brattkull, May 2018
Lund_02222,House,Building,Property,Home,Residential area,Architecture,Neighbourhood,Mansion,,,Dévenheten Lund,Kommunikation |, May 2007
Lund_01819,Town,City,Public space,Town square,Human settlement,Plaza,Street,,,,Lund C 3,NECH]], May 2017
Lund_01059,Landmark,Building,Estate,Mansion,Architecture,Stately home,Palace,,,,Lundagérd 9,( R LG, May 2017
Lund_00989,Landmark,Public space,Building,Plaza,Town square,Human settlement,City,,,,Lundagérd 8,"@,‘ (=11 E", May 2017
Lund_02308,Tree,Natural landscape,Nature,Grass,Woody plant,Nature reserve,Natural environment,Branch,Spring,Sky,Nobbeldvs mosse,Karl Magnus Adit, May 2016
Lund_01945,Fountain,Public space,Tree,Water feature,Water,Architecture,,,,,Stadsparken,Viktor Erik Jense, May 2017
Lund_02575,Water,Water resources,Bank,Reservoir,Natural environment,Waterway,,,,,M Martin Ekstrand,M Martin Ekstrand, May 2017
Lund_00761,Building,Architecture,Property,Landmark,House,,,,,,Historiska museet vi,6 SN YN, May 2015
Lund_01399,Natural landscape,Natural environment,Water resources,Wetland,Water,Nature reserve,Green,Marsh,Grassland,Fen,|G AT,L Bengt Jiirs, May 2014
Lund_02082,Landmark,Mansion,Estate,Building,Architecture,Palace,Stately home,Official residence,Garden,,Lundagérd,Per Junel, May 2018
Lund_01960,Road,Natural landscape,Lane,Thoroughfare,Asphalt,Grass,Path,Trail,Tree,Infrastructure,Sankt Hans Hill,Rafael Schwartz, May 2018
Lund_01456,Estate,Mansion,Building,Property,Landmark,Architecture,House,,,,mobile 8,Yun Liu, May 2012 \i
Lund_00714,Building,Property,Architecture,Estate,Landmark,Stately home,Mansion,,,,University Library,% William Térneber, May 2018
Lund_01437,Property,Estate,Building,Landmark,Mansion,House,Architecture,,,,Lundagard ¢,Dariusz, May 2014
Lund_00905,Garden,Landmark,Spring,Botany,,,,,,,Lundagérd,S Sorina Gorcenco, May 2018
Lund_02062,Water,Fountain,Landmark,Architecture,Tree,Botany,Water feature,Garden,,,Lundagérd,Ireneusz Sakowi, May 2017
Lund_02520,Rapeseed,Mustard,Field,Canola,Mustard plant,Yellow,Plant,Meadow,Grassland,Natural landscape,Nobbel6vs mosse,#€) Edvin Dribe, May 2017
Lund_01542,Landmark,Architecture,Sky,Public space,Building,,,,,,Lundagérd,) ravio ERachici, May 2018
Lund_00272,Landmark,Architecture,Spring,Public space,Building,,,,,,Lundagérd,=) Madelaine Sundk, May 2017
Lund_01742,Natural landscape,Body of water,Nature,Bank,Water resources,Water,Nature reserve,Vegetation,Natural environment,Pond,Stadsparken,Martin Andersso, May 2018
Lund_01164,Urban area,Metropolitan area,City,Aerial photography,Bird's-eye view,Sky,,,,,Elite Hotel Ideon,—“ EEC N, May 2017
Lund_02463,Pasture,Grassland,Sky,Grazing,Natural environment,Bovine,Natural landscape,Farm,Rural area,Grass,Nobbelbvs mosse,g ) Andreas Ahlgvist, May 2018
Lund_01468,Landmark,Garden,Mansion,Palace,Flower,Spring,Architecture,Estate,Building,Stately home,Lundagérd,% Mohammad A.M, May 2018
Lund_00759,Landmark,Architecture,Building,Medieval architecture,Cathedral,Sky,Facade,Gothic architecture,Place of worship,City,Lundagérd,@ Pedro J Martin, May 2018
Lund_01845,Town,City,Landmark,Public space,Pedestrian,Tourism,Human settlement,Town square,Street,Urban area,Stortorget H,Ani Vera, May 2017
Lund_00331,Spring,Public space,Estate,Mansion,Campus,Building,Palace,,,,Lundagérd 8,%) David Smith, May 2017
Lund_00269,Estate,Building,Landmark,Mansion,Palace,Architecture,Official residence,,,,Lundagérd,N WO Y G, May 2017
Lund_01966,Garden,Spring,Natural landscape,Tree,House,Plant,Botany,Sky,Flower,,Botanical Garden,Stefanie Gao, May 2017
Lund_00583,Estate,Building,Mansion,Palace,Landmark,Property,Stately home,Official residence,Château,,Lundagérd,N WO Y G, May 2017
Lund_02096,Property,Building,Architecture,House,,,,,,,Gamla Biskopshuset,ﬁ Jonathan Lundbe, May 2018
Lund_02165,Grass,Green,Lawn,Natural landscape,Tree,House,Estate,,,,Atmosfiren i maj &r,NG ED G, May 2018
Lund_01999,Landmark,Architecture,Sky,Building,,,,,,,Lundagérd,Teena Christense, May 2012
Lund_00504,Body of water,Waterway,Canal,Water,Property,River,Pond,Bank,Reflection,Town,Botanical Garden,@ Christian Stahibe, May 2017
Lund_01687,Building,Architecture,Landmark,Property,Town,Human settlement,City,,,,University Library,6 IR DL, May 2004
Lund_02108,Metropolitan area,Building,Architecture,City,Urban area,Tower block,Daytime,Sky,Human settlement,Skyscraper,LRI EL Y T,5‘3.‘..@ LU G, May 2016
Lund_01026,Landmark,Architecture,Sky,Building,Mansion,Estate,House,,,,Lundagérd,R ' Rodica Adamest, May 2018
Lund_02143,Natural landscape,Property,Lawn,Grass,Land lot,Garden,House,Tree,,,Botanical Garden,(6 loanna Giannopo, May 2017
Lund_01843,Garden,Botanical garden,Botany,,,,,,,,Stadsparken,Jonathan Ohrling, May 2017
Lund_00976,Landmark,Palace,Estate,Building,,,,,,,Lundagérd 8,N Nikhil Dharap, May 2018
Lund_01620,Property,Estate,House,Natural landscape,Waterway,Cottage,Building,Manor house,,,Botanical Garden,Florent Santaniel, May 2016
Lund_00687,Property,Landmark,Estate,Mansion,Garden,Public space,Building,,,,Lundagérd,H Hans Blomgren, May 2018
Lund_00844,Landmark,Estate,Garden,Architecture,Spring,,,,,,Lundagérd,@’ Victor Lindellee, May 2018
Lund_01752,Fountain,Water,Sky,Public space,Daytime,Water feature,Plaza,Tree,Town,Town square,Stadsparken,Jonas Blomgqvist, May 2018
Lund_02817,Landmark,Building,Architecture,Sky,Town,,,,,,Stadsparken,J  Jonathan Ohrling, May 2017
Lund_00871,Landmark,Spring,Flower,Garden,Building,Architecture,Botany,,,,’ Patrick G,’ Patrick G, May 2011
Lund_00170,Road,Asphalt,Lane,Tree,Green,Road surface,Thoroughfare,Natural landscape,Infrastructure,Grass,@ Sumeet Ranjan S,@ Sumeet Ranjan S, May 2017
Lund_03143,Sky,Natural landscape,Cloud,Green,Pasture,Grassland,Natural environment,Grass,Land lot,Horizon,. Matthew H. Motz,. Matthew H. Motz, May 2018
Lund_01231,Landmark,Medieval architecture,Architecture,Building,Classical architecture,Gothic architecture,Cathedral,,,,[T T o1 T T T,Wal dek, May 2010
Lund_03152,Body of water,Natural landscape,Nature,Water resources,Water,Natural environment,Nature reserve,Sky,Vegetation,Bank,Nobbelbvs mosse,K Karl Magnus Adi, May 2016
Lund_01579,Natural landscape,Natural environment,Nature reserve,Fen,Bank,Water resources,Land lot,Wetland,Pasture,Grassland,Férhagar (Hundrastg,K Kalle Andersson, May 2018
Lund_00811,Spire,Landmark,Steeple,Architecture,Building,Place of worship,Church,Parish,,,Allhelgonakyrkan,6 NI D, May 2004
Lund_00656,Medieval architecture,Landmark,Building,Architecture,Classical architecture,Historic site,Facade,,,,Lund Cathedral,@ Andreas Schaller, May 2016
Lund_00431,Estate,Mansion,Building,Landmark,Property,Stately home,Palace,Château,,,Lundagérd,V.Y T, May 2018
Lund_01344,Building,Classical architecture,Landmark,Architecture,Palace,,,,,,Lundagérd,Michael Dobson, May 2016
Lund_00981,Garden,Botanical garden,Tree,Botany,Park,,,,,,"»\1,;; Aktham Yousef","»\1,;; Aktham Yousef", May 2018
Lund_02386,Rapeseed,Field,Mustard,Mustard plant,Yellow,Canola,Meadow,Plant,Grassland,Natural landscape,Nobbel6vs mosse,#€) Edvin Dribe, May 2017
Lund_01782,Fountain,Garden,Botanical garden,Natural landscape,Property,Lawn,Grass,Tree,Park,Botany,Stadsparken 9,Amir Armfalk, May 2017
Lund_02714,Vegetation,Land lot,Hill,Rural area,Grass,Soil,Pasture,,,,Klosteréngshojden,Q Peter Nordensva, May 2018
Lund_02699,Landmark,Architecture,Botany,Flower,,,,,,,Lundagérd,D) David Bengtsson, May 2018
Lund_01337,Building,Property,Town,Architecture,Human settlement,Public space,House,City,,,Bantorget,Birgitta Karlsson, May 2017
Lund_02029,Grassland,Land lot,Natural landscape,Grass,Sport venue,Natural environment,Pasture,Plain,Meadow,Field,Sankt Hans Hill ¢,@ Yun Liu ), May 2017
Lund_02769,Pasture,Grassland,Bovine,Mammal,Grazing,Dairy cow,Natural environment,Meadow,Farm,Livestock,Rinnebidck Gorge,Prashant Bari, May 2017
Lund_01264,Landmark,Medieval architecture,Architecture,Building,Place of worship,Church,Facade,,,,OLYMPUS DIGITAL C,) Michael Field, May 2012
Lund_01407,Building,Architecture,Landmark,Medieval architecture,,,,,,,University Library,2217, May 2017
Lund_01365,Landmark,Garden,Botanical garden,Botany,Flower,,,,,,Lundagérd,gert erik Lennart:, May 2017
Lund_00069,Tree,Architecture,Grass,Spring,Building,Garden,Botany,,,,’«9 Patrick G,’«9 Patrick G, May 2011
Lund_01832,Tree,Green,Grass,Natural landscape,Woody plant,Plant,Lawn,Grass family,Shrub,Leaf,Stadsparken,@) Habiv er-Rachici, May 2018
Lund_01701,Reflection,Reflecting pool,Waterway,Water,Property,Estate,Natural landscape,Bank,Home,Pond,Botanical Garden,@ Sumeet Ranjan S, May 2017
Lund_01270,Property,Estate,House,Building,Tree,Home,Grass,Architecture,,,Stadsparken c,(1RG0, May 2017
Lund_01480,Landmark,Architecture,House,Building,,,,,,,Stadsparken,Eulampius Frede, May 2017
Lund_00600,Property,Landmark,Building,Architecture,House,Town,Tree,,,,Lundagérd 9,i Rafael Lara, May 2011
Lund_02469,Transport,Sky,Iron,,,,,,,,Klostergérdens IP,‘\ LT, May 2014
Lund_02522,Plain,Land lot,Grassland,Natural environment,Natural landscape,Field,Grass,Pasture,Ecoregion,Prairie,Klosteréingshdjden,S Sara Eriksson, May 2017
