ID,lan_long,pic_code,lan,long
Lund_02404,"55.7047847,13.1938413",AF1QipOMmjNuYaJe0S8suc_SwM-RgRimZqKEQlIie7ab,55.704784699999998,13.193841300000001
Lund_02381,"55.7047847,13.1938413",AF1QipOF9h1X0Ihnnl-nt_UfgF0dnhCsRFHVKkBEVSxn,55.704784699999998,13.193841300000001
Lund_02352,"55.7047847,13.1938413",AF1QipP5Q0wL0c2B2bHh3bmSH1zrTe_gyuAu1Gab7sae,55.704784699999998,13.193841300000001
Lund_02233,"55.7047847,13.1938413",AF1QipNrzVt1JryO_D-Bu4YXeQsBfrPjMswOLIFIkhhM,55.704784699999998,13.193841300000001
Lund_02178,"55.7047847,13.1938413",AF1QipMyR9U0OzFvYerFnZ6R6dEA93JBjpN1J1c3x8Pd,55.704784699999998,13.193841300000001
Lund_02177,"55.7047847,13.1938413",AF1QipNzb0FVzGkhdZIuLVeAogEztybU_P96TwY0G0lm,55.704784699999998,13.193841300000001
Lund_02176,"55.7041445,13.1932547",AF1QipPqs9qVl6-IezfixuZH6SnU73txu0_xWd6FtO6m,55.704144499999998,13.193254700000001
Lund_02175,"55.7041445,13.1932547",AF1QipPvOq6GgXqsia5d33Jezk_LRZME7YAPiQZvzoL0,55.704144499999998,13.193254700000001
Lund_02173,"55.7047847,13.1938413",AF1QipPEaUokAZqk0FHG_-4NJTx7Ex3egU6z2jbFcD47,55.704784699999998,13.193841300000001
Lund_02172,"55.7041445,13.1932547",AF1QipMbVjl-M5Xr53Yn1rgp25NB4qAUcrsvdAcYTEi7,55.704144499999998,13.193254700000001
Lund_02171,"55.7047847,13.1938413",AF1QipMWJ-mZCyfi07SUKBDtprqeot-e7qKUKfQ0Shid,55.704784699999998,13.193841300000001
Lund_02170,"55.7043209,13.1950509",AF1QipO6E6Vu3QwmXwc_8GmMs2mOKU-1b8qtq95q7mlI,55.704320899999999,13.195050900000000
Lund_02167,"55.7047847,13.1938413",AF1QipMZ84L0_x44UTlah2GBcPA2fqjKdmHoaHwvtcQy,55.704784699999998,13.193841300000001
Lund_02162,"55.7040609,13.1937004",AF1QipM10bFN4SgWO9lEvZmuvGYNRXh2Oc5FiUsZpPXQ,55.704060900000002,13.193700400000001
Lund_02160,"55.7047847,13.1938413",AF1QipPOpcFXRTcN3eZhj6bCoQXcS6y_2XJ6x9g2mqHG,55.704784699999998,13.193841300000001
Lund_02159,"55.7047847,13.1938413",AF1QipN17_wzJaq4ZZvrQh6cpngGEdeTvuiNVmOxGEj7,55.704784699999998,13.193841300000001
