,features,Jan_freq,Feb_freq,Mar_freq,Apr_freq,May_freq,Jun_freq,Jul_freq,Aug_freq,Sep_freq,Oct_freq,Nov_freq,Dec_freq
68,Byzantine architecture,2,0,0,0,1,1,2,1,1,0,0,0
69,Table,2,0,0,0,0,0,1,1,2,0,0,1
70,Flooring,2,0,3,0,2,1,0,2,1,2,0,0
71,Room,2,0,3,0,4,0,0,4,3,0,0,0
72,Body of water,2,0,2,7,18,16,15,13,10,8,5,0
73,Ditch,2,0,0,0,0,0,0,0,0,1,0,0
74,Spring,2,0,7,11,51,8,9,9,2,1,1,1
75,Pedestrian,2,0,1,0,3,1,0,5,0,0,0,0
76,College,2,0,2,2,2,1,6,4,2,0,0,1
77,Sport venue,2,0,4,6,2,14,11,6,6,0,0,0
78,Leisure centre,2,0,0,0,1,0,2,0,0,0,0,0
79,Shed,2,0,0,0,0,0,2,0,0,0,0,1
80,Travel,2,0,0,0,1,0,0,0,1,0,0,0
81,Town square,2,0,4,7,15,8,8,14,9,6,1,1
82,Abbey,2,0,0,0,0,0,1,1,2,1,0,0
83,Vehicle,2,1,3,2,6,13,13,16,8,2,0,0
84,Vacation,2,0,0,0,1,2,3,0,1,0,0,0
85,Geological phenomenon,2,0,1,0,2,0,2,0,1,5,2,0
86,Castle,2,1,5,6,12,13,9,16,10,4,1,2
87,Chapel,2,1,0,1,2,2,8,2,0,0,0,1
88,Memorial,1,1,1,1,2,1,1,1,4,0,0,0
89,Blizzard,1,0,0,0,0,0,0,0,0,0,0,0
90,Grass family,1,0,1,5,6,4,10,9,4,2,1,0
91,Lake,1,0,1,1,6,3,6,3,1,3,0,0
92,Tourist attraction,1,0,5,4,3,9,6,8,5,4,0,0
93,Exercise equipment,1,0,1,0,0,0,0,0,0,0,0,0
94,Almshouse,1,0,4,1,1,1,4,5,3,1,0,1
95,Reflection,1,1,1,4,11,8,10,5,8,6,1,1
96,River,1,2,3,6,23,21,16,14,6,7,7,0
97,Mountain,1,0,1,5,0,2,2,1,1,0,0,0
98,Hill,1,0,0,1,1,1,2,4,2,2,1,0
99,Water feature,1,1,0,0,11,6,7,9,7,4,0,1
100,Wetland,1,5,1,0,5,2,7,1,1,0,1,0
101,Thoroughfare,1,1,1,2,3,2,3,7,0,3,0,0
102,Woody plant,1,0,0,2,6,4,2,6,2,4,0,1
103,Car,1,1,3,0,4,5,8,4,4,1,0,0
104,Winter storm,1,0,0,0,0,0,0,0,0,0,0,0
105,Floor,1,0,3,0,2,0,0,1,2,3,0,0
106,Shack,1,0,0,0,0,0,1,1,0,0,0,0
107,Plant,1,1,2,8,40,15,27,24,16,7,3,1
108,Recreation,1,0,0,0,3,15,7,4,3,0,0,1
109,Suburb,1,0,1,1,3,2,14,5,0,2,0,0
110,Cobblestone,1,0,0,1,1,1,0,3,1,3,0,1
111,Tennis Equipment,1,0,0,0,0,0,0,0,0,0,0,0
112,Racquet sport,1,0,0,0,0,0,0,0,0,0,0,0
113,Leaf,1,0,0,1,6,2,2,1,5,21,0,0
114,Arch,1,0,0,1,1,5,6,7,3,4,0,0
115,Outhouse,1,0,0,0,0,0,0,0,0,0,0,0
116,Yurt,1,0,0,0,0,0,0,0,0,0,0,0
117,Hardwood,1,0,2,0,0,0,0,1,0,0,0,0
118,Riparian forest,1,0,0,0,0,0,0,0,0,0,0,0
119,Gym,1,0,3,0,0,0,0,0,0,0,0,0
120,Commercial building,1,0,2,4,2,3,6,9,6,1,0,1
121,Log cabin,1,0,0,0,0,0,1,1,0,0,0,0
122,Frost,1,0,1,0,0,0,0,1,0,0,0,0
123,Historic house,1,1,8,2,7,6,12,10,9,1,0,0
124,Brick,1,0,3,0,1,3,6,10,3,6,0,4
125,Warehouse,1,0,0,0,0,0,0,0,0,1,0,0
126,Marsh,1,1,1,1,6,1,9,1,1,0,1,0
127,Tennis court,1,0,0,0,0,0,1,0,0,0,0,0
128,Parish,1,2,0,3,3,3,3,2,8,0,0,1
129,Wood,1,0,1,0,0,2,0,0,0,0,0,0
130,Nature,1,0,2,6,29,26,33,19,14,21,6,0
131,Listed building,1,0,0,0,0,1,0,1,1,0,0,0
132,Plain,1,2,0,9,10,7,12,13,9,2,0,1
133,Weightlifting machine,1,0,0,0,0,0,0,0,0,0,0,0
134,Soil,1,0,0,3,3,0,2,0,2,0,0,2
135,Fence,1,1,2,1,1,1,3,2,1,1,0,0
136,Physical fitness,1,0,3,0,0,2,0,0,0,0,0,0
137,Hut,1,0,0,0,1,0,2,0,0,0,0,0
138,Window,1,0,2,0,2,1,2,2,1,2,1,0
139,Retail,1,0,0,1,2,1,0,4,1,1,0,0
140,Botany,1,1,0,6,48,29,54,31,18,14,1,0
141,Line,1,0,1,3,0,0,1,0,0,0,0,2
142,Outlet store,1,0,0,0,2,0,0,2,0,1,0,0
143,Inventory,1,0,0,0,1,0,0,0,0,0,0,0
144,Vault,1,0,0,0,0,0,0,0,0,0,0,0
145,Furniture,1,0,0,1,0,0,2,2,3,0,0,1
146,Bog,1,0,0,0,0,0,1,0,0,0,0,0
147,Fountain,1,1,0,1,15,9,9,12,9,6,0,0
148,Road,1,4,2,11,14,10,20,15,7,7,0,3
149,Dusk,1,0,0,0,0,0,0,1,0,0,0,0
150,Product,1,0,0,0,2,1,0,0,0,0,0,0
151,History,1,0,0,1,1,1,1,1,1,2,0,0
152,Watercourse,1,1,1,5,14,8,14,6,5,9,6,0
153,Fen,1,1,1,2,4,1,6,0,0,0,0,0
154,Lawn,1,0,0,4,16,18,25,24,12,7,2,0
155,Weight training,1,0,1,0,0,0,0,0,0,0,0,0
156,Shade,1,0,0,2,1,2,0,0,1,0,0,0
157,Atmospheric phenomenon,1,2,0,1,2,3,2,4,0,1,0,2
158,Tower,1,0,3,3,10,10,24,14,19,9,2,3
159,Freshwater marsh,1,0,1,2,3,1,9,1,0,0,0,0
160,Stream,1,0,1,1,3,1,3,2,4,2,5,0
161,Grocery store,1,0,0,0,0,0,0,0,0,1,0,0
162,Vegetation,1,0,0,2,21,24,30,19,12,11,1,0
163,White,1,0,0,0,0,0,0,1,0,0,0,0
164,Weights,1,0,0,0,0,0,0,0,0,0,0,0
165,Black-and-white,1,0,2,0,0,0,0,1,0,0,0,0
166,Holy places,1,0,0,0,0,0,3,0,0,0,0,0
167,Waterway,1,3,2,8,22,6,13,14,10,11,6,3
168,Sports,1,0,1,3,0,4,1,2,0,0,0,0
169,Garden,1,1,0,5,52,29,54,31,16,16,1,2
170,Tennis,1,0,0,0,0,0,0,0,0,0,0,0
171,Strength training,1,0,0,0,0,0,0,0,0,0,0,0
172,Branch,1,0,0,0,3,0,0,2,1,0,0,0
173,Green,1,1,0,3,21,14,9,7,10,1,0,0
174,Net,1,0,0,1,0,1,3,0,2,0,0,0
175,Aisle,1,0,0,0,0,0,1,0,0,1,0,0
176,Morning,0,2,0,0,4,1,8,3,1,3,0,0
177,Lane,0,2,0,2,4,2,1,2,3,0,0,1
178,Transport,0,1,5,4,9,9,12,9,9,1,0,1
179,Canal,0,1,0,1,4,2,2,3,1,1,1,1
180,Asphalt,0,1,0,1,7,6,3,5,3,1,0,2
181,Trail,0,1,0,2,2,1,1,2,0,1,0,0
182,Botanical garden,0,1,0,4,23,15,30,24,10,9,1,0
183,Statue,0,1,1,1,0,3,1,4,4,0,0,0
184,Column,0,1,0,2,1,4,0,1,2,1,1,0
185,Art,0,1,0,0,0,1,1,1,2,1,0,0
186,Evening,0,1,0,0,1,2,1,4,0,0,0,1
187,Wilderness,0,1,0,3,1,2,7,4,5,11,2,0
188,Monument,0,1,4,2,1,4,6,4,5,1,0,0
189,Horizon,0,1,0,0,5,0,7,4,1,0,0,1
190,Infrastructure,0,1,2,3,4,2,2,2,2,0,0,0
191,Floodplain,0,1,0,1,1,0,1,0,0,0,0,0
192,Reflecting pool,0,1,0,1,11,7,7,7,4,3,0,0
193,Sculpture,0,1,1,1,0,0,0,2,2,1,0,0
194,Courthouse,0,0,5,3,3,6,11,5,4,1,1,0
195,Photography,0,0,5,2,2,2,2,4,3,4,0,1
196,Daytime,0,0,4,5,13,8,10,5,8,10,0,1
197,Monochrome,0,0,2,0,0,0,0,1,0,0,0,0
198,Presidential palace,0,0,2,3,6,13,19,17,6,7,0,0
199,Bird's-eye view,0,0,2,0,2,1,14,2,0,2,0,1
200,Apartment,0,0,2,1,1,1,3,4,2,2,0,0
201,Seat of local government,0,0,2,1,3,5,3,1,2,1,0,0
202,Aerial photography,0,0,2,2,2,1,15,4,0,2,0,1
203,Basilica,0,0,2,0,0,0,3,1,0,0,0,0
204,Dirt road,0,0,1,1,0,3,1,0,0,2,0,0
205,Siding,0,0,1,0,0,0,2,0,0,0,0,0
206,Exercise machine,0,0,1,0,0,0,0,0,0,0,0,0
207,Salt marsh,0,0,1,0,2,0,3,0,0,0,0,0
208,Player,0,0,1,3,0,5,1,3,2,0,0,0
209,Tournament,0,0,1,0,0,0,0,0,0,0,0,0
210,Gasoline,0,0,1,0,1,2,1,2,0,0,0,0
211,Treadmill,0,0,1,0,0,0,0,0,0,0,0,0
212,Restaurant,0,0,1,1,0,1,2,3,3,1,0,0
213,Ball game,0,0,1,2,0,1,1,2,0,0,0,0
214,Competition event,0,0,1,1,0,9,0,1,0,0,0,0
215,Laminate flooring,0,0,1,0,0,0,0,0,0,0,0,0
216,Wood flooring,0,0,1,0,0,0,0,0,0,0,0,0
217,Ecoregion,0,0,1,1,5,1,1,3,1,1,0,0
218,Team sport,0,0,1,3,0,7,2,3,1,0,0,0
219,Brickwork,0,0,1,0,0,2,2,3,2,1,0,0
220,Bayou,0,0,1,0,0,0,0,0,0,0,0,0
221,Mode of transport,0,0,1,1,2,1,1,2,1,0,0,1
222,Light,0,0,1,0,1,1,0,1,1,0,0,0
223,Track,0,0,1,0,0,0,0,1,0,0,0,0
224,Riparian zone,0,0,1,0,1,4,6,1,4,2,0,0
225,Condominium,0,0,1,1,4,0,2,2,1,0,0,0
226,Tidal marsh,0,0,1,0,1,0,3,0,0,0,0,0
227,Race track,0,0,1,0,1,0,1,0,0,0,0,0
228,Signage,0,0,1,1,3,0,2,1,3,1,0,0
229,Off-roading,0,0,1,0,0,0,0,0,0,0,0,0
230,Futsal,0,0,1,0,0,0,0,0,0,0,0,0
231,Sand,0,0,1,0,0,0,0,0,0,0,0,0
232,Exercise,0,0,1,0,0,0,0,0,0,0,0,0
233,Sports equipment,0,0,1,0,0,0,0,2,1,0,0,0
234,Community centre,0,0,1,1,0,0,0,0,0,0,0,0
235,Airport,0,0,1,0,0,0,0,0,1,0,0,0
236,Metropolis,0,0,1,1,0,1,3,2,1,1,0,0
237,Pond,0,0,1,5,12,17,18,11,7,5,0,0
238,Stadium,0,0,0,4,0,7,4,1,1,0,0,0
239,Prairie,0,0,0,3,8,9,5,4,3,1,0,0
240,Reservoir,0,0,0,3,5,2,3,3,3,0,0,0
241,Urban design,0,0,0,2,1,4,14,4,1,1,0,1
242,Business,0,0,0,2,2,1,0,2,0,0,0,0
243,Fast food,0,0,0,2,0,0,1,0,1,0,0,0
244,Baseball field,0,0,0,2,0,0,0,0,0,0,0,0
245,Bus stop,0,0,0,2,0,0,0,0,0,0,0,0
246,Glass,0,0,0,2,2,0,1,0,1,0,0,0
247,Fast food restaurant,0,0,0,2,0,0,1,0,1,0,0,0
248,Courtyard,0,0,0,2,0,1,0,0,1,0,0,0
249,Soccer-specific stadium,0,0,0,2,0,2,1,1,0,0,0,0
250,Ancient history,0,0,0,2,0,0,0,0,0,0,0,0
251,Team,0,0,0,2,0,6,0,1,0,0,0,0
252,Baseball park,0,0,0,2,0,0,0,0,0,0,0,0
253,Road surface,0,0,0,1,4,2,2,3,2,0,0,0
254,Walking,0,0,0,1,0,0,0,2,0,0,0,0
255,Bench,0,0,0,1,0,0,1,1,0,0,0,1
256,Cherry blossom,0,0,0,1,1,0,0,0,0,0,0,0
257,Flower,0,0,0,1,26,3,5,7,2,0,0,0
258,Villa,0,0,0,1,0,2,2,0,1,0,0,0
259,Fortification,0,0,0,1,2,2,3,3,2,1,0,0
260,Advertising,0,0,0,1,0,0,0,0,1,0,0,0
261,Arena,0,0,0,1,0,0,1,0,0,0,0,0
262,Corporate headquarters,0,0,0,1,1,3,1,3,2,0,0,1
263,Fell,0,0,0,1,0,0,0,0,0,1,0,0
264,Cumulus,0,0,0,1,2,1,2,1,0,0,0,0
265,Caravanserai,0,0,0,1,0,0,0,0,0,0,0,0
266,Kiosk,0,0,0,1,0,0,0,0,1,0,0,0
267,Headquarters,0,0,0,1,0,1,0,2,2,0,0,1
268,Goal,0,0,0,1,0,1,2,0,2,0,0,0
269,Blossom,0,0,0,1,2,0,0,0,0,0,0,0
270,Rain,0,0,0,1,0,1,0,0,0,0,0,0
271,Steppe,0,0,0,1,4,0,1,1,0,0,0,0
272,Running,0,0,0,1,0,0,0,0,0,0,0,0
273,Cityscape,0,0,0,1,0,0,2,2,0,1,0,0
274,Pole,0,0,0,1,0,3,0,1,0,0,0,0
275,Bridge,0,0,0,1,1,0,0,1,0,0,0,1
276,Soccer,0,0,0,1,0,1,0,1,1,0,0,0
277,Agriculture,0,0,0,1,1,2,1,1,0,0,0,0
278,Project,0,0,0,1,0,1,0,0,0,0,0,0
279,Football,0,0,0,1,0,1,0,0,1,0,0,0
280,Ruins,0,0,0,1,0,0,1,0,0,0,0,2
281,Shrub,0,0,0,1,11,7,13,7,1,1,0,0
282,Highland,0,0,0,1,0,1,1,1,2,2,0,0
283,Rest area,0,0,0,1,0,0,2,1,0,0,0,0
284,Farmhouse,0,0,0,1,1,2,2,3,0,0,0,0
285,Barn,0,0,0,1,0,0,0,0,0,0,0,0
286,Diner,0,0,0,1,0,0,0,0,0,0,0,0
287,Walkway,0,0,0,0,7,2,2,1,1,3,0,0
288,Landscaping,0,0,0,0,6,2,11,11,2,1,0,0
289,Yellow,0,0,0,0,5,2,0,0,1,1,0,1
290,Gas,0,0,0,0,4,2,1,2,1,0,0,0
291,Bovine,0,0,0,0,4,2,2,1,2,0,0,0
292,Grazing,0,0,0,0,4,3,2,1,1,1,0,0
293,Tower block,0,0,0,0,4,0,2,0,1,0,0,0
294,Plant community,0,0,0,0,4,3,3,1,1,0,0,0
295,Biome,0,0,0,0,4,2,8,2,2,2,0,0
296,Mustard,0,0,0,0,3,0,0,0,0,0,0,0
297,Rapeseed,0,0,0,0,3,0,0,1,0,0,0,0
298,Mustard plant,0,0,0,0,3,0,0,0,0,0,0,0
299,Filling station,0,0,0,0,3,1,1,2,0,0,0,0
300,Downtown,0,0,0,0,3,1,10,7,2,0,0,0
301,National historic landmark,0,0,0,0,2,0,0,2,3,1,0,0
302,Iron,0,0,0,0,2,0,1,0,1,0,0,1
303,Skyscraper,0,0,0,0,2,0,0,0,0,0,0,0
304,Boardwalk,0,0,0,0,2,2,0,0,0,0,0,0
305,Metal,0,0,0,0,2,0,0,0,1,0,0,0
306,Canola,0,0,0,0,2,0,0,1,0,0,0,0
307,Machine,0,0,0,0,2,0,0,0,1,3,0,0
308,Fuel,0,0,0,0,2,1,1,2,0,0,0,0
309,Door,0,0,0,0,2,0,2,0,0,0,1,0
310,Flag,0,0,0,0,2,1,0,2,1,0,0,0
311,Yard,0,0,0,0,2,4,9,3,0,2,0,1
312,Shore,0,0,0,0,2,0,0,3,0,0,0,0
313,Air travel,0,0,0,0,1,0,0,0,0,0,0,0
314,Shrubland,0,0,0,0,1,0,1,2,1,1,0,0
315,Environmental art,0,0,0,0,1,0,0,0,0,1,0,0
316,Livestock,0,0,0,0,1,1,1,0,1,0,0,0
317,Blue,0,0,0,0,1,0,1,1,0,1,0,0
318,Customer,0,0,0,0,1,0,0,0,0,0,0,0
319,Engineering,0,0,0,0,1,0,0,0,0,1,0,0
320,Hill station,0,0,0,0,1,0,0,0,0,1,0,0
321,Antique car,0,0,0,0,1,0,0,0,0,0,0,0
322,Classic car,0,0,0,0,1,0,0,0,0,0,0,0
323,Hay,0,0,0,0,1,0,0,4,0,0,0,0
324,Mammal,0,0,0,0,1,0,1,0,0,0,0,0
325,Shelf,0,0,0,0,1,0,0,0,0,0,0,0
326,Convent,0,0,0,0,1,0,0,2,0,1,0,0
327,Panorama,0,0,0,0,1,1,0,2,0,0,0,0
328,Thatching,0,0,0,0,1,1,0,0,0,0,0,0
329,Street light,0,0,0,0,1,2,1,1,1,0,0,0
330,Subcompact car,0,0,0,0,1,0,0,0,0,1,0,0
331,Annual plant,0,0,0,0,1,0,0,0,0,0,0,0
332,Classic,0,0,0,0,1,0,0,0,0,0,0,0
333,Industry,0,0,0,0,1,0,0,0,1,3,0,0
334,Path,0,0,0,0,1,0,0,0,0,1,0,0
335,Construction,0,0,0,0,1,1,0,1,0,0,0,0
336,Straw,0,0,0,0,1,0,0,3,0,0,0,0
337,Boutique,0,0,0,0,1,0,0,2,0,0,0,0
338,Petroleum,0,0,0,0,1,1,0,0,0,0,0,0
339,Bazaar,0,0,0,0,1,0,0,2,0,0,0,0
340,Ceiling,0,0,0,0,1,3,0,1,3,0,0,0
341,Levee,0,0,0,0,1,0,0,0,0,0,0,0
342,Swimming pool,0,0,0,0,1,0,4,0,0,0,0,0
343,Vintage car,0,0,0,0,1,0,0,0,0,0,0,0
344,Home door,0,0,0,0,1,0,0,0,0,0,0,0
345,University,0,0,0,0,1,2,0,1,0,0,0,0
346,Crane,0,0,0,0,1,0,0,0,0,0,0,0
347,Turret,0,0,0,0,1,3,2,1,0,0,0,0
348,Slope,0,0,0,0,1,0,0,0,0,2,0,0
349,Sunlight,0,0,0,0,1,0,0,1,1,0,0,0
350,Dock,0,0,0,0,1,2,0,3,0,0,0,0
351,Violet family,0,0,0,0,1,0,0,0,0,0,0,0
352,Land vehicle,0,0,0,0,1,0,1,0,0,0,0,0
353,Hedge,0,0,0,0,1,1,1,0,0,0,0,0
354,Marketplace,0,0,0,0,1,0,0,1,0,1,0,0
355,Shot tower,0,0,0,0,1,0,0,0,0,0,0,0
356,Flowering plant,0,0,0,0,1,0,0,0,0,0,0,0
357,Dairy cow,0,0,0,0,1,0,0,0,0,0,0,0
358,State park,0,0,0,0,1,0,0,0,0,0,0,1
359,Font,0,0,0,0,1,0,1,0,1,1,0,0
360,Factory,0,0,0,0,1,0,0,0,1,4,0,0
361,Brassica rapa,0,0,0,0,1,0,0,0,0,0,0,0
362,Crocus,0,0,0,0,1,0,0,0,0,0,0,0
363,Screen door,0,0,0,0,1,0,0,0,0,0,0,0
364,Crop,0,0,0,0,1,0,2,0,0,0,0,0
365,Games,0,0,0,0,0,5,0,1,0,0,0,0
366,Event,0,0,0,0,0,4,0,1,0,0,0,0
367,Fun,0,0,0,0,0,4,4,0,0,0,0,0
368,Crowd,0,0,0,0,0,3,0,1,0,0,0,0
369,Outdoor play equipment,0,0,0,0,0,3,4,0,1,0,0,0
370,Inflatable,0,0,0,0,0,3,0,0,0,0,0,0
371,Summer,0,0,0,0,0,3,3,0,0,0,0,0
372,Light fixture,0,0,0,0,0,2,1,1,1,0,0,0
373,Canopy,0,0,0,0,0,2,0,0,0,0,0,0
374,Sheep,0,0,0,0,0,2,0,0,0,0,0,0
375,First-class cricket,0,0,0,0,0,2,0,0,1,0,0,0
376,Community,0,0,0,0,0,2,0,0,0,0,0,0
377,Playground,0,0,0,0,0,2,4,3,1,0,0,0
378,Deck,0,0,0,0,0,2,0,0,0,0,0,0
379,Bicycle,0,0,0,0,0,2,2,2,5,0,0,0
380,Fish pond,0,0,0,0,0,2,3,2,2,0,0,0
381,Tent,0,0,0,0,0,2,0,0,0,0,0,0
382,bounce house,0,0,0,0,0,2,0,0,0,0,0,0
383,Herd,0,0,0,0,0,2,1,0,0,0,0,0
384,Championship,0,0,0,0,0,2,0,0,0,0,0,0
385,Scaffolding,0,0,0,0,0,1,0,0,0,0,0,0
386,Skatepark,0,0,0,0,0,1,0,1,0,0,0,0
387,Observation tower,0,0,0,0,0,1,2,2,2,1,0,0
388,Thermokarst,0,0,0,0,0,1,0,0,0,0,0,0
389,Maze,0,0,0,0,0,1,0,0,0,0,0,0
390,Sports training,0,0,0,0,0,1,0,1,0,0,0,0
391,Gazebo,0,0,0,0,0,1,0,0,0,0,0,0
392,Awning,0,0,0,0,0,1,1,0,1,0,0,0
393,Pier,0,0,0,0,0,1,0,0,0,0,0,0
394,Freeway,0,0,0,0,0,1,0,0,0,0,0,0
395,Fair,0,0,0,0,0,1,0,0,0,0,0,0
396,Wheel,0,0,0,0,0,1,0,0,0,0,0,0
397,Highway,0,0,0,0,0,1,0,0,0,0,0,0
398,Paddy field,0,0,0,0,0,1,1,0,0,0,0,0
399,Sunset,0,0,0,0,0,1,1,1,0,0,0,0
400,Ceremony,0,0,0,0,0,1,0,0,0,0,0,0
401,Animal sports,0,0,0,0,0,1,0,0,0,0,0,0
402,Shooting sport,0,0,0,0,0,1,0,0,0,0,0,0
403,Aquatic plant,0,0,0,0,0,1,0,0,0,0,0,0
404,Atmosphere,0,0,0,0,0,1,1,3,2,0,0,0
405,Skeet shooting,0,0,0,0,0,1,0,0,0,0,0,0
406,Clay pigeon shooting,0,0,0,0,0,1,0,0,0,0,0,0
407,Parking lot,0,0,0,0,0,1,2,1,1,0,0,0
408,Wildflower,0,0,0,0,0,1,0,0,0,0,0,0
409,Shooting,0,0,0,0,0,1,0,0,0,0,0,0
410,Clock tower,0,0,0,0,0,1,1,1,0,0,0,0
411,Rye,0,0,0,0,0,1,0,0,0,0,0,0
412,Graffiti,0,0,0,0,0,1,0,0,0,0,0,0
413,Cricket,0,0,0,0,0,1,0,0,0,0,0,0
414,Sidewalk,0,0,0,0,0,1,0,0,1,0,0,0
415,Sporting Group,0,0,0,0,0,1,0,0,0,0,0,0
416,Kettlebell,0,0,0,0,0,1,0,0,0,0,0,0
417,Toy,0,0,0,0,0,1,0,0,0,0,0,0
418,Barley,0,0,0,0,0,1,0,0,0,0,0,0
419,water lily,0,0,0,0,0,1,0,0,0,0,0,0
420,Labyrinth,0,0,0,0,0,1,0,0,0,0,0,0
421,Dog agility,0,0,0,0,0,1,0,0,0,0,0,0
422,Grain,0,0,0,0,0,1,0,0,0,0,0,0
423,Adaptation,0,0,0,0,0,1,0,0,0,0,0,0
424,Shopping mall,0,0,0,0,0,1,1,0,0,0,0,0
425,Technology,0,0,0,0,0,1,0,0,1,0,0,0
426,Rock,0,0,0,0,0,1,1,3,2,2,0,0
427,Company,0,0,0,0,0,1,1,3,1,0,0,1
428,Convenience store,0,0,0,0,0,1,0,1,0,1,0,0
429,Dog sports,0,0,0,0,0,1,0,0,0,0,0,0
430,Tradition,0,0,0,0,0,1,0,0,0,0,0,0
431,Wildlife,0,0,0,0,0,0,4,0,0,1,0,0
432,Basketball court,0,0,0,0,0,0,3,0,0,0,0,0
433,Mid-size car,0,0,0,0,0,0,2,0,0,0,0,0
434,Groundcover,0,0,0,0,0,0,2,0,0,0,0,0
435,Coast,0,0,0,0,0,0,2,3,1,0,0,0
436,Family car,0,0,0,0,0,0,2,0,0,0,0,0
437,Sea,0,0,0,0,0,0,2,3,1,0,0,0
438,Playground slide,0,0,0,0,0,0,1,0,0,0,0,0
439,Vehicle door,0,0,0,0,0,0,1,0,0,0,0,0
440,Duck,0,0,0,0,0,0,1,0,0,1,0,0
441,Automotive wheel system,0,0,0,0,0,0,1,0,0,0,0,0
442,Cycling,0,0,0,0,0,0,1,1,0,0,0,0
443,Compact car,0,0,0,0,0,0,1,0,0,1,0,0
