Grant Numbers	records	% of 478
N01 AG012112	1	0.209
N01AG12112	1	0.209
NC08005	1	0.209
NCET-11-0228	1	0.209
NCMHD-R24-MD000499	1	0.209
NENU-STB07002	1	0.209
NORTE-01-0145-FEDER-000003	1	0.209
NRF-2010-0028693	1	0.209
NRF-2015R1A2A2A01006865	1	0.209
NRF-2015R1A2A2A03007992	1	0.209
NRF-2015R1C1A1A01053740	1	0.209
NRF-2016R1A2B4010260	1	0.209
NRF-2017R1D1A1A09000940	1	0.209
NSF DBI 1005082	1	0.209
NSF-OPP-0611871	1	0.209
P170053MIMK	1	0.209
P19236-B17	1	0.209
P200A150310	1	0.209
P30 AG012857	1	0.209
P30 AG021334	1	0.209
P30 AG021334-04	1	0.209
P30 AI50410	1	0.209
P30 HD18288	1	0.209
P30DK092949	1	0.209
P4-0015	1	0.209
P4-0107	1	0.209
P60 AR048093	1	0.209
P60-AR48093	1	0.209
PON03PE_00090_3	1	0.209
POP0504201	1	0.209
PQ-308926/2017-0	1	0.209
PROFOUND FP1304	1	0.209
PSG136	1	0.209
PTDC/AAC-AMB/098825/2008	1	0.209
PV080/2012A	1	0.209
R01 HD34157	1	0.209
R01 HS009499	1	0.209
R01-AG18367	1	0.209
R01-HS-07103	1	0.209
R01AG047869	1	0.209
R01DK077785	1	0.209
R21-AT00255	1	0.209
R21AG04923	1	0.209
R24 HD050924	1	0.209
RFSR-CT-2009-00029	1	0.209
S2011010002941	1	0.209
S2012010009177	1	0.209
SACROBOQUE 2016.013	1	0.209
SES 0624263	1	0.209
SFRH/BD/103726/2014	1	0.209
SFRH/BD/72272/2010	1	0.209
SFRH/BD/79084/2011	1	0.209
SFRH/BPD/97015/2013	1	0.209
SJ08B03	1	0.209
SK2013A058	1	0.209
SR/FTP/ES-134/2010	1	0.209
STReESS FP1106	1	0.209
T32 AG000120	1	0.209
T32 HS000078-17	1	0.209
T32 MH19986	1	0.209
T32AA007240	1	0.209
T32NR008857	1	0.209
TKP01KPB-71924	1	0.209
TLK01U-63929	1	0.209
TUF01UF-64971	1	0.209
U1132001	1	0.209
U1406403	1	0.209
U2004-0001	1	0.209
U54 HG007479	1	0.209
UDC2017010412	1	0.209
UID/DTP/04750/2013	1	0.209
URF/7/LMG-006/2013-2014	1	0.209
XDA20040400	1	0.209
Y421081001	1	0.209
Y7I0051G30	1	0.209
YF07078	1	0.209
kx0010020172651	1	0.209
ts201511045	1	0.209
(320 records (66.946%) do not contain data in the field being analyzed.)
