,a,b_x,c_x,d_x,e,f,g,h,i,j,k,b_y,c_y,d_y
385,Lund_02268,Bank,Natural landscape,Waterway,Grass,Watercourse,Water,,,,,Rinnebidck Gorge,a‘ Prashant Bari, May 2017
386,Lund_01286,Restaurant,Building,,,,,,,,,Bo-Agne Jonssol,Bo-Agne Jonssol, Apr 2018
387,Lund_02532,Natural landscape,Body of water,Sky,Water,Nature,Water resources,Vegetation,Natural environment,Lake,Nature reserve,L TR TR,J Joachim Schéns, Jul 2016
388,Lund_02861,Estate,Property,Landmark,Building,Architecture,Mansion,,,,,Lundagérd 9,M Maria Klanac, Apr 2018
389,Lund_00239,Building,Landmark,Estate,Classical architecture,Mansion,Property,Palace,Architecture,Official residence,Presidential palace,R VSR,R VSR, Jul 2003
390,Lund_01950,Vegetation,Water,Pond,Natural landscape,Property,Bank,River,Waterway,Botany,Garden,Botanical Garden,Anni R,
391,Lund_01723,Landmark,Building,Tree,Church,Architecture,Spire,,,,,Lundagérd 8,pl chalier,
392,Lund_02638,Vegetation,Natural landscape,Tree,Riparian zone,Natural environment,Nature reserve,Wilderness,Plant community,Biome,Rock,Rinnebick Gorge 2,¢ LEIE RN,
393,Lund_02260,Asphalt,Transport,Property,Road surface,Public space,,,,,,AR LT,o Travel to, Jul 2017
394,Lund_00070,Building,Landmark,Architecture,Medieval architecture,Town,Church,,,,,@ Hans Jirgen Klai,@ Hans Jirgen Klai, Sep 2018
395,Lund_00688,Building,Mansion,Estate,Classical architecture,Landmark,Palace,Official residence,Architecture,Property,Stately home,Lundagérd,@ Juca Felix Galino, Jul 2016
396,Lund_00007,Building,Architecture,Landmark,Town,Transport,City,,,,,"C"":} Leszek A Gasien","C"":} Leszek A Gasien", Jul 2017
397,Lund_00207,Residential area,Town,Sky,Neighbourhood,House,Street,Property,Home,Building,Urban area,9 Sumeet Ranjan S,9 Sumeet Ranjan S, May 2017
398,Lund_00454,Classical architecture,Building,Landmark,Architecture,Property,Mansion,Estate,House,Palace,,Lundagérd 8,@ Martin Giles, Mar 2014
399,Lund_00775,Landmark,Architecture,Building,Castle,Tree,,,,,,Lundagérd 9,% Vesna Fati¢, May 2017
400,Lund_03102,House,Property,Home,Leaf,Building,Sky,Cottage,Autumn,Tree,Real estate,bread Lab ¢,Q! Ulrik Ivarsson,
401,Lund_01619,Roof,Town,Urban area,City,Human settlement,Neighbourhood,Building,Architecture,Sky,,Grand Hotel Lund,@) (=11 E, May 2017
402,Lund_00616,Landmark,Architecture,Building,Classical architecture,Medieval architecture,Sky,Facade,Church,Place of worship,,Lund Cathedral,{‘j Pascal BASROGE, Jun 2018
403,Lund_01572,Landmark,Architecture,Building,Medieval architecture,Sky,Tower,Cathedral,,,,Lundagérd,Pattara Kiatisevi, Sep 2018
404,Lund_02134,Wall,Town,Medieval architecture,Building,Landmark,Property,Sky,Architecture,,,Dekanhuset,ﬁ BN PN R, Jun 2017
405,Lund_02056,Building,Architecture,Landmark,Palace,Estate,Mansion,Property,Classical architecture,House,Sky,Lundagard ¢,21308, Aug 2018
406,Lund_00753,Building,Medieval architecture,Architecture,Landmark,Cathedral,Classical architecture,Place of worship,Facade,Gothic architecture,,Lund Cathedral,?\. Jonathan Bryce,
407,Lund_02617,Building,,,,,,,,,,Biltema,(’)3 Samuel Estenlun,
408,Lund_02892,Building,Architecture,Landmark,Town,City,,,,,,[T L He 1 BT,"&, Alexander Williar", Jul 2015
409,Lund_03081,Rock,Green,Grass,Tree,Sky,Grassland,,,,,2 Hogviltsgranden,"Lund, Skane County",
410,Lund_00210,Town,City,Human settlement,Sky,Urban area,Evening,Neighbourhood,Downtown,Landmark,Morning,9 Sumeet Ranjan S,9 Sumeet Ranjan S, May 2017
411,Lund_01001,Fountain,Water,Water resources,Water feature,,,,,,,Stadsparken i Lund,Stadsparken i Lund, Aug 2016
412,Lund_02150,Medieval architecture,Architecture,Landmark,Building,Place of worship,Church,Gothic architecture,Cathedral,,,ARM (previously Mis,[ELCE ),
413,Lund_00145,Property,Building,Architecture,Neighbourhood,House,Town,Urban area,,,,A ANasem,A ANasem, Sep 2015
414,Lund_01106,Building,Architecture,Landmark,Medieval architecture,Classical architecture,City,Cathedral,Facade,,,Lund Cathedral,E ) Edwin Meulman, Sep 2017
415,Lund_02432,Water resources,Natural landscape,Natural environment,Water,Thermokarst,Watercourse,Riparian zone,Bank,Nature reserve,Wetland,Rinnebick Gorge 2,G; Emil Nilsson, Jun 2016
416,Lund_00585,Landmark,Architecture,Building,Sky,Church,Town,Place of worship,Steeple,Medieval architecture,City,Lundagérd ¢,(OFLE, Jul 2018
417,Lund_00481,Landmark,Building,Classical architecture,Architecture,Property,House,Estate,Mansion,,,Underground Street |,Underground Street |, Jul 2017
418,Lund_02182,Tree,Natural landscape,Nature,Sky,Vegetation,Green,Grass,Natural environment,Light,Sunlight,Rinnebick Gorge 2,Mido Lii, May 2018
419,Lund_01562,Sport venue,Natural landscape,Land lot,Grassland,Green,Sky,Grass,Natural environment,Plain,Golf course,Sankt Hans Hill ¢,Hafidz Alhaq, Sep 2016
420,Lund_01952,Property,Estate,House,Tree,Building,Mansion,Spring,Grass,,,Lundagérd,RGOSR, Apr 2018
421,Lund_00072,Landmark,Architecture,Building,Tower,Medieval architecture,Facade,City,,,,@ Yamanbg BULGA,@ Yamanbg BULGA, Jan 2018
422,Lund_00996,Reflection,Water,Nature,Pond,Sky,Waterway,River,Tree,Bank,House,Botanical Garden,w@: Andreas Gillberg, Jul 2018
423,Lund_00984,Estate,Property,Building,Mansion,House,Palace,Architecture,,,,Lundagérd,& MONICA MARIN(, Aug 2017
424,Lund_00977,Landmark,Architecture,Building,Medieval architecture,Tower,Classical architecture,Sky,,,,[T T o1 T T,@ olav sejeroe, Jul 2008
425,Lund_00537,Estate,Building,Mansion,Palace,Official residence,Château,Stately home,Architecture,Manor house,,2015-06-18_12_25_(,L 1T T, Jun 2015
426,Lund_00250,Classical architecture,Landmark,Building,Architecture,Palace,Facade,,,,,Lundagérd,S Svetlana Sobolev,
427,Lund_01284,Landmark,Tower,Architecture,Building,Steeple,,,,,,Lundagérd ¢,Burhan Erding, Jul 2016
428,Lund_00085,Water,Landmark,Sky,Architecture,Grass,Tree,Public space,Building,Estate,,[T 8,a Diana Picus, May 2017
429,Lund_01683,Sky,Landmark,Architecture,Tree,Town,Urban area,City,Cloud,Human settlement,Public space,Lundagérd,3 Hermes Spaink,
430,Lund_01625,Town,Property,City,Building,Roof,Human settlement,Neighbourhood,,,,A LG,Jonte Eckhardt, May 2018
431,Lund_00562,Building,Classical architecture,Palace,Mansion,Landmark,Architecture,Official residence,Estate,Presidential palace,Stately home,Lundagérd,fﬁ“’ Aleksas Aleksas, Oct 2017
432,Lund_02607,Architecture,Building,Sky,Water,,,,,,,Lundagérd 9,-@ PN, Jul 2018
433,Lund_00009,,,,,,,,,,,Ahlgrens Konfektyr,@ Hans Jirgen Klai, Sep 2018
434,Lund_00706,Building,Estate,Palace,Mansion,Architecture,Official residence,,,,,Lundagérd ¢,a Kiryl Shantyka, Jun 2017
435,Lund_00493,Medieval architecture,Landmark,Architecture,Building,Classical architecture,Place of worship,Church,Historic site,Sky,Facade,[T T o1 T T,.’IE‘” ALV, Sep 2016
436,Lund_00544,Landmark,Building,Classical architecture,Architecture,Mansion,Estate,Property,Palace,Official residence,,Lundagérd 8,6 W Matecki, Aug 2012
437,Lund_00022,Statue,Sculpture,Monument,Memorial,Landmark,,,,,,@ Saadiyah Darus,@ Saadiyah Darus, Sep 2009
438,Lund_03101,Sport venue,Grass,Fence,Stadium,,,,,,,Linero IP 8,o Travel to, Jul 2017 I
439,Lund_00339,Landmark,Building,Architecture,Medieval architecture,Sky,Place of worship,Cathedral,Church,Gothic architecture,Classical architecture,Lundagérd,@:}0 Diego Reyes Gon, Sep 2017
440,Lund_02594,Building,Boutique,Retail,Outlet store,,,,,,,Hep Cat Store,‘4 »i Martin Lannerés, Aug 2018
441,Lund_01455,Landmark,Architecture,Sky,Building,Town,City,Facade,,,,[T T o1 T 1T,FNEETY, Jul 2017
442,Lund_02580,Vegetation,Grass,,,,,,,,,Rinnebick Gorge,s Zingo Andersen, Oct 2017
443,Lund_02271,Pasture,Grazing,Grassland,Herd,Natural environment,Meadow,Bovine,Farm,Rural area,Livestock,N[ AT T T,L Bengt Jiirs, Jun 2014
444,Lund_01828,Landmark,Building,Architecture,Classical architecture,Mansion,House,Estate,Official residence,Palace,Presidential palace,Lundagérd 9,Zoran Trivic, Oct 2017
445,Lund_02404,Snow,Winter,Urban area,Neighbourhood,Town,Building,,,,,Lundagérd,Lundagérd, Mar 2018
446,Lund_01328,Building,Estate,Property,Landmark,Mansion,Palace,Architecture,Official residence,Stately home,,Lundagérd 8,qﬁi Maxime LMA, Aug 2018
447,Lund_01709,Sky,Mountain,,,,,,,,,Chadis Livs,Rohan Jn. Baptis, Jan 2017
448,Lund_02138,Medieval architecture,Building,Architecture,Landmark,Place of worship,Church,,,,,Lund Cathedral,ManuTim Schiot,
449,Lund_01425,Building,City,Human settlement,Town square,Town,Public space,Architecture,Plaza,,,J. T,.}gg Genial Barani, Jun 2017
450,Lund_01208,Building,Estate,Mansion,Palace,Property,Château,Official residence,Stately home,Classical architecture,Manor house,[T T VT,Q chandan gupta, May 2017
451,Lund_02123,Town,Neighbourhood,Building,Landmark,City,Human settlement,Architecture,Residential area,Property,Plaza,Bantorget,Wai Hung Neko%, Feb 2017
452,Lund_01043,Architecture,Landmark,Building,City,Town,Human settlement,Sky,Urban area,,,Juridiska institutione,&- Claude Bukowsk,
453,Lund_00254,Building,Landmark,Classical architecture,Architecture,Palace,Mansion,Estate,Official residence,Château,,Lundagérd 9,J Jaime Rios, Sep 2006
454,Lund_01352,Building,Architecture,Landmark,Medieval architecture,,,,,,,Lundagérd,Suman Vummad, Jul 2017
455,Lund_01015,Building,Estate,Stately home,Mansion,,,,,,,University Library,-’ Thomas MAGNY, Aug 2017
456,Lund_02032,Estate,Property,Grass,House,,,,,,,Stadsparken 9,ﬁ' paul fackler, Apr 2018
457,Lund_01758,Property,Building,House,Architecture,,,,,,,Kulturen,Frida Olsson, Jun 2016
458,Lund_01351,Landmark,Snow,Architecture,Building,Winter,Sky,Tower,,,,[T T o1 T T T,Jan Ekstrém,
459,Lund_02191,Property,Building,House,Architecture,Town,,,,,,Asylen,ﬁ BN PN R, Aug 2017
460,Lund_00118,Natural landscape,Tree,Table,Furniture,,,,,,,"‘é"" [N","‘é"" [N", Aug 2018
461,Lund_00054,Building,Architecture,Landmark,Sky,Church,Tree,,,,,Lund - Nov 2017,M) Manos Orfanos, Nov 2017
462,Lund_01501,Landmark,Tree,Sky,Garden,Botany,Public space,,,,,Lundagérd 9,Rainer Gesell, Jul 2018
463,Lund_02367,Land lot,Grassland,Vegetation,Pasture,Natural environment,Field,Dirt road,Plain,Grass,Prairie,Killbybadet,@ Peter Nordensva, Jun 2018
464,Lund_02762,Property,Sky,Architecture,House,Home,Transport,Tree,Real estate,,,AR LT,o Travel to, Jul 2017
465,Lund_03156,Sport venue,Architecture,Net,,,,,,,,(T L L T,m L7 N EEE, Jun 2017
466,Lund_02729,Floor,Flooring,Gym,Hardwood,Laminate flooring,Physical fitness,Wood flooring,Wood,Room,,Fitness24Seven,@ Simone Pellegrin, Mar 2018
467,Lund_00958,Garden,Property,Botanical garden,Estate,Natural landscape,House,Botany,Yard,Home,Lawn,Botanical Garden,f) Adal Alom Rodri, Jul 2017
468,Lund_00161,Tree,Sky,Botany,,,,,,,,"C"":} Leszek A Gasien","C"":} Leszek A Gasien", Jul 2017
469,Lund_01902,Town,City,Human settlement,Landmark,Town square,Building,Public space,Plaza,Architecture,,Espresso House Stol,ZE N (Pe e, Apr 2018
470,Lund_00296,Landmark,Sky,Property,Architecture,Building,House,Town,,,,Lundagérd,ﬁg‘ Nicolds Lundin, May 2017
471,Lund_02194,Building,,,,,,,,,,ICA Supermarket Lin,Banne Rumengat,
472,Lund_02343,Lawn,Grass,Biome,Tree,Yard,Backyard,Garden,Nature reserve,Botany,,Killbybadet,% Mohammad A.M,
473,Lund_02249,Sky,Winter,Snow,Cloud,Water,River,Morning,Freezing,Evening,,Rabysjon och Raby s,Ulrik Ivarsson,
474,Lund_00349,Landmark,Building,Architecture,Medieval architecture,Sky,Place of worship,Church,Facade,Classical architecture,,[T T o1 T T T,m Juan Pierna, Jun 2018
475,Lund_00666,Estate,Building,Mansion,Property,Palace,Official residence,Château,,,,Lundagérd 9,[ ETTY il [1:1-1q3, Jul 2012
476,Lund_01159,Landmark,Architecture,Building,Town,Tree,Sky,City,,,,University Library,g L LT,
477,Lund_01570,Building,Architecture,Landmark,Classical architecture,Palace,,,,,,Lundagérd 9,koyel pal, Feb 2018
478,Lund_00516,Building,Estate,Mansion,Property,Palace,Landmark,Stately home,Architecture,Classical architecture,Official residence,Lundagard ¢,. 21308, Aug 2018
479,Lund_00337,Landmark,Estate,Mansion,Building,Architecture,Official residence,Stately home,Palace,,,Lundagérd,R ROSA TRULLOLS, Jun 2013
480,Lund_00001,Building,Landmark,Town,Architecture,City,Property,Human settlement,,,,' Maja Rehnberg,' Maja Rehnberg, Sep 2017
481,Lund_00265,Building,Mansion,Landmark,Property,Estate,Architecture,Classical architecture,Palace,Official residence,,Underground Street |,Underground Street |, Jul 2017
482,Lund_02242,Water resources,Body of water,Water,Sky,Natural landscape,River,Natural environment,Lake,Bank,Vegetation,L TR TR,Charlotte Skarin, May 2017
483,Lund_00350,Building,Architecture,Landmark,Church,Medieval architecture,Tower,,,,,OLYMPUS DIGITAL C,ﬁ Michael Field,
484,Lund_00116,Building,Facade,Architecture,,,,,,,,"‘é"" [N","‘é"" [N", Aug 2018
485,Lund_01686,Sky,Garden,Building,Palace,,,,,,,AF Borgen AB ¢,@?} Hanna Olsson, May 2018
486,Lund_02288,Snow,Winter,Architecture,Property,Freezing,Transport,Neighbourhood,,,,HSB BRF Linero I Lur,Kieu Phuong Nar, Mar 2018
487,Lund_00882,Building,Architecture,Landmark,Facade,,,,,,,Lund Cathedral,?\. Jonathan Bryce,
488,Lund_01816,Tree,Spring,Grass,Landmark,Architecture,Daytime,Sky,Estate,House,Building,Lundagérd 8,@ Martin Giles, Mar 2014
489,Lund_00661,Estate,Building,Mansion,Property,House,Palace,Architecture,Landmark,Classical architecture,Home,Lundagérd {,fm Bogdan Kostiv, Feb 2018
490,Lund_03162,Landmark,Building,Mansion,Estate,Palace,Classical architecture,Property,Architecture,Stately home,Official residence,Lundagérd,R Ryan Lannigan, Oct 2018
491,Lund_02860,Estate,Building,Palace,Mansion,Stately home,Château,Official residence,Manor house,,,Lundagérd,Lundagérd, Sep 2018
492,Lund_00472,Estate,Building,Mansion,,,,,,,,Stadsparken 3,’ Joe Bunting, Sep 2017
493,Lund_01854,Medieval architecture,Building,Property,Architecture,Landmark,Facade,Historic site,Wall,,,Lundagérd,@ Juca Felix Galino, Jul 2016
494,Lund_02812,Estate,Building,Mansion,Architecture,Landmark,Palace,Property,Stately home,Classical architecture,Sky,R LE O T,R LE O T, Apr 2017
495,Lund_02179,Building,Property,,,,,,,,,|2 ECEN TR 2 2 21 E,Thomas Boo, Sep 2018
496,Lund_01439,Landmark,Architecture,Building,Medieval architecture,Town,,,,,,[T TV HTET 3 T,a Abubakar M, Aug 2017
497,Lund_01618,Classical architecture,Landmark,Architecture,Building,Sky,Facade,,,,,Lundagérd,LT [N EETG Y, Oct 2018
498,Lund_00734,Metropolitan area,Urban area,Aerial photography,Residential area,City,Daytime,Bird's-eye view,Roof,Building,Neighbourhood,Sockerkokaregatan,S Stephan Andreas, Jun 2014
499,Lund_00179,Landmark,Building,Architecture,Clock tower,Medieval architecture,Facade,Classical architecture,,,,‘i’) [N,‘i’) [N, Aug 2018
500,Lund_03157,Freshwater marsh,Swan,Bird,Water,Nature reserve,Pond,Lake,Water bird,Natural environment,Reservoir,,,
501,Lund_01255,Sky,Public space,Grass,Building,,,,,,,Lundagérd,Helga Esteban M, Aug 2017
502,Lund_01024,Garden,Botanical garden,Flower,Plant,Natural landscape,Shrub,Grass,Botany,Yard,Spring,Botanical Garden,S Silvia Bacher, Jul 2017
503,Lund_01893,Sky,Landmark,Architecture,Snow,Building,Winter,Church,,,,Lund Cathedral,Ishan Chauhan,
504,Lund_00658,Classical architecture,Landmark,Architecture,Building,Facade,,,,,,Lundagérd 9,6 Rene Wagner, Sep 2017
505,Lund_01754,Property,Building,Estate,Garden,Architecture,Botany,,,,,Lundagérd,“’ Adrian Popescu, Sep 2016
506,Lund_02829,Garden,Estate,Flower,Landmark,Mansion,Palace,Spring,Plant,Stately home,Building,Lundagérd 9,L 1T T, Sep 2013
507,Lund_01596,Spring,Flower,Plant,,,,,,,,Lundagard ¢,Lars R, May 2017
508,Lund_00148,Landmark,Sky,Architecture,Building,Town,Church,Cathedral,City,Urban area,,@ Mato Bosnjak,@ Mato Bosnjak, Dec 2015
509,Lund_00062,Estate,Building,Mansion,Property,Palace,Stately home,Architecture,House,Sky,Official residence,Lund,"lfg, Ralil Menéndez", Sep 2008
510,Lund_00314,Building,Landmark,Property,Château,Architecture,Stately home,Estate,Medieval architecture,Palace,,Lundagérd,’@ MONICA MARIN(,
511,Lund_00538,Architecture,Building,Landmark,Medieval architecture,,,,,,,Lund Tourist Center,5‘3.‘..@ LU G, May 2016
512,Lund_01135,Building,Landmark,Property,Architecture,Town,City,Stately home,Public space,,,[T TV HTET 3 T,a Abubakar M, Aug 2017
513,Lund_02107,Building,Town,Architecture,Bicycle,Neighbourhood,Vehicle,Transport,House,Urban area,Facade,Magle Konserthus |,Anders Frick, Jun 2012
514,Lund_01061,House,Tree,Building,Architecture,Palace,Estate,Château,Mansion,,,Lundagérd 9,i\ Bengt Jiirs, Sep 2013
515,Lund_01607,Town,City,Human settlement,Street,Public space,Town square,Landmark,Building,Architecture,Cobblestone,[T TV HTET 3 T,a Abubakar M, Aug 2017
516,Lund_01631,Building,Property,Mixed-use,Campus,,,,,,,Ingvar Kamprad Desi,Sabry Razick, May 2018
517,Lund_01332,Architecture,Landmark,Town,Urban area,City,Building,Human settlement,Street,Metropolitan area,Public space,‘ﬁ James Andrews,‘ﬁ James Andrews, May 2017
518,Lund_01136,Classical architecture,Architecture,Building,Landmark,,,,,,,Italia Il Ristorante,5@' Luis Villeda, Mar 2016
519,Lund_02856,Landmark,Building,Architecture,,,,,,,,QLauMoura :,2(010),
520,Lund_02674,Sky,Natural landscape,Plain,Natural environment,Grassland,Cloud,Wilderness,Hill,Prairie,Field,Klosteréingshdjden,@ Ragnar Staalgrer, Sep 2017
521,Lund_02016,Classical architecture,Building,Landmark,Architecture,,,,,,,Lundagérd,(elT. 1 W [V =, Oct 2014
522,Lund_01622,Town,City,Public space,Human settlement,Tourism,Building,Architecture,,,,[T L He 1 BT,Matthew H. Motz, Jun 2018
523,Lund_01204,Building,Medieval architecture,,,,,,,,,Lundagérd,@ Rasmus Akergret, Dec 2015
524,Lund_02746,Building,,,,,,,,,,V.ES.PA,@ Michael Bossett:, Oct 2018
525,Lund_02311,Swimming pool,Water,Leisure centre,Leisure,Sky,Swimming,,,,,Killbybadet,Q' Daniel Kretz, Jul 2016
526,Lund_01836,Natural landscape,Body of water,Nature,Water resources,Water,Fountain,Tree,Watercourse,Nature reserve,Bank,Stadsparken,5 a Anna Sadowska, Oct 2018
527,Lund_00392,Palace,Estate,Building,Mansion,Château,,,,,,Lundagérd,"% e,", May 2016
528,Lund_00153,Property,House,Home,Residential area,Building,Real estate,Neighbourhood,,,,. Poma KpaBueHK«,. Poma KpaBueHK«, May 2017
529,Lund_02657,Sky,Cloud,Architecture,Natural environment,Daytime,Grass,Water,,,,MAX IV Laboratory,‘ John Eckerdal, Sep 2018
530,Lund_01312,Landmark,Building,Property,House,Architecture,Mansion,Town,Estate,Sky,,LT T :,Oleg Prosekov, Aug 2017
531,Lund_02383,Property,Architecture,Land lot,,,,,,,,MAX IV Laboratory,@ hormiai7é, May 2016
532,Lund_02571,Grassland,Pasture,Natural environment,Sky,Natural landscape,Green,Meadow,Grass,Plain,Land lot,Rinnebick Gorge 2,ﬁ Ani Vera, Aug 2017
533,Lund_02111,Landmark,Building,Architecture,,,,,,,,Lundagérd 8,@ Erik Westrup, Aug 2013
534,Lund_01376,Property,Building,Architecture,Estate,Stately home,Mansion,House,,,,Gamla Biskopshuset,f@: Mister No, Sep 2017
535,Lund_01544,Body of water,Water,Pond,Natural landscape,Nature,Water resources,Vegetation,Lake,Bank,Fish pond,Stadsparken,Mikael Boschian, Jul 2015
536,Lund_02494,Goal,Sky,Sport venue,Cloud,Atmosphere,Grass,,,,,Klostergérdens IP,Florian Weissbac, Sep 2018
537,Lund_02228,Property,Grass,Transport,Residential area,Land lot,Public space,Tree,Architecture,,,CircleK,Thanon Shamel, Aug 2016
538,Lund_01738,Garden,Lawn,Yard,Natural landscape,Botanical garden,Grass,Walkway,Landscape,Flower,Landscaping,Botanical Garden,Hasse Johansso, Aug 2017
539,Lund_00225,Building,Property,Landmark,Architecture,Château,Estate,Town,Stately home,,,Bantorget 8,Bantorget 8, Mar 2017
540,Lund_02809,Landmark,Palace,Building,Estate,Mansion,Property,Classical architecture,Architecture,House,Stately home,FLELLA T RO TY,9 Nattawat Palaka, Sep 2007
541,Lund_01429,Body of water,Natural landscape,Water resources,Water,Nature,Bank,Natural environment,Sky,River,Reflection,L TR TR,Emanuel Johans, Apr 2017
542,Lund_00683,Landmark,Building,Architecture,Town,Facade,City,,,,,Lundagérd,< RN YR, Jun 2017
543,Lund_01482,Sky,Garden,Nature,Cloud,Botanical garden,Daytime,Natural landscape,Tree,Botany,Grass,Stadsparken g,M> Max Power, Oct 2015
544,Lund_00301,Medieval architecture,Landmark,Building,Architecture,Property,Stately home,Estate,Castle,,,Lundagérd,@ yunus samet hali, Jan 2014
545,Lund_00644,Building,Property,Architecture,Landmark,Estate,Mansion,Palace,Classical architecture,House,,Lundagérd 9,Lundagérd 9, Jun 2018
546,Lund_00903,Building,Landmark,Property,Estate,Architecture,Mansion,Palace,Classical architecture,,,Lundagérd 9,.@ UIf Larsson, Sep 2018
547,Lund_01756,Estate,Building,Mansion,Property,Palace,Manor house,Stately home,Château,House,Official residence,Lundagérd,Martin Pehrsson, Jul 2016
548,Lund_01305,Classical architecture,Building,Palace,Landmark,Architecture,,,,,,5 Joseph Noussair,5 Joseph Noussair, Feb 2017
549,Lund_02712,Residential area,Building,Architecture,Neighbourhood,Property,Human settlement,Urban area,Town,City,Apartment,Virvelvindsviagen ¢,t Erik Lundgren, Oct 2016
550,Lund_02319,Sky,Water,Dock,Water resources,Morning,Boardwalk,River,,,,Rabysjon och Raby s,q ﬁ Joakim Erlandss, May 2017
551,Lund_02696,Sky,Pole,,,,,,,,,L TR DR,BB BB Beigi, Jun 2017
552,Lund_01153,Building,Estate,Property,Landmark,Mansion,Architecture,Stately home,Palace,,,Lundagérd ¢,rsold, Jun 2017
553,Lund_01016,Natural landscape,Body of water,Nature,Water resources,Natural environment,Water,Sky,Pond,Bank,Nature reserve,Fredentorps Begravn,6 IR DL, Sep 2016
554,Lund_00377,Estate,Building,Property,Mansion,Landmark,Palace,Stately home,Manor house,Architecture,Château,Lundagérd,L) UIf Zimmermann, Aug 2018
555,Lund_01981,Property,Town,Building,,,,,,,,Good Morning Lund,Jelte Kerker, Jul 2017
556,Lund_01094,Landmark,Architecture,Building,Tower,Church,,,,,,Lundagard ¢,V VanYu, May 2018
557,Lund_01444,Classical architecture,Architecture,Landmark,Building,Facade,,,,,,Lundagérd 9,IR G, Apr 2018
558,Lund_02226,Vegetation,Natural landscape,Hill,Highland,Biome,,,,,,Rinnebick Gorge,Florian Weissbac, Sep 2017
559,Lund_00960,Classical architecture,Building,Architecture,Landmark,Facade,,,,,,Lundagérd 8,:‘ Sufian Kamel, May 2018
560,Lund_01485,Garden,Botanical garden,Property,Natural landscape,Lawn,Grass,Landscape,Shrub,Landscaping,Botany,Botanical Garden,Michael Sturaro, Aug 2016
561,Lund_00136,Spire,Steeple,Landmark,Church,Architecture,Building,Place of worship,Tree,,,‘ CeBpanuna [lyHi,‘ CeBpanuna [lyHi, Dec 2016
562,Lund_01667,Building,Classical architecture,Landmark,Architecture,Palace,Facade,,,,,[TV T,Q Jonas Kirkegaart, Aug 2017
563,Lund_02621,Building,Property,,,,,,,,,ICA Supermarket Lin,[ETERTG RG], Sep 2017
564,Lund_00488,Sky,Property,Landmark,Estate,Building,Architecture,Mansion,Cloud,Town,House,Lundagérd,C Christoffer Want:, Jun 2017
565,Lund_00520,Estate,Building,Property,Mansion,Palace,Stately home,Manor house,House,Architecture,,Lundagérd 8,' Lars Skough, Jul 2017
566,Lund_00707,Building,Estate,Palace,Landmark,Mansion,Official residence,Stately home,Architecture,Château,,Lundagérd,&’ Suman Vummad, Jul 2017
567,Lund_01658,Reflection,Nature,Water,Pond,River,Garden,Bank,Tree,Waterway,Lake,Botanical Garden,Leila Daoud, May 2017
568,Lund_02238,Tree,Land lot,,,,,,,,,Shaon Mazi,Shaon Mazi, Apr 2017
569,Lund_00502,Property,House,Estate,Home,Building,Grass,Architecture,,,,Stadsparken c,% Melissa lisley, Sep 2017
570,Lund_00998,Building,Estate,Landmark,Mansion,Palace,Property,Sky,Architecture,Official residence,House,Lundagérd 9,"f’, B e", Jul 2016
571,Lund_02564,Building,,,,,,,,,,MAX IV Laboratory,@ EONE Y, Oct 2016
572,Lund_00790,Medieval architecture,Architecture,Landmark,Building,Place of worship,Classical architecture,Cathedral,Facade,Gothic architecture,Church,OLYMPUS DIGITAL C,@ Mariusz Denkiew, May 2016
573,Lund_00039,Building,Property,House,Architecture,Town,,,,,,@ Arlette Codnich,@ Arlette Codnich, Aug 2013
574,Lund_01326,Landmark,Monument,Memorial,Sky,,,,,,,Monument Slaget vic,david stuart, Sep 2018
575,Lund_00389,Landmark,Building,Property,Estate,Palace,Stately home,Architecture,Classical architecture,Mansion,,Lundagérd 9,RY Rafal Kruk, Sep 2014
576,Lund_00021,Building,Landmark,Town,Architecture,Sky,City,Urban area,,,,[T 3,a Sylvia Beatriz, Dec 2017
577,Lund_00470,Landmark,Building,Architecture,Medieval architecture,Classical architecture,Church,Steeple,Place of worship,,,Liberiet,qﬁi Maxime LMA, Aug 2018
578,Lund_00758,Architecture,Landmark,Building,Medieval architecture,Sky,,,,,,[T T o1 T T,@ Vichael Field, May 2012
579,Lund_01310,Natural landscape,Nature,Green,Sky,Grassland,Grass,Natural environment,Tree,Pasture,Water,Sankt Hans Hill ¢,AS.7, Apr 2018
580,Lund_01598,Building,Estate,Mansion,Property,Palace,Architecture,Classical architecture,House,Stately home,,Lundagérd,‘ Ozren HadZiagi¢-, Jul 2007
581,Lund_02606,Property,Building,House,Architecture,Brick,Home,Residential area,Town,Neighbourhood,Facade,Lundagérd,ﬁg‘ Orfeas Kalipolitis, Oct 2018
582,Lund_02752,Pasture,Field,Land lot,Natural landscape,Grassland,Natural environment,Sky,Grass,Plain,Soil,Nobbelbvs mosse,Q Peter Nordensva, Sep 2016
583,Lund_00818,Landmark,Building,Palace,Architecture,Mansion,Public space,,,,,Lundagérd c,g‘% Alicja Halgtka, Jun 2017
584,Lund_00914,Estate,Building,Mansion,Palace,Landmark,Stately home,Property,Official residence,Classical architecture,Château,Lundagérd 9,@ Viral Rami, Aug 2017
585,Lund_01861,Swan,Bird,Water bird,Pond,Bank,"Ducks, geese and swans",Waterway,Water resources,Waterfowl,Water,Stadsparken :,Mr.Roman Lak, Sep 2016
586,Lund_01221,Sport venue,Grassland,Land lot,Natural landscape,Grass,Golf course,Plain,,,,R0 EL TG Y,gé Varij A Ekelund, Sep 2017
